# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.014866,1.000000,0.899887,-1.000000,-0.003101,0.024530,0.083408,1.707299,3.186366,5.950967,3.120948,7.804048,8.616423
1.000000,0.014866,1.000000,0.899887,-1.000000,-0.003101,0.024530,0.083408,1.707299,3.186366,5.950967,3.120948,7.804048,8.616423
2.000000,0.014866,1.000000,0.878975,-1.000000,-0.003284,0.026917,0.081640,-6.984899,3.051296,-21.827311,2.601851,15.717641,-19.412743
3.000000,0.014866,1.000000,0.896275,-1.000000,-0.003401,0.024572,0.082528,-0.882137,1.191029,-2.436473,0.980951,10.169027,0.034242
4.000000,0.014866,1.000000,0.902282,-1.000000,-0.002578,0.024737,0.082547,11.813441,-39.873594,37.346366,-39.880951,-1.703450,40.352840
5.000000,0.014866,1.000000,1.287700,-1.000000,-0.002794,0.024792,0.083213,-0.968929,6.448835,-2.804539,6.284313,10.351992,-0.276599
6.000000,0.014866,1.000000,0.918979,-1.000000,-0.001831,0.027128,0.081497,-0.725351,0.668016,-1.933522,0.540182,10.014698,0.612381
7.000000,0.014866,1.000000,0.921621,-1.000000,-0.002701,0.026566,0.082995,-1.010624,-2.830487,-2.379487,-2.915724,10.121901,0.061378
8.000000,0.014866,1.000000,0.954818,-1.000000,0.000343,0.023438,0.082298,0.104350,1.824829,0.673346,1.695716,9.292413,3.285608
9.000000,0.014866,1.000000,1.355725,-1.000000,-0.000252,0.024059,0.083098,-0.147151,2.061641,-0.160275,1.980448,9.637513,1.961767
10.000000,0.014866,1.000000,0.891899,-1.000000,-0.001513,0.023139,0.083404,-0.122325,-0.568269,0.066758,-0.537150,9.322017,3.061258
11.000000,0.014866,1.000000,0.755137,-1.000000,0.000067,0.024674,0.079858,2.704072,3.278233,7.706025,7.912046,8.464287,6.270946
12.000000,0.014866,1.000000,0.931689,-1.000000,-0.000627,0.023853,0.081297,-0.207829,-1.531553,-0.412775,-0.956971,9.037212,4.025496
13.000000,0.014866,1.000000,0.931689,-1.000000,-0.000627,0.023853,0.081297,-0.207829,-1.531553,-0.412775,-0.956971,9.037212,4.025496
14.000000,0.014866,1.000000,0.724773,-1.000000,-0.002809,0.022336,0.080371,1.193085,-2.866465,3.251849,2.124301,8.299033,6.544909
15.000000,0.014866,1.000000,1.237674,-1.000000,0.000405,0.023244,0.084127,0.439640,-1.505979,0.987215,0.914790,8.941098,4.344270
16.000000,0.014866,1.000000,0.820533,-1.000000,0.000801,0.024364,0.081940,-0.270464,0.046605,-0.513187,-0.469533,9.376647,2.901518
17.000000,0.014866,1.000000,0.517619,-1.000000,0.002345,0.018696,0.082667,-0.202434,2.608306,-1.500792,-2.114175,9.997328,0.873398
18.000000,0.014866,1.000000,1.234022,-1.000000,0.002575,0.025002,0.087404,-0.111931,-0.395131,-0.419036,-0.178664,9.256917,3.296531
19.000000,0.014866,1.000000,1.012676,-1.000000,-0.003483,0.023977,0.082947,-0.218071,-0.403306,-0.439601,0.330825,9.264969,3.267924
20.000000,0.014866,1.000000,0.990579,-1.000000,-0.003481,0.025715,0.083565,0.534873,-3.496854,1.731478,3.668265,9.886285,0.680331
21.000000,0.014866,1.000000,0.990579,-1.000000,-0.003481,0.025715,0.083565,0.534873,-3.496854,1.731478,3.668265,9.886285,0.680331
22.000000,0.014866,1.000000,0.937973,-1.000000,-0.002238,0.024779,0.080881,0.170366,-0.189610,0.935254,0.384973,9.695167,1.736325
23.000000,0.014866,1.000000,0.889561,-1.000000,-0.003030,0.026011,0.082369,-2.660468,-0.891433,-7.562650,1.443460,7.378108,10.238975
24.000000,0.014866,1.000000,1.117534,-1.000000,-0.003378,0.025640,0.081657,-0.581344,-0.431627,-1.441736,0.762435,9.049879,4.039108
25.000000,0.014866,1.000000,1.117534,-1.000000,-0.003378,0.025640,0.081657,-0.581344,-0.431627,-1.441736,0.762435,9.049879,4.039108
26.000000,0.014866,1.000000,1.067297,-1.000000,-0.001818,0.022338,0.080646,-0.068422,0.397253,0.087456,-0.173338,9.487969,2.518983
27.000000,0.014866,1.000000,0.872825,-1.000000,-0.002367,0.026809,0.080754,-0.057768,-0.316370,0.169843,0.548316,9.487401,2.458505
28.000000,0.014866,1.000000,1.062753,-1.000000,-0.003816,0.025244,0.080554,0.046502,-0.968215,0.392677,1.273991,9.469800,2.454137
29.000000,0.014866,1.000000,0.961363,-1.000000,-0.002259,0.024284,0.082628,0.714145,1.293076,2.288039,-0.176453,10.177901,0.055496
30.000000,0.014866,1.000000,1.031755,-1.000000,-0.002881,0.024643,0.080800,-0.029049,-0.343961,-0.005854,0.507246,9.401437,2.777126
31.000000,0.014866,1.000000,0.855457,-1.000000,-0.002913,0.023681,0.078244,-1.315786,4.889415,-3.392318,-5.760048,9.268524,3.802734
32.000000,0.014866,1.000000,0.923257,-1.000000,-0.001389,0.026904,0.085841,2.562060,-6.073798,9.803517,10.465095,10.633273,-3.354465
33.000000,0.014866,1.000000,1.023341,-1.000000,-0.002625,0.026311,0.080999,0.742063,-0.093979,2.171216,1.249462,9.978602,0.664326
34.000000,0.014866,1.000000,0.740361,-1.000000,0.002276,0.024870,0.085641,-0.160807,1.082297,-0.481969,-0.883895,9.421595,2.818009
35.000000,0.014866,1.000000,0.740361,-1.000000,0.002276,0.024870,0.085641,-0.160807,1.082297,-0.481969,-0.883895,9.421595,2.818009
36.000000,0.014866,1.000000,0.938873,-1.000000,-0.000985,0.023532,0.085232,-0.080663,-0.041822,-0.041369,0.260543,9.455446,2.601672
37.000000,0.014866,1.000000,1.023056,-1.000000,-0.003277,0.024600,0.082602,0.435443,-0.845796,1.335715,0.215959,9.897831,0.900222
38.000000,0.014866,1.000000,0.997625,-1.000000,-0.002070,0.023895,0.084212,-0.097592,0.257295,-0.224139,0.114441,9.394696,2.844437
39.000000,0.014866,1.000000,0.862544,-1.000000,-0.002377,0.024253,0.082197,0.445151,1.300602,1.578266,-1.875881,9.640161,2.042052
40.000000,0.014866,1.000000,0.903189,-1.000000,-0.003286,0.024426,0.081907,1.203177,-4.652598,3.507869,1.014531,10.976524,-3.195321
41.000000,0.014866,1.000000,0.806670,-1.000000,-0.002607,0.025969,0.083067,-0.627692,-0.500935,-1.674095,1.723951,9.208979,3.450577
42.000000,0.014866,1.000000,0.881030,-1.000000,-0.007998,0.022031,0.079928,-0.056359,-0.559168,-0.295159,0.731882,9.516485,2.343626
