# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,2.160706,2.430496,-0.001571,0.025528,0.079315,-0.000058,0.000001,0.000018,-0.158141,9.358682,2.937032
1.000000,1.000000,1.000000,2.188030,2.430496,-0.002181,0.023419,0.079513,0.000011,-0.000000,-0.000005,-0.130762,9.370010,2.902052
2.000000,1.000000,1.000000,2.143387,2.430496,-0.002487,0.027145,0.075232,-0.000004,-0.000000,0.000005,-0.112238,9.373349,2.892028
3.000000,1.000000,1.000000,2.143387,2.430496,-0.002487,0.027145,0.075232,-0.000004,-0.000000,0.000005,-0.112238,9.373349,2.892028
4.000000,1.000000,1.000000,2.131630,2.430496,-0.001411,0.020186,0.080637,-0.000064,0.000003,0.000032,-0.163849,9.378391,2.873158
5.000000,1.000000,1.000000,2.106356,2.430496,-0.001612,0.022078,0.082253,-0.000007,0.000001,0.000003,-0.186066,9.370914,2.896109
6.000000,1.000000,1.000000,1.888293,2.430496,0.003544,0.022297,0.084003,0.000025,0.000005,0.000011,-0.027758,9.248014,3.272549
7.000000,1.000000,1.000000,1.888293,2.430496,0.003544,0.022297,0.084003,0.000025,0.000005,0.000011,-0.027758,9.248014,3.272549
8.000000,1.000000,1.000000,2.017705,2.430496,-0.002788,0.023570,0.081195,-0.000046,-0.000002,0.000018,-0.025680,9.329973,3.031015
9.000000,1.000000,1.000000,2.124156,2.430496,0.000059,0.023959,0.074969,-0.000063,0.000018,0.000016,0.126749,9.313735,3.078048
10.000000,1.000000,1.000000,1.815179,2.430496,-0.005338,0.025824,0.082485,0.000129,-0.000009,-0.000163,0.341679,9.284937,3.147905
11.000000,1.000000,1.000000,2.285740,2.430496,-0.001621,0.023739,0.082197,-0.000003,-0.000001,-0.000002,0.098195,9.316704,3.070096
12.000000,1.000000,1.000000,2.168924,2.430496,-0.003295,0.023078,0.078384,-0.000023,-0.000000,0.000005,-0.020441,9.309307,3.093944
13.000000,1.000000,1.000000,2.104924,2.430496,-0.001615,0.023624,0.077563,0.000041,0.000001,-0.000015,0.055308,9.335505,3.013534
14.000000,1.000000,1.000000,2.012113,2.430496,0.000593,0.020067,0.081883,-0.000163,0.000008,0.000076,0.084956,9.326635,3.040191
15.000000,1.000000,1.000000,2.272606,2.430496,-0.001446,0.022198,0.083267,0.000011,0.000002,-0.000009,0.172232,9.353818,2.951699
16.000000,1.000000,1.000000,2.272606,2.430496,-0.001446,0.022198,0.083267,0.000011,0.000002,-0.000009,0.172232,9.353818,2.951699
17.000000,1.000000,1.000000,2.272606,2.430496,-0.001446,0.022198,0.083267,0.000011,0.000002,-0.000009,0.172232,9.353818,2.951699
18.000000,1.000000,1.000000,2.148092,2.430496,-0.001844,0.025563,0.078000,0.000047,0.000003,-0.000015,0.182715,9.338944,2.997807
