# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,1.000000,2.741387,3.607802,-0.001730,0.023550,0.081848,0.119808,3.059421,-2.205295,2.990194,9.330062,0.494788
1.000000,0.000000,1.000000,2.741387,3.607802,-0.001730,0.023550,0.081848,0.119808,3.059421,-2.205295,2.990194,9.330062,0.494788
2.000000,0.000000,1.000000,2.741387,3.607802,-0.001730,0.023550,0.081848,0.119808,3.059421,-2.205295,2.990194,9.330062,0.494788
3.000000,0.000000,1.000000,2.741387,3.607802,-0.001730,0.023550,0.081848,0.119808,3.059421,-2.205295,2.990194,9.330062,0.494788
4.000000,0.000000,0.000000,3.678672,3.607802,-0.002350,0.024256,0.080805,0.000001,-0.000000,-0.000000,-0.118683,9.446231,2.643999
5.000000,0.000000,1.000000,3.308724,3.607802,-0.002093,0.026052,0.084881,0.550126,2.902400,0.239279,2.780409,8.946698,2.908949
6.000000,0.000000,1.000000,2.818229,3.607802,-0.001997,0.017978,0.080832,1.809593,-5.826210,-0.315719,-5.862603,7.513160,2.327747
7.000000,0.000000,1.000000,0.250481,3.607802,-0.001431,0.030872,0.076440,9.799421,9.683359,-3.697631,9.803759,-0.016122,-0.349514
8.000000,0.000000,1.000000,2.489259,3.607802,-0.005730,0.024467,0.074644,-0.042287,0.814735,-0.195511,0.743610,9.340599,2.904541
9.000000,0.000000,1.000000,2.489259,3.607802,-0.005730,0.024467,0.074644,-0.042287,0.814735,-0.195511,0.743610,9.340599,2.904541
10.000000,0.000000,1.000000,0.804465,3.607802,-0.009784,0.024229,0.075872,17.572188,1.749602,1.891985,-5.209175,-7.987945,2.300723
11.000000,0.000000,1.000000,2.589609,3.607802,-0.005653,0.024078,0.077810,-0.401748,-0.329039,-3.456117,3.121029,9.229124,1.148277
12.000000,0.000000,1.000000,2.951871,3.607802,-0.004011,0.021220,0.078426,-0.724107,-0.899746,-3.590895,3.208853,9.258089,0.476605
13.000000,0.000000,1.000000,3.634525,3.607802,-0.000074,0.025980,0.082975,0.851977,-0.183819,2.147942,-2.332587,9.116142,2.773283
14.000000,0.000000,1.000000,1.245279,3.607802,-0.001285,0.025731,0.082359,7.096977,-1.459986,-12.433534,9.131052,0.744100,-3.507990
15.000000,0.000000,1.000000,2.025347,3.607802,-0.000899,0.021677,0.076558,6.712775,-4.284110,4.484870,-6.563036,6.909565,-2.328214
16.000000,0.000000,1.000000,3.490472,3.607802,-0.007286,0.025120,0.079471,-0.071462,0.023714,-0.065827,0.144035,9.481792,2.512166
17.000000,0.000000,1.000000,3.537730,3.607802,-0.005428,0.025552,0.076956,-0.237236,-0.055294,-0.551843,0.563199,9.337948,2.953242
18.000000,0.000000,1.000000,2.222261,3.607802,-0.007126,0.023321,0.073958,-0.025331,0.049795,-0.302860,-0.060099,9.491335,2.479323
19.000000,0.000000,1.000000,3.424440,3.607802,0.000056,0.022330,0.084397,-0.182069,0.228601,-0.428749,-0.157983,9.348578,2.969045
20.000000,0.000000,1.000000,3.449569,3.607802,-0.002243,0.024217,0.082607,-0.138959,-0.736135,-0.221674,0.910154,9.357183,2.801935
21.000000,0.000000,1.000000,3.174445,3.607802,-0.000524,0.027503,0.084129,0.173283,0.451745,0.406517,-0.566198,9.496572,2.393874
22.000000,0.000000,1.000000,0.730236,3.607802,-0.001675,0.024763,0.081457,9.337749,9.670742,-2.004566,-6.303516,-1.206258,7.419348
23.000000,0.000000,0.000000,3.243782,3.607802,0.002701,0.026724,0.078039,-0.000035,0.000008,0.000014,-0.107606,9.520168,2.364513
24.000000,0.000000,1.000000,1.717761,3.607802,-0.004785,0.021727,0.084408,3.481356,6.979436,-6.938770,4.773274,2.016470,8.329814
25.000000,0.000000,1.000000,3.378871,3.607802,0.002343,0.020069,0.082545,0.317493,-1.066464,0.606913,-0.610803,9.704223,1.300416
26.000000,0.000000,1.000000,0.221740,3.607802,-0.003303,0.027179,0.081862,8.523477,-9.892873,-4.477324,0.225145,2.212167,-9.554670
27.000000,0.000000,0.000000,3.798784,3.607802,-0.000666,0.027777,0.079133,-0.000026,0.000004,-0.000013,-0.064868,9.515084,2.386436
28.000000,0.000000,1.000000,3.880723,3.607802,0.000157,0.022493,0.081166,-0.115677,-0.893250,-0.295605,0.030109,9.693682,1.505895
29.000000,0.000000,1.000000,3.484218,3.607802,-0.006814,0.024013,0.084313,0.323341,-0.599702,0.700239,-1.066064,9.468100,2.335530
30.000000,0.000000,1.000000,3.485716,3.607802,-0.005423,0.024731,0.072693,-0.146927,0.293500,-0.420443,0.476931,9.378735,2.836892
