# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,0.822575,-1.000000,-0.001943,0.024517,0.081309,-0.159290,1.303867,-1.116295,1.206616,9.611923,1.546325
1.000000,1.000000,1.000000,0.822575,-1.000000,-0.001943,0.024517,0.081309,-0.159290,1.303867,-1.116295,1.206616,9.611923,1.546325
2.000000,1.000000,1.000000,0.822575,-1.000000,-0.001943,0.024517,0.081309,-0.159290,1.303867,-1.116295,1.206616,9.611923,1.546325
3.000000,1.000000,1.000000,0.822575,-1.000000,-0.001943,0.024517,0.081309,-0.159290,1.303867,-1.116295,1.206616,9.611923,1.546325
4.000000,1.000000,1.000000,0.822575,-1.000000,-0.001943,0.024517,0.081309,-0.159290,1.303867,-1.116295,1.206616,9.611923,1.546325
5.000000,1.000000,1.000000,0.822575,-1.000000,-0.001943,0.024517,0.081309,-0.159290,1.303867,-1.116295,1.206616,9.611923,1.546325
6.000000,1.000000,1.000000,1.051369,-1.000000,-0.002667,0.023936,0.080865,4.344427,7.907221,0.133544,7.788238,5.082552,3.122037
7.000000,1.000000,1.000000,0.000000,-1.000000,-0.001639,0.027538,0.083583,9.908121,-9.809666,-3.832893,-9.760887,-0.665956,-0.719498
8.000000,1.000000,1.000000,0.712606,-1.000000,-0.002095,0.014643,0.083081,2.709753,-7.477086,-1.781808,-7.530454,6.216002,0.943230
9.000000,1.000000,1.000000,0.208548,-1.000000,-0.000206,0.031220,0.075962,7.613163,-9.681278,-4.100425,-9.608824,1.716010,-0.980773
10.000000,1.000000,1.000000,0.839370,-1.000000,-0.007349,0.022406,0.075009,0.096609,0.315724,0.367757,-0.089974,9.332298,3.022617
11.000000,1.000000,1.000000,0.839370,-1.000000,-0.007349,0.022406,0.075009,0.096609,0.315724,0.367757,-0.089974,9.332298,3.022617
12.000000,1.000000,1.000000,0.000135,-1.000000,-0.007584,0.022293,0.074589,18.411041,1.149954,-0.311520,-4.068651,-8.908400,0.567978
13.000000,1.000000,1.000000,0.518060,-1.000000,-0.005732,0.024105,0.077019,1.766731,4.286092,-7.402201,7.134184,5.320540,4.126908
14.000000,1.000000,1.000000,0.900642,-1.000000,-0.003721,0.022899,0.078698,2.560047,-0.109181,4.146988,-4.706687,7.974727,3.238353
15.000000,1.000000,1.000000,0.190736,-1.000000,0.001449,0.023988,0.083652,12.523526,-2.020545,6.009433,-9.749662,-0.326682,1.036084
16.000000,1.000000,1.000000,0.746171,-1.000000,-0.002912,0.025928,0.080705,1.713782,0.789759,3.270779,-3.436288,8.231532,4.082880
17.000000,1.000000,1.000000,0.967428,-1.000000,-0.000253,0.020507,0.078163,0.065113,-1.402737,-1.118751,0.917581,9.714936,1.007053
18.000000,1.000000,1.000000,0.900145,-1.000000,-0.007945,0.026658,0.077860,-0.038673,0.215355,-0.010558,-0.015795,9.431380,2.699058
19.000000,1.000000,1.000000,0.651411,-1.000000,-0.006392,0.024198,0.074063,0.008874,-0.578505,-0.401305,0.542378,9.408491,2.724377
20.000000,1.000000,1.000000,0.651411,-1.000000,-0.006392,0.024198,0.074063,0.008874,-0.578505,-0.401305,0.542378,9.408491,2.724377
