# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636579.813555,0.000000,0.000000,0.692800,0.011801,0.103484,-0.082393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403636580.813555,1.000000,0.118060,0.692800,0.026214,-0.130027,0.135087,1.771530,-2.339156,3.004943,-9.800867,-1.224905,3.259395
2.000000,1403636581.813555,1.000000,0.066701,0.692800,0.021586,-0.000031,-0.014601,-7.139028,0.718249,5.333887,-9.678795,7.598618,4.854300
3.000000,1403636582.813555,1.000000,0.127661,0.692800,0.000338,0.052751,-0.043158,-26.885042,-1.056284,0.198928,-8.752273,27.200936,1.138892
4.000000,1403636583.813555,1.000000,0.033049,0.692800,0.031443,-0.143623,0.158058,-26.574457,0.755736,-0.178732,-9.321843,26.560935,-3.192362
5.000000,1403636584.813555,0.000000,0.033049,0.692800,-0.046585,0.165607,-0.108485,-26.574457,0.755736,-0.178732,-9.321843,26.560935,-3.192362
6.000000,1403636585.813555,0.000000,0.033049,0.692800,0.027656,0.255353,-0.321739,-26.574457,0.755736,-0.178732,-9.321843,26.560935,-3.192362
7.000000,1403636586.813555,0.000000,0.033049,0.692800,0.013544,-0.035713,0.022150,-26.574457,0.755736,-0.178732,-9.321843,26.560935,-3.192362
8.000000,1403636587.813555,1.000000,0.989789,0.692800,0.023593,0.005070,-0.028298,-5.627879,2.465211,27.191608,-3.882063,16.239712,24.049243
9.000000,1403636588.813555,1.000000,1.145822,0.692800,-0.088251,0.070906,0.093069,-16.522198,0.053984,30.262815,-7.509591,26.774884,22.581413
10.000000,1403636589.813555,0.000000,1.145822,0.692800,0.005482,-0.014500,0.034583,-16.522198,0.053984,30.262815,-7.509591,26.774884,22.581413
11.000000,1403636590.813555,1.000000,0.025705,0.692800,0.099061,-0.186227,0.060791,-12.819093,1.333989,25.486631,-6.499745,22.131640,19.339470
12.000000,1403636591.813555,1.000000,1.007628,0.692800,-0.075452,0.077486,0.030649,6.487169,1.202300,22.230256,-3.355061,0.687312,24.942815
13.000000,1403636592.813555,1.000000,0.306301,0.692800,-0.155435,0.246054,-0.068978,27.590733,-3.833696,-4.794942,-10.028985,-27.978261,2.377440
14.000000,1403636593.813555,0.000000,0.306301,0.692800,0.311042,-0.450675,0.020335,27.590733,-3.833696,-4.794942,-10.028985,-27.978261,2.377440
15.000000,1403636594.813555,1.000000,0.424864,0.692800,-0.309592,0.365845,0.135362,35.465456,-1.787664,-11.492971,-6.628138,-37.666832,-3.496761
16.000000,1403636595.813555,1.000000,0.379295,0.692800,0.197850,-0.220539,-0.042567,-5.811226,-1.877546,-3.193820,-10.670663,4.360296,-2.954973
17.000000,1403636596.813555,1.000000,0.116725,0.692800,-0.226559,0.186936,0.194189,-2.876787,-1.342327,18.706217,-8.152018,8.729609,17.592205
18.000000,1403636597.813555,1.000000,0.440523,0.692800,-0.038413,0.022078,0.081736,-12.098948,-2.181765,9.310426,-9.899601,14.983115,3.124503
19.000000,1403636598.813555,1.000000,0.876564,0.692800,0.011375,-0.302616,0.301911,0.124912,-0.518264,1.599133,-9.896138,0.541289,-0.576716
20.000000,1403636599.813555,0.000000,0.876564,0.692800,-0.002924,-0.023985,0.024371,0.124912,-0.518264,1.599133,-9.896138,0.541289,-0.576716
21.000000,1403636600.813555,0.000000,0.876564,0.692800,-0.000057,-0.003016,0.020060,0.124912,-0.518264,1.599133,-9.896138,0.541289,-0.576716
22.000000,1403636601.813555,0.000000,0.876564,0.692800,0.000112,-0.003489,0.020809,0.124912,-0.518264,1.599133,-9.896138,0.541289,-0.576716
23.000000,1403636602.813555,1.000000,0.880825,0.692800,-0.000008,-0.003480,0.020671,0.007690,-0.379318,0.030013,-9.706177,0.286093,-1.394487
24.000000,1403636603.813555,0.000000,0.880825,0.692800,0.000016,-0.003091,0.021278,0.007690,-0.379318,0.030013,-9.706177,0.286093,-1.394487
25.000000,1403636604.813555,1.000000,1.351815,0.692800,0.000031,-0.003242,0.020806,0.014877,-0.380373,0.026092,-9.705619,0.279212,-1.399814
26.000000,1403636605.813555,1.000000,1.910691,0.692800,-0.000012,-0.003369,0.020884,0.009021,-0.376221,0.041052,-9.707741,0.284144,-1.384088
27.000000,1403636606.813555,0.000000,1.910691,0.692800,-0.000035,-0.003159,0.020588,0.009021,-0.376221,0.041052,-9.707741,0.284144,-1.384088
28.000000,1403636607.813555,1.000000,1.667102,0.692800,0.000018,-0.003308,0.020909,-0.007463,-0.378553,-0.005123,-9.699958,0.301907,-1.434037
29.000000,1403636608.813555,0.000000,1.667102,0.692800,-0.000047,-0.002866,0.020546,-0.007463,-0.378553,-0.005123,-9.699958,0.301907,-1.434037
30.000000,1403636609.813555,0.000000,1.667102,0.692800,0.000192,-0.002920,0.020738,-0.007463,-0.378553,-0.005123,-9.699958,0.301907,-1.434037
31.000000,1403636610.813555,0.000000,1.667102,0.692800,-0.000290,-0.002939,0.019812,-0.007463,-0.378553,-0.005123,-9.699958,0.301907,-1.434037
32.000000,1403636611.813555,0.000000,1.667102,0.692800,0.000047,-0.003486,0.022066,-0.007463,-0.378553,-0.005123,-9.699958,0.301907,-1.434037
33.000000,1403636612.813555,1.000000,1.262460,0.692800,0.000226,-0.003709,0.021349,5.007079,-0.848614,-7.529127,-8.752887,-4.479916,-9.050086
34.000000,1403636613.813555,0.000000,1.262460,0.692800,-0.000062,-0.002761,0.020605,5.007079,-0.848614,-7.529127,-8.752887,-4.479916,-9.050086
35.000000,1403636614.813555,0.000000,1.262460,0.692800,0.000040,-0.003164,0.021059,5.007079,-0.848614,-7.529127,-8.752887,-4.479916,-9.050086
36.000000,1403636615.813555,0.000000,1.262460,0.692800,0.000001,-0.003168,0.020585,5.007079,-0.848614,-7.529127,-8.752887,-4.479916,-9.050086
37.000000,1403636616.813555,1.000000,0.494479,0.692800,0.000003,-0.003242,0.020710,-0.003450,-0.375304,0.021331,-9.704952,0.295181,-1.401028
38.000000,1403636617.813555,0.000000,0.494479,0.692800,0.000036,-0.003314,0.020385,-0.003450,-0.375304,0.021331,-9.704952,0.295181,-1.401028
39.000000,1403636618.813555,0.000000,0.494479,0.692800,0.000112,-0.003644,0.021141,-0.003450,-0.375304,0.021331,-9.704952,0.295181,-1.401028
40.000000,1403636619.813555,0.000000,0.494479,0.692800,-0.000121,-0.002790,0.020862,-0.003450,-0.375304,0.021331,-9.704952,0.295181,-1.401028
41.000000,1403636620.813555,0.000000,0.494479,0.692800,0.000074,-0.003061,0.020681,-0.003450,-0.375304,0.021331,-9.704952,0.295181,-1.401028
42.000000,1403636621.813555,1.000000,1.165461,0.692800,0.000156,-0.003293,0.020510,-0.013195,-0.392267,0.008974,-9.704100,0.308144,-1.404227
43.000000,1403636622.813555,1.000000,2.186471,0.692800,0.002200,-0.005202,0.019417,-21.624401,1.072884,21.969130,-12.280292,21.232059,21.114093
44.000000,1403636623.813555,0.000000,2.186471,0.692800,0.037884,0.009889,0.005826,-21.624401,1.072884,21.969130,-12.280292,21.232059,21.114093
45.000000,1403636624.813555,1.000000,0.016612,0.692800,-0.009476,0.043243,0.016483,-2.484991,-0.353631,-11.270702,-7.527024,2.677203,-12.844064
46.000000,1403636625.813555,0.000000,0.016612,0.692800,-0.021408,-0.039120,0.075510,-2.484991,-0.353631,-11.270702,-7.527024,2.677203,-12.844064
47.000000,1403636626.813555,0.000000,0.016612,0.692800,0.052799,0.015077,-0.073244,-2.484991,-0.353631,-11.270702,-7.527024,2.677203,-12.844064
48.000000,1403636627.813555,0.000000,0.016612,0.692800,0.069037,-0.105831,0.013355,-2.484991,-0.353631,-11.270702,-7.527024,2.677203,-12.844064
49.000000,1403636628.813555,1.000000,0.185019,0.692800,0.223083,-0.183833,-0.101444,-7.041058,-0.886683,-6.721873,-9.716846,6.856897,-7.009339
50.000000,1403636629.813555,0.000000,0.185019,0.692800,0.117992,-0.153538,0.039201,-7.041058,-0.886683,-6.721873,-9.716846,6.856897,-7.009339
51.000000,1403636630.813555,1.000000,0.097089,0.692800,-0.025130,0.008974,0.042285,-20.795507,-0.576950,-14.128662,-14.344952,19.769517,-11.502464
52.000000,1403636631.813555,0.000000,0.097089,0.692800,-0.084210,0.123963,-0.031777,-20.795507,-0.576950,-14.128662,-14.344952,19.769517,-11.502464
53.000000,1403636632.813555,0.000000,0.097089,0.692800,-0.131371,0.128440,0.090447,-20.795507,-0.576950,-14.128662,-14.344952,19.769517,-11.502464
54.000000,1403636633.813555,1.000000,0.059145,0.692800,-0.024983,-0.023013,0.101581,8.570615,-0.764264,5.093285,-9.521192,-8.336982,5.961093
55.000000,1403636634.813555,0.000000,0.059145,0.692800,-0.058576,0.069843,-0.022225,8.570615,-0.764264,5.093285,-9.521192,-8.336982,5.961093
56.000000,1403636635.813555,0.000000,0.059145,0.692800,0.038124,-0.100467,0.176275,8.570615,-0.764264,5.093285,-9.521192,-8.336982,5.961093
57.000000,1403636636.813555,0.000000,0.059145,0.692800,-0.042385,0.099915,-0.092467,8.570615,-0.764264,5.093285,-9.521192,-8.336982,5.961093
58.000000,1403636637.813555,0.000000,0.059145,0.692800,-0.012502,0.038925,-0.019891,8.570615,-0.764264,5.093285,-9.521192,-8.336982,5.961093
59.000000,1403636638.813555,1.000000,0.080829,0.692800,0.002102,-0.061045,0.097738,-24.674148,-0.827746,-4.529520,-8.781616,24.649839,-6.551637
60.000000,1403636639.813555,1.000000,0.044926,0.692800,-0.076669,0.077298,0.045705,8.916902,-0.703002,15.738642,-11.995821,-8.045096,14.625609
61.000000,1403636640.813555,0.000000,0.044926,0.692800,0.007073,-0.014475,0.016538,8.916902,-0.703002,15.738642,-11.995821,-8.045096,14.625609
62.000000,1403636641.813555,0.000000,0.044926,0.692800,0.113651,-0.085492,-0.057192,8.916902,-0.703002,15.738642,-11.995821,-8.045096,14.625609
63.000000,1403636642.813555,1.000000,0.109077,0.692800,-0.010033,0.044233,-0.014850,-21.285073,-0.304907,-4.199927,-9.074252,21.349473,-5.366607
64.000000,1403636643.813555,1.000000,0.072717,0.692800,-0.003659,-0.082877,0.096960,-4.587063,-1.036425,-11.195050,-9.273675,4.130268,-11.817450
65.000000,1403636644.813555,1.000000,0.456681,0.692800,0.016676,0.054942,-0.045022,-9.321444,-0.341497,0.761591,-9.517397,9.495563,0.098934
66.000000,1403636645.813555,1.000000,0.431182,0.692800,0.288489,-0.388766,0.007345,20.440728,-0.919441,-10.111060,-9.906557,-21.190630,-8.089036
67.000000,1403636646.813555,0.000000,0.431182,0.692800,0.001269,-0.005790,0.009107,20.440728,-0.919441,-10.111060,-9.906557,-21.190630,-8.089036
68.000000,1403636647.813555,1.000000,0.094207,0.692800,0.399858,-0.374662,-0.122649,-65.801189,1.225174,28.229041,-4.457752,65.769791,29.570554
69.000000,1403636648.813555,1.000000,0.137054,0.692800,0.015385,-0.060140,0.059018,-4.433965,0.005778,8.502774,-2.788849,3.196667,12.936694
70.000000,1403636649.813555,1.000000,0.053000,0.692800,0.312931,-0.286186,-0.101839,-49.015677,-2.017200,17.109881,-5.531370,47.107326,24.086963
71.000000,1403636650.813555,1.000000,0.089743,0.692800,-0.011018,-0.031373,0.046992,20.487904,-0.764128,20.824723,17.501582,-19.568409,16.047673
72.000000,1403636651.813555,1.000000,0.119581,0.692800,0.444647,-0.349339,-0.199763,-42.834995,0.600865,15.013071,-2.470848,40.498543,22.351545
73.000000,1403636652.813555,1.000000,0.089511,0.692800,-0.046226,-0.056850,0.154410,-7.747273,-0.408275,0.933449,-2.252168,4.425862,11.493741
74.000000,1403636653.813555,1.000000,0.137222,0.692800,0.198454,-0.158098,-0.095491,-19.639011,-0.175172,4.113678,-2.339358,16.233402,15.123943
75.000000,1403636654.813555,0.000000,0.137222,0.692800,0.160038,-0.160865,-0.057553,-19.639011,-0.175172,4.113678,-2.339358,16.233402,15.123943
76.000000,1403636655.813555,0.000000,0.137222,0.692800,0.133765,-0.176738,0.034057,-19.639011,-0.175172,4.113678,-2.339358,16.233402,15.123943
77.000000,1403636656.813555,1.000000,0.174171,0.692800,-0.019448,0.053919,-0.049643,-3.504785,-0.759097,-0.281751,2.648878,-0.022073,10.084056
78.000000,1403636657.813555,1.000000,0.178042,0.692800,0.064452,-0.059435,0.094870,-26.097153,-1.741852,-43.683988,-40.710575,0.021368,32.090373
79.000000,1403636658.813555,1.000000,0.231505,0.692800,0.000274,-0.029412,0.025979,-6.886967,-0.426412,-15.959417,-11.611362,-2.884094,16.016694
80.000000,1403636659.813555,1.000000,0.236205,0.692800,0.022085,-0.011792,0.039488,-4.764961,-0.409882,6.181614,8.091935,4.378910,8.554411
81.000000,1403636660.813555,1.000000,0.542116,0.692800,-0.027762,-0.005931,-0.008900,-13.101220,1.054043,-47.035694,-40.533829,-9.424699,27.720459
82.000000,1403636661.813555,1.000000,0.097310,0.692800,-0.004045,0.042201,-0.054362,-0.215223,-0.435159,-25.548322,-18.421584,-12.452950,15.928100
83.000000,1403636662.813555,1.000000,0.977580,0.692800,0.048916,0.018571,0.061909,-21.301616,-1.139400,-14.985003,-14.028088,7.915776,22.120371
84.000000,1403636663.813555,0.000000,0.977580,0.692800,-0.077619,-0.037249,0.101852,-21.301616,-1.139400,-14.985003,-14.028088,7.915776,22.120371
85.000000,1403636664.813555,1.000000,0.371106,0.692800,-0.005393,0.017823,0.022581,-6.096601,-0.751329,9.272928,9.974833,5.823822,9.296222
86.000000,1403636665.813555,1.000000,0.028669,0.692800,-0.020258,0.046453,-0.044942,2.309407,0.081578,-42.187597,-34.110048,-20.474035,17.366883
87.000000,1403636666.813555,1.000000,0.340859,0.692800,-0.019561,0.022898,0.001375,-8.424975,-0.809659,12.244534,11.904065,9.049778,9.663374
88.000000,1403636667.813555,1.000000,0.471859,0.692800,0.060640,-0.083968,0.088700,-12.269963,-0.810672,11.758345,10.219270,12.708108,11.275229
89.000000,1403636668.813555,0.000000,0.471859,0.692800,-0.017137,-0.083384,0.071412,-12.269963,-0.810672,11.758345,10.219270,12.708108,11.275229
90.000000,1403636669.813555,0.000000,0.471859,0.692800,-0.266016,0.326052,-0.181299,-12.269963,-0.810672,11.758345,10.219270,12.708108,11.275229
91.000000,1403636670.813555,0.000000,0.471859,0.692800,-0.352020,0.591402,0.099747,-12.269963,-0.810672,11.758345,10.219270,12.708108,11.275229
92.000000,1403636671.813555,0.000000,0.471859,0.692800,0.031302,-0.122790,0.125693,-12.269963,-0.810672,11.758345,10.219270,12.708108,11.275229
93.000000,1403636672.813555,0.000000,0.471859,0.692800,-0.151568,0.149271,0.099109,-12.269963,-0.810672,11.758345,10.219270,12.708108,11.275229
94.000000,1403636673.813555,0.000000,0.471859,0.692800,-0.110269,0.108124,-0.031545,-12.269963,-0.810672,11.758345,10.219270,12.708108,11.275229
95.000000,1403636674.813555,1.000000,0.064104,0.692800,-0.079708,0.025868,0.185952,9.707796,-0.336066,5.618089,2.364423,-10.473187,10.279686
96.000000,1403636675.813555,1.000000,0.163951,0.692800,-0.408560,0.436998,0.095601,26.875569,1.275365,-20.230268,-15.593859,-28.889121,-12.035320
97.000000,1403636676.813555,1.000000,0.163733,0.692800,-0.196726,0.135831,0.121319,-12.662626,-0.492445,-1.029991,-10.549827,11.627068,3.423602
98.000000,1403636677.813555,1.000000,0.064247,0.692800,-0.388840,0.437807,0.174976,21.676805,-0.043833,-10.023436,-9.972427,-21.790762,-9.536589
99.000000,1403636678.813555,1.000000,0.004089,0.692800,-0.416772,0.377790,0.147146,-46.849284,0.740277,-1.026636,-0.843932,47.763353,-1.891594
100.000000,1403636679.813555,0.000000,0.004089,0.692800,0.037220,-0.031746,0.057225,-46.849284,0.740277,-1.026636,-0.843932,47.763353,-1.891594
101.000000,1403636680.813555,0.000000,0.004089,0.692800,-0.021390,0.009049,0.003110,-46.849284,0.740277,-1.026636,-0.843932,47.763353,-1.891594
102.000000,1403636681.813555,0.000000,0.004089,0.692800,-0.004607,-0.009774,0.011870,-46.849284,0.740277,-1.026636,-0.843932,47.763353,-1.891594
103.000000,1403636682.813555,0.000000,0.004089,0.692800,-0.016426,0.044065,-0.015213,-46.849284,0.740277,-1.026636,-0.843932,47.763353,-1.891594
104.000000,1403636683.813555,1.000000,0.657814,0.692800,-0.033231,-0.006999,0.047656,-2.697231,-2.087275,54.994963,-36.261735,9.284302,41.576011
105.000000,1403636684.813555,1.000000,0.458285,0.692800,0.040003,-0.018966,0.030514,-21.909517,0.523465,-42.163654,18.489659,19.701572,-40.310344
106.000000,1403636685.813555,1.000000,0.065333,0.692800,-0.013416,0.028717,-0.026888,-16.305785,-0.673988,15.592486,-12.565319,19.316905,8.622990
107.000000,1403636686.813555,1.000000,0.666887,0.692800,-0.014399,-0.018250,0.047577,12.472240,-2.384322,65.496282,-44.345065,-4.354209,50.670374
108.000000,1403636687.813555,1.000000,0.163371,0.692800,0.007856,0.004543,0.053265,2.648631,-0.392069,-13.910646,-1.605862,-1.824044,-17.050844
109.000000,1403636688.813555,0.000000,0.163371,0.692800,-0.101465,0.158285,-0.091980,2.648631,-0.392069,-13.910646,-1.605862,-1.824044,-17.050844
