# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636579.813555,1.000000,0.009523,1.025517,0.012793,0.100644,-0.081724,-0.000002,0.000715,-0.000031,-9.807889,-0.046877,0.198043
1.000000,1403636580.813555,1.000000,0.000841,1.025517,0.024337,-0.127455,0.135490,-0.000113,-0.003868,-0.000006,-9.804553,0.291206,0.148447
2.000000,1403636581.813555,1.000000,0.000365,1.025517,0.021947,0.004224,-0.013150,-0.000013,0.001083,-0.000008,-9.806845,0.156653,0.193243
3.000000,1403636582.813555,1.000000,0.208229,1.025517,0.002035,0.047031,-0.044931,-0.000217,-0.003358,0.000072,-9.767806,0.511199,0.751493
4.000000,1403636583.813555,1.000000,0.000176,1.025517,0.032683,-0.139512,0.157186,0.000001,0.000484,0.000000,-9.804972,0.239109,0.203574
5.000000,1403636584.813555,1.000000,0.000463,1.025517,-0.048336,0.161541,-0.108924,-0.000053,-0.002219,-0.000044,-9.792054,0.258852,0.533644
6.000000,1403636585.813555,1.000000,0.000129,1.025517,0.025725,0.255451,-0.322871,0.000031,-0.003049,0.000056,-9.790308,-0.061186,0.618246
7.000000,1403636586.813555,1.000000,0.000034,1.025517,0.012883,-0.037909,0.021390,-0.000064,-0.004171,-0.000028,-9.802616,-0.210985,0.316696
8.000000,1403636587.813555,1.000000,3.476334,1.025517,0.023739,0.007506,-0.028401,-0.000005,-0.000274,0.000029,-9.691894,0.138058,1.511368
9.000000,1403636588.813555,1.000000,3.717535,1.025517,-0.086162,0.071134,0.092427,-0.000081,-0.003697,0.000327,-9.729742,-0.015317,1.252192
10.000000,1403636589.813555,1.000000,0.000000,1.025517,0.005641,-0.012057,0.034352,-0.000062,-0.004599,-0.000155,-9.782379,-0.444100,-0.586464
