# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636579.813555,1.000000,0.000248,1.025517,0.012610,0.100643,-0.081675,0.626802,0.552376,-1.996687,-9.623472,-0.795137,-1.729925
1.000000,1403636580.813555,1.000000,0.053138,1.025517,0.024748,-0.126819,0.135978,-0.834124,-2.105078,-0.782468,-9.724888,1.123604,-0.632581
2.000000,1403636581.813555,1.000000,0.000096,1.025517,0.023161,0.008423,-0.010700,-8.779999,6.999561,-2.580515,-3.391141,8.640324,-3.175069
3.000000,1403636582.813555,1.000000,0.000287,1.025517,0.001985,0.050004,-0.041670,-9.706272,7.402360,-0.888605,-0.493590,9.773421,-0.687547
4.000000,1403636583.813555,1.000000,0.000116,1.025517,0.033760,-0.139510,0.156871,-9.544320,11.098505,-0.447974,1.018779,9.620822,-1.624186
5.000000,1403636584.813555,1.000000,0.000210,1.025517,-0.045753,0.161283,-0.111934,-9.302518,8.295844,3.339421,0.229450,9.271154,3.198305
6.000000,1403636585.813555,1.000000,0.000226,1.025517,0.027269,0.256756,-0.322415,0.771954,16.738732,-4.656705,8.466693,-2.215728,-4.431903
7.000000,1403636586.813555,1.000000,0.036196,1.025517,0.013262,-0.037023,0.021648,4.549584,15.581838,-3.126066,8.260897,-5.038410,-1.614963
8.000000,1403636587.813555,1.000000,0.618703,1.025517,0.023264,0.004996,-0.028053,0.079168,7.369972,8.761188,0.560749,3.932165,8.969935
9.000000,1403636588.813555,1.000000,0.753512,1.025517,-0.086388,0.070379,0.092676,8.382246,11.954047,2.115541,5.307989,-6.338232,5.280925
10.000000,1403636589.813555,1.000000,0.000178,1.025517,0.005303,-0.014166,0.033413,-6.586490,14.614349,1.353340,6.812776,6.913638,-1.422601
11.000000,1403636590.813555,1.000000,0.361489,1.025517,0.098046,-0.186428,0.060177,9.654122,7.012137,-3.296081,0.009864,-9.670646,1.647605
12.000000,1403636591.813555,1.000000,0.612774,1.025517,-0.076715,0.073939,0.034522,-2.669218,12.805515,7.359588,5.335231,5.429694,6.187878
13.000000,1403636592.813555,1.000000,0.224725,1.025517,-0.154291,0.245130,-0.070039,-4.608378,15.350766,2.162279,7.919964,5.532510,1.703410
14.000000,1403636593.813555,1.000000,0.267620,1.025517,0.304002,-0.457064,0.024151,8.659810,5.815555,-5.960045,-1.215323,-9.733481,-0.135803
15.000000,1403636594.813555,1.000000,0.019043,1.025517,-0.311917,0.358182,0.134205,-5.182486,15.576994,2.193429,7.906871,5.800796,0.261245
16.000000,1403636595.813555,1.000000,0.555035,1.025517,0.201602,-0.210380,-0.048220,-9.184267,5.481361,0.450559,-3.394338,9.122108,-1.225444
17.000000,1403636596.813555,1.000000,0.361882,1.025517,-0.226730,0.183802,0.195904,3.818367,8.235198,8.821191,0.996574,-0.672230,9.736069
18.000000,1403636597.813555,1.000000,0.296170,1.025517,-0.037388,0.017842,0.081449,-7.601923,3.123221,4.030614,-4.510182,8.701935,0.413137
19.000000,1403636598.813555,1.000000,1.057014,1.025517,0.011545,-0.303576,0.301860,0.532080,-0.547165,-0.300766,-9.535026,-0.074774,-2.305167
20.000000,1403636599.813555,1.000000,0.000129,1.025517,-0.002994,-0.023969,0.024455,3.645548,3.062405,-7.080549,-5.012877,-3.179278,-7.810209
21.000000,1403636600.813555,0.000000,0.000129,1.025517,-0.002994,-0.023969,0.024455,3.645548,3.062405,-7.080549,-5.012877,-3.179278,-7.810209
22.000000,1403636601.813555,1.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
23.000000,1403636602.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
24.000000,1403636603.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
25.000000,1403636604.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
26.000000,1403636605.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
27.000000,1403636606.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
28.000000,1403636607.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
29.000000,1403636608.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
30.000000,1403636609.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
31.000000,1403636610.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
32.000000,1403636611.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
33.000000,1403636612.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
34.000000,1403636613.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
35.000000,1403636614.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
36.000000,1403636615.813555,0.000000,0.000000,1.025517,0.000097,-0.003492,0.020803,-5.764541,1.664842,-1.868464,-7.238890,6.074502,-2.633438
37.000000,1403636616.813555,1.000000,0.003743,1.025517,-0.000006,-0.003246,0.020708,8.731153,4.792308,0.031703,-4.775356,-8.542208,-0.680266
38.000000,1403636617.813555,1.000000,0.000000,1.025517,0.000043,-0.003302,0.020397,-6.720524,2.360426,-0.373359,-6.839553,6.964103,-0.978710
39.000000,1403636618.813555,1.000000,0.124406,1.025517,0.000114,-0.003644,0.021145,8.446955,4.247452,-0.423008,-5.197647,-8.232021,-1.205986
40.000000,1403636619.813555,1.000000,0.000000,1.025517,-0.000127,-0.002805,0.020857,1.694584,1.149897,-5.586187,-7.120409,-1.245651,-6.632061
41.000000,1403636620.813555,1.000000,0.008034,1.025517,0.000077,-0.003060,0.020691,8.733850,4.782796,0.033544,-4.769808,-8.546134,-0.669788
42.000000,1403636621.813555,0.000000,0.008034,1.025517,0.000077,-0.003060,0.020691,8.733850,4.782796,0.033544,-4.769808,-8.546134,-0.669788
43.000000,1403636622.813555,1.000000,6.394926,1.025517,0.002217,-0.005201,0.019421,-4.271788,3.248607,5.737516,-7.195189,4.298386,5.097964
44.000000,1403636623.813555,1.000000,0.000074,1.025517,0.037556,0.009723,0.005924,9.308247,11.963015,1.384828,2.029115,-9.380106,2.032831
45.000000,1403636624.813555,1.000000,0.021329,1.025517,-0.010258,0.044784,0.016545,-2.771665,9.943959,-9.290090,2.214336,2.132713,-9.315812
46.000000,1403636625.813555,1.000000,0.012468,1.025517,-0.021547,-0.037670,0.074661,-5.261885,13.938309,6.330750,4.331865,5.243385,7.069509
47.000000,1403636626.813555,1.000000,0.000219,1.025517,0.052175,0.015296,-0.072876,-6.244196,9.602514,-7.437178,2.360535,6.001917,-7.391953
48.000000,1403636627.813555,1.000000,0.000135,1.025517,0.068105,-0.106142,0.014683,-7.664081,7.188522,-5.541872,-1.407344,7.582533,-6.063059
49.000000,1403636628.813555,1.000000,0.034908,1.025517,0.222520,-0.184442,-0.101560,-0.283656,8.926671,-9.898491,-0.034036,-0.233882,-9.807153
50.000000,1403636629.813555,1.000000,0.001210,1.025517,0.116127,-0.154413,0.038229,4.604740,2.294576,-5.120186,-7.814700,-5.295098,-2.669925
51.000000,1403636630.813555,1.000000,0.000168,1.025517,-0.025178,0.008741,0.042223,-6.113992,6.632013,-7.193930,-4.589257,5.803625,-6.441487
52.000000,1403636631.813555,1.000000,0.000493,1.025517,-0.082911,0.124220,-0.032477,6.524781,10.267270,-7.277517,-0.300760,-6.626172,-7.227689
53.000000,1403636632.813555,1.000000,0.142928,1.025517,-0.131985,0.128830,0.089628,8.434573,5.334934,-3.403851,-4.001833,-8.427819,-3.032045
54.000000,1403636633.813555,1.000000,0.000359,1.025517,-0.024741,-0.022523,0.101270,8.724619,4.850367,1.929960,-4.040278,-8.566006,2.556519
55.000000,1403636634.813555,1.000000,0.000312,1.025517,-0.058735,0.069792,-0.022731,8.091260,5.321623,-3.943027,-4.198667,-8.002278,-3.817178
56.000000,1403636635.813555,1.000000,0.000163,1.025517,0.039132,-0.100407,0.175988,4.444144,13.996357,-7.190792,5.257988,-4.666748,-6.841865
57.000000,1403636636.813555,1.000000,0.000481,1.025517,-0.042812,0.098570,-0.093228,8.214568,10.179463,-5.243524,0.266101,-8.286198,-5.244445
58.000000,1403636637.813555,1.000000,0.000217,1.025517,-0.011293,0.039164,-0.019654,5.767312,12.285464,-7.087273,3.539796,-6.188402,-6.738666
59.000000,1403636638.813555,1.000000,0.000484,1.025517,0.002239,-0.061405,0.097550,-8.335445,12.919478,2.663902,4.096348,8.560769,2.483801
60.000000,1403636639.813555,1.000000,0.098164,1.025517,-0.076553,0.077524,0.045305,4.457728,10.231773,8.852259,-0.220255,-4.351238,8.789444
61.000000,1403636640.813555,1.000000,0.025418,1.025517,0.007270,-0.014692,0.016485,9.784782,10.081443,-1.228174,0.317549,-9.757091,-0.966665
62.000000,1403636641.813555,1.000000,0.010368,1.025517,0.114321,-0.084956,-0.057343,6.581320,10.820148,-7.154133,2.106292,-6.763072,-6.786788
63.000000,1403636642.813555,1.000000,0.029440,1.025517,-0.009624,0.043740,-0.014967,-9.462018,7.334231,-0.989114,-1.861136,9.510007,-1.527102
64.000000,1403636643.813555,1.000000,0.000142,1.025517,-0.003489,-0.083225,0.096917,-2.456190,2.770300,-7.317457,-5.628592,2.149589,-7.741726
65.000000,1403636644.813555,1.000000,0.259469,1.025517,0.018164,0.056370,-0.044043,-6.006891,1.747764,-0.802229,-7.525506,6.156151,-1.305625
66.000000,1403636645.813555,1.000000,0.000131,1.025517,0.288634,-0.387798,0.005376,9.416716,10.294074,-3.501510,1.128157,-9.328670,-2.817672
67.000000,1403636646.813555,1.000000,0.433872,1.025517,0.001536,-0.004723,0.009084,6.593848,12.678879,-6.354740,2.277896,-6.073899,-7.359011
68.000000,1403636647.813555,1.000000,0.029443,1.025517,0.399791,-0.374455,-0.124019,9.466275,11.586236,0.896300,4.216040,-8.857710,0.045727
69.000000,1403636648.813555,1.000000,0.000280,1.025517,0.015522,-0.059435,0.059077,-5.728386,4.387871,5.826482,-1.468093,5.205865,8.184117
70.000000,1403636649.813555,1.000000,0.116083,1.025517,0.312665,-0.285738,-0.102411,8.558231,13.329816,1.656277,6.338746,-6.992992,-2.674783
71.000000,1403636650.813555,1.000000,0.007713,1.025517,-0.010640,-0.031796,0.045485,7.929567,6.648406,5.376225,5.156639,-7.458629,3.743532
72.000000,1403636651.813555,1.000000,0.321989,1.025517,0.444878,-0.347339,-0.202764,8.801170,12.851409,1.621842,5.895820,-6.626130,-4.191635
73.000000,1403636652.813555,1.000000,0.203707,1.025517,-0.046928,-0.055921,0.154727,-3.028380,16.028145,-6.279179,-6.417147,3.356872,-6.617231
74.000000,1403636653.813555,1.000000,0.381743,1.025517,0.196141,-0.159568,-0.096263,6.184079,16.211778,-3.551211,-1.041971,-4.376344,-8.717684
