# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636579.813555,0.000000,0.000000,1.025517,0.012134,0.100294,-0.081714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403636580.813555,0.000000,0.000000,1.025517,0.025862,-0.128252,0.134595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1403636581.813555,1.000000,0.079077,1.025517,0.021399,0.001395,-0.015250,-0.000007,0.000334,0.000001,-9.808180,0.030829,0.186434
3.000000,1403636582.813555,1.000000,0.331471,1.025517,0.000449,0.049544,-0.042102,-0.000104,-0.001332,0.000035,-9.754068,0.662609,0.809452
4.000000,1403636583.813555,1.000000,0.032383,1.025517,0.030945,-0.140794,0.156422,0.000000,0.000122,0.000000,-9.805756,0.220323,0.186320
5.000000,1403636584.813555,1.000000,0.047499,1.025517,-0.046336,0.163909,-0.107299,-0.000019,-0.000874,-0.000018,-9.791868,0.262709,0.535163
6.000000,1403636585.813555,0.000000,0.047499,1.025517,0.027456,0.255426,-0.321703,-0.000019,-0.000874,-0.000018,-9.791868,0.262709,0.535163
7.000000,1403636586.813555,0.000000,0.047499,1.025517,0.013062,-0.035561,0.022188,-0.000019,-0.000874,-0.000018,-9.791868,0.262709,0.535163
8.000000,1403636587.813555,1.000000,3.481701,1.025517,0.023299,0.005085,-0.028221,-0.000001,-0.000078,0.000008,-9.693106,0.090647,1.507177
9.000000,1403636588.813555,1.000000,4.408898,1.025517,-0.086453,0.070574,0.092680,-0.000039,-0.001382,0.000134,-9.723208,0.067254,1.300308
10.000000,1403636589.813555,0.000000,4.408898,1.025517,0.005203,-0.014465,0.034641,-0.000039,-0.001382,0.000134,-9.723208,0.067254,1.300308
11.000000,1403636590.813555,1.000000,3.940607,1.025517,0.097690,-0.186126,0.061173,-0.000002,-0.000356,0.000057,-9.693170,0.265397,1.485971
12.000000,1403636591.813555,1.000000,2.047702,1.025517,-0.075252,0.077723,0.030339,0.000006,-0.000546,0.000072,-9.434785,-0.275820,2.672988
