# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636579.813555,0.000000,0.000000,1.025517,0.012134,0.100294,-0.081714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403636580.813555,0.000000,0.000000,1.025517,0.025862,-0.128252,0.134595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1403636581.813555,0.000000,0.000000,1.025517,0.021399,0.001395,-0.015250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,1403636582.813555,0.000000,0.000000,1.025517,0.000449,0.049544,-0.042102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,1403636583.813555,0.000000,0.000000,1.025517,0.030945,-0.140794,0.156422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,1403636584.813555,0.000000,0.000000,1.025517,-0.046336,0.163909,-0.107299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,1403636585.813555,0.000000,0.000000,1.025517,0.027456,0.255426,-0.321703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,1403636586.813555,0.000000,0.000000,1.025517,0.013062,-0.035561,0.022188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,1403636587.813555,1.000000,0.618209,1.025517,0.023299,0.005085,-0.028221,0.066240,10.800125,8.236386,3.914955,3.933492,8.089333
9.000000,1403636588.813555,1.000000,0.866053,1.025517,-0.086453,0.070574,0.092680,1.501766,11.527158,8.241301,4.567227,2.327527,8.362955
10.000000,1403636589.813555,0.000000,0.866053,1.025517,0.005203,-0.014465,0.034641,1.501766,11.527158,8.241301,4.567227,2.327527,8.362955
11.000000,1403636590.813555,1.000000,0.118976,1.025517,0.097690,-0.186126,0.061173,-1.078534,5.392118,8.517957,-1.979259,4.804211,8.320949
12.000000,1403636591.813555,1.000000,0.869442,1.025517,-0.075252,0.077723,0.030339,1.162079,13.243060,7.522730,6.109998,1.868012,7.444095
13.000000,1403636592.813555,1.000000,0.300201,1.025517,-0.153188,0.245351,-0.069360,-2.208076,16.287458,1.882818,8.989352,3.158631,2.334675
