# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636859.201667,1.000000,0.000141,0.278694,0.106860,-0.130655,0.073615,2.625914,6.305801,-9.383897,-3.206682,-2.836995,-8.826367
1.000000,1403636860.201667,1.000000,0.000126,0.278694,-0.027288,0.111332,-0.070858,5.914710,2.269196,-1.203749,-7.796202,-5.927054,0.570399
2.000000,1403636861.201667,1.000000,0.000076,0.278694,-0.017429,0.076736,-0.060089,-9.267149,6.091544,-2.588668,-2.017062,9.233194,-2.629772
3.000000,1403636862.201667,1.000000,0.000124,0.278694,0.060293,-0.178240,0.170625,-3.807807,8.779565,-9.014567,-0.862816,2.651947,-9.405255
4.000000,1403636863.201667,1.000000,0.000030,0.278694,-0.013027,0.125585,-0.105166,2.152938,15.661424,-7.792270,4.357504,-3.189399,-8.189994
5.000000,1403636864.201667,1.000000,0.000028,0.278694,0.018031,-0.045739,0.026651,-9.657394,7.907944,0.149878,0.135211,9.776489,-0.798795
6.000000,1403636865.201667,1.000000,0.000118,0.278694,-0.011321,-0.142814,0.172762,-8.917107,8.333728,3.102840,-1.463066,9.421438,2.309122
7.000000,1403636866.201667,1.000000,0.000024,0.278694,-0.028189,0.225247,-0.179881,-8.999004,11.093704,3.364143,2.853939,9.011479,2.623809
8.000000,1403636867.201667,1.000000,0.135479,0.278694,-0.001673,0.362496,-0.365452,-0.321173,-2.383315,-0.343012,-9.779230,0.279151,0.724454
9.000000,1403636868.201667,1.000000,0.060395,0.278694,-0.004497,-0.030476,0.054922,-4.135656,-2.263488,0.136160,-9.131191,3.548367,-0.516274
10.000000,1403636869.201667,1.000000,0.058900,0.278694,0.062110,-0.058457,-0.026676,5.674141,11.844854,-6.008615,5.159780,-7.702682,-3.206471
11.000000,1403636870.201667,1.000000,0.017821,0.278694,0.057431,-0.073830,-0.025544,8.068044,2.287092,-4.762931,-3.591080,-9.034983,1.307411
12.000000,1403636871.201667,1.000000,0.062415,0.278694,-0.114881,0.089909,0.086628,-4.842891,15.129604,-0.177026,7.449032,5.231831,-3.657317
13.000000,1403636872.201667,1.000000,0.043423,0.278694,0.014424,0.011771,0.002485,-7.941938,12.244917,1.806819,4.674473,8.024682,-3.160677
14.000000,1403636873.201667,1.000000,0.103430,0.278694,0.083316,-0.058018,-0.066177,-4.107031,11.662175,6.013950,5.260770,7.695631,3.055760
15.000000,1403636874.201667,1.000000,0.065785,0.278694,-0.077594,0.002553,0.111572,-1.476442,16.134653,-1.149044,9.109035,1.850606,-3.136373
16.000000,1403636875.201667,1.000000,0.000151,0.278694,0.305856,-0.359224,-0.233701,8.814398,9.904612,-4.330114,4.636491,-8.629391,-0.522169
17.000000,1403636876.201667,1.000000,0.000219,0.278694,-0.189312,0.085882,0.332136,3.851788,14.790985,-6.519053,5.478665,-3.913560,-7.134731
18.000000,1403636877.201667,1.000000,0.000024,0.278694,-0.190538,0.308366,-0.072643,7.350775,2.079782,-4.314881,-4.191164,-8.780364,-1.255169
19.000000,1403636878.201667,1.000000,0.000019,0.278694,0.271479,-0.387532,-0.055010,6.884682,8.002142,-8.431629,0.638830,-9.203736,-3.334551
20.000000,1403636879.201667,1.000000,0.000079,0.278694,-0.299628,0.312141,0.175297,6.071070,13.475360,-4.127318,6.637062,-6.236564,-3.645653
21.000000,1403636880.201667,1.000000,0.174444,0.278694,0.098018,-0.148364,0.030043,-3.674335,15.211217,4.269056,7.257781,6.317424,1.910726
22.000000,1403636881.201667,1.000000,0.227937,0.278694,-0.025790,-0.001112,0.137083,-0.743985,15.986116,4.210313,9.316631,2.507662,1.774292
23.000000,1403636882.201667,1.000000,0.147146,0.278694,-0.269714,0.052247,0.328436,-0.382323,18.500303,0.481576,9.701443,1.455040,-0.030918
24.000000,1403636883.201667,1.000000,0.044183,0.278694,-0.113162,0.009545,0.174426,8.732239,12.314661,-4.008703,3.125992,-8.799625,-3.005141
25.000000,1403636884.201667,1.000000,0.000120,0.278694,0.000566,-0.012667,0.030776,1.811968,0.768904,3.911347,-9.458190,-1.186874,2.317342
26.000000,1403636885.201667,0.000000,0.000138,0.278694,0.000566,-0.012667,0.030776,1.811652,0.768846,3.911357,-9.458229,-1.186555,2.317346
