# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636859.201667,0.000000,0.000000,0.278694,0.107657,-0.129706,0.074424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403636860.201667,0.000000,0.000000,0.278694,-0.027748,0.114632,-0.069505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1403636861.201667,1.000000,0.080103,0.278694,-0.020977,0.074323,-0.061508,-0.000085,-0.001280,0.000051,-9.696975,0.682578,1.318661
3.000000,1403636862.201667,1.000000,0.001628,0.278694,0.059709,-0.177644,0.170995,-0.000027,-0.000798,-0.000017,-9.756057,0.246743,0.997277
4.000000,1403636863.201667,0.000000,0.001628,0.278694,-0.015319,0.127570,-0.103968,-0.000027,-0.000798,-0.000017,-9.756057,0.246743,0.997277
5.000000,1403636864.201667,1.000000,0.090143,0.278694,0.016176,-0.048499,0.024236,-0.000137,-0.001546,0.000045,-9.668195,0.767922,1.473907
6.000000,1403636865.201667,1.000000,0.020624,0.278694,-0.014127,-0.143043,0.173685,-0.000011,-0.000041,0.000003,-9.699264,-0.112939,1.465474
7.000000,1403636866.201667,1.000000,0.027318,0.278694,-0.027781,0.229742,-0.174895,-0.000009,-0.000629,0.000002,-9.709662,0.187944,1.386812
8.000000,1403636867.201667,1.000000,0.250037,0.278694,0.002016,0.362909,-0.364079,0.000036,-0.001615,0.000071,-9.725821,0.224682,1.262549
9.000000,1403636868.201667,0.000000,0.250037,0.278694,-0.004453,-0.030628,0.054616,0.000036,-0.001615,0.000071,-9.725821,0.224682,1.262549
10.000000,1403636869.201667,0.000000,0.250037,0.278694,0.061826,-0.058217,-0.026499,0.000036,-0.001615,0.000071,-9.725821,0.224682,1.262549
11.000000,1403636870.201667,1.000000,1.308648,0.278694,0.057300,-0.073588,-0.025198,-0.000022,-0.000182,0.000005,-9.590325,0.741686,1.926570
12.000000,1403636871.201667,1.000000,1.041385,0.278694,-0.115194,0.089720,0.086995,-0.000054,-0.000944,0.000126,-9.354987,0.376894,2.928870
13.000000,1403636872.201667,0.000000,1.041385,0.278694,0.013874,0.011402,0.002995,-0.000054,-0.000944,0.000126,-9.354987,0.376894,2.928870
14.000000,1403636873.201667,1.000000,0.915662,0.278694,0.083546,-0.057991,-0.066414,-0.000026,-0.000495,0.000080,-9.436670,0.493722,2.634691
15.000000,1403636874.201667,1.000000,0.180848,0.278694,-0.077549,0.002330,0.110427,-0.000040,-0.002374,0.000250,-9.439953,-0.123056,2.666130
16.000000,1403636875.201667,0.000000,0.180848,0.278694,0.304192,-0.358476,-0.228402,-0.000040,-0.002374,0.000250,-9.439953,-0.123056,2.666130
17.000000,1403636876.201667,1.000000,0.321156,0.278694,-0.189564,0.086494,0.333675,-0.000051,-0.000677,0.000175,-6.990595,-0.879044,6.826050
18.000000,1403636877.201667,0.000000,0.321156,0.278694,-0.184832,0.312521,-0.066202,-0.000051,-0.000677,0.000175,-6.990595,-0.879044,6.826050
19.000000,1403636878.201667,1.000000,0.524021,0.278694,0.276077,-0.382615,-0.054833,0.000135,-0.000637,0.000236,-7.769031,-1.175147,5.873439
20.000000,1403636879.201667,0.000000,0.524021,0.278694,-0.300796,0.319332,0.175412,0.000135,-0.000637,0.000236,-7.769031,-1.175147,5.873439
