# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637130.588319,1.000000,7.083221,0.644220,-0.000072,-0.002252,0.019657,-0.000005,-0.000555,0.000038,-9.800791,-0.078434,0.417672
1.000000,1403637131.588319,1.000000,0.000519,0.644220,0.000776,-0.002347,0.023675,-0.000006,-0.000590,0.000039,-9.801715,-0.069657,0.397034
2.000000,1403637132.588319,1.000000,0.000173,0.644220,0.029388,0.006104,-0.018413,-0.000004,-0.000506,0.000032,-9.801187,-0.057756,0.411702
3.000000,1403637133.588319,1.000000,0.000047,0.644220,0.124299,-0.187515,0.090183,-0.000034,-0.001158,-0.000057,-9.754795,0.120282,1.032278
4.000000,1403637134.588319,1.000000,0.000189,0.644220,0.005856,0.112399,-0.079292,0.000044,0.001282,-0.000059,-9.711778,0.068967,1.383006
5.000000,1403637135.588319,1.000000,0.001650,0.644220,-0.006622,0.127356,-0.141856,-0.000100,-0.003503,0.000041,-9.692069,0.160697,1.508005
6.000000,1403637136.588319,1.000000,0.000550,0.644220,0.030542,-0.196050,0.207910,-0.000150,-0.003208,0.000030,-9.656319,-0.068974,1.728248
7.000000,1403637138.588319,1.000000,0.000099,0.644220,-0.110596,0.212899,-0.120700,0.000060,-0.001053,-0.000042,-9.669729,0.022097,1.652863
8.000000,1403637138.588319,1.000000,0.000099,0.644220,-0.110596,0.212899,-0.120700,0.000060,-0.001053,-0.000042,-9.669729,0.022097,1.652863
9.000000,1403637139.588319,1.000000,0.000113,0.644220,0.023021,-0.117725,0.085550,0.000001,-0.000667,0.000031,-9.715168,-0.154135,1.351983
10.000000,1403637140.588319,1.000000,0.006608,0.644220,-0.000281,-0.001781,0.019772,-0.000007,-0.000659,0.000047,-9.659108,-0.402234,1.666117
11.000000,1403637141.588319,1.000000,89.309014,0.644220,0.000081,-0.002348,0.020305,-0.000005,-0.000604,0.000043,-9.658362,-0.425275,1.664720
12.000000,1403637142.588319,1.000000,0.043678,0.644220,0.000020,-0.002085,0.020640,-0.000007,-0.000650,0.000047,-9.658711,-0.404529,1.667861
13.000000,1403637143.588319,1.000000,0.004575,0.644220,0.000446,-0.002540,0.019832,-0.000007,-0.000678,0.000050,-9.656147,-0.405750,1.682345
14.000000,1403637144.588319,1.000000,0.009236,0.644220,-0.000497,-0.001545,0.021041,-0.000007,-0.000666,0.000049,-9.656511,-0.404238,1.680623
15.000000,1403637145.588319,1.000000,0.010788,0.644220,-0.000067,-0.001605,0.019768,-0.000007,-0.000693,0.000050,-9.657960,-0.403706,1.672400
16.000000,1403637146.588319,1.000000,7.702907,0.644220,0.000065,-0.001992,0.020901,-0.000007,-0.000691,0.000050,-9.656650,-0.402084,1.680340
17.000000,1403637147.588319,1.000000,9.593246,0.644220,-0.001322,-0.000533,0.020662,-0.000007,-0.000684,0.000049,-9.659861,-0.398579,1.662626
18.000000,1403637148.588319,1.000000,0.000000,0.644220,-0.018016,0.027714,0.019006,-0.000007,-0.000803,0.000057,-9.672647,-0.382250,1.590558
19.000000,1403637149.588319,1.000000,0.015697,0.644220,0.042550,0.039561,-0.002893,-0.000008,-0.000476,-0.000029,-9.781956,0.070914,0.737838
20.000000,1403637150.588319,1.000000,0.157846,0.644220,-0.006661,-0.010267,0.023246,-0.000018,-0.000824,-0.000008,-9.742882,0.317649,1.100662
21.000000,1403637151.588319,1.000000,0.000268,0.644220,-0.004753,0.016104,0.016301,-0.000018,-0.001691,-0.000009,-9.761495,0.304759,0.925438
22.000000,1403637152.588319,1.000000,0.000149,0.644220,0.004940,-0.009908,0.038156,-0.000007,-0.000816,-0.000000,-9.761478,0.276418,0.934468
23.000000,1403637153.588319,1.000000,0.000043,0.644220,-0.002592,-0.000164,-0.006141,0.000000,-0.001717,-0.000008,-9.766439,0.230412,0.894247
24.000000,1403637154.588319,1.000000,0.112459,0.644220,0.202691,-0.238021,-0.022670,-0.000028,-0.000647,-0.000020,-9.629702,0.232668,1.857636
25.000000,1403637155.588319,1.000000,0.000055,0.644220,0.418288,-0.455628,-0.176399,-0.000011,-0.001200,0.000085,-8.614070,-0.989905,4.588463
26.000000,1403637156.588319,1.000000,0.000030,0.644220,0.141571,-0.113138,-0.057133,0.000007,-0.000810,0.000078,-5.748743,-1.928769,7.711544
27.000000,1403637157.588319,1.000000,0.000020,0.644220,0.087758,-0.139288,0.074194,-0.000018,-0.001053,0.000014,-5.833520,-2.073787,7.609569
28.000000,1403637158.588319,1.000000,0.000022,0.644220,0.150251,-0.124381,-0.042220,-0.000002,-0.001332,0.000061,-3.711315,-2.449914,8.744150
29.000000,1403637159.588319,1.000000,0.004447,0.644220,0.363224,-0.391516,-0.056924,-0.000046,-0.001209,0.000023,-2.867725,-2.217062,9.115749
30.000000,1403637161.588319,1.000000,0.000039,0.644220,0.085204,-0.136786,0.047042,-0.000020,-0.001870,0.000048,2.442868,-2.881646,9.053431
31.000000,1403637161.588319,1.000000,0.000039,0.644220,0.085204,-0.136786,0.047042,-0.000020,-0.001870,0.000048,2.442868,-2.881646,9.053431
32.000000,1403637162.588319,1.000000,0.000192,0.644220,0.483537,-0.524646,-0.030080,-0.000025,-0.001408,0.000109,4.316064,-2.721718,8.378540
33.000000,1403637163.588319,1.000000,0.000047,0.644220,0.024941,0.031616,-0.074510,-0.000009,-0.000372,0.000009,7.177377,-2.972526,5.990447
34.000000,1403637164.588319,1.000000,0.026432,0.644220,0.275635,-0.247127,0.021550,-0.000021,-0.000882,0.000133,7.653577,-2.236170,5.714753
35.000000,1403637165.588319,1.000000,0.269253,0.644220,-0.046293,-0.076375,0.269035,-0.000063,-0.000487,0.000004,8.570840,-0.605838,4.733894
36.000000,1403637166.588319,1.000000,0.044417,0.644220,-0.034440,0.116300,-0.035541,0.000006,-0.000181,0.000001,7.732304,-0.091302,6.036492
37.000000,1403637167.588319,1.000000,0.062088,0.644220,-0.139643,0.120397,0.008856,-0.000007,-0.001759,-0.000054,7.086810,-1.808109,6.537887
38.000000,1403637168.588319,1.000000,0.017076,0.644220,-0.182064,0.150850,0.150675,-0.000020,-0.000076,0.000001,6.619139,-1.832739,7.004581
39.000000,1403637169.588319,1.000000,0.000000,0.644220,-0.618595,0.464332,0.288616,-0.000150,-0.001633,-0.000129,2.183247,-1.743769,9.403659
40.000000,1403637171.588319,1.000000,0.278843,0.644220,0.029777,0.049725,-0.189154,-0.000006,-0.000822,-0.000069,-5.940616,-1.136817,7.723524
41.000000,1403637171.588319,1.000000,0.278843,0.644220,0.029777,0.049725,-0.189154,-0.000006,-0.000822,-0.000069,-5.940616,-1.136817,7.723524
