# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637130.588319,1.000000,0.265331,0.644220,-0.000070,-0.002248,0.019661,20.175837,0.120404,9.766862,-9.247835,-20.195312,10.258154
1.000000,1403637131.588319,1.000000,0.128187,0.644220,0.000775,-0.002343,0.023674,-8.679857,-0.548617,-4.514488,-10.047800,8.584879,-4.181659
2.000000,1403637132.588319,0.000000,0.128187,0.644220,0.029427,0.005741,-0.018444,-8.679857,-0.548617,-4.514488,-10.047800,8.584879,-4.181659
3.000000,1403637133.588319,0.000000,0.128187,0.644220,0.124599,-0.186337,0.090293,-8.679857,-0.548617,-4.514488,-10.047800,8.584879,-4.181659
4.000000,1403637134.588319,0.000000,0.128187,0.644220,0.006347,0.111127,-0.080415,-8.679857,-0.548617,-4.514488,-10.047800,8.584879,-4.181659
5.000000,1403637135.588319,0.000000,0.128187,0.644220,-0.007638,0.126602,-0.142652,-8.679857,-0.548617,-4.514488,-10.047800,8.584879,-4.181659
6.000000,1403637136.588319,0.000000,0.128187,0.644220,0.029258,-0.196813,0.207210,-8.679857,-0.548617,-4.514488,-10.047800,8.584879,-4.181659
7.000000,1403637138.588319,0.000000,0.128187,0.644220,-0.110106,0.209844,-0.121749,-8.679857,-0.548617,-4.514488,-10.047800,8.584879,-4.181659
8.000000,1403637138.588319,0.000000,0.128187,0.644220,-0.110106,0.209844,-0.121749,-8.679857,-0.548617,-4.514488,-10.047800,8.584879,-4.181659
9.000000,1403637139.588319,1.000000,0.115935,0.644220,0.022595,-0.119184,0.085391,9.278991,-0.769252,-2.498042,-9.885860,-9.595608,-0.633640
10.000000,1403637140.588319,1.000000,0.282603,0.644220,-0.000281,-0.001780,0.019772,-1.875155,-0.354409,0.020872,-9.740816,1.466891,1.644130
11.000000,1403637141.588319,0.000000,0.282603,0.644220,0.000081,-0.002348,0.020306,-1.875155,-0.354409,0.020872,-9.740816,1.466891,1.644130
12.000000,1403637142.588319,1.000000,0.159332,0.644220,0.000020,-0.002085,0.020640,-0.003105,-0.368459,0.026452,-9.658628,-0.405360,1.668140
13.000000,1403637143.588319,1.000000,1.300652,0.644220,0.000446,-0.002541,0.019833,-5.504316,0.147528,6.536987,-8.778661,5.198504,8.065304
14.000000,1403637144.588319,1.000000,0.476656,0.644220,-0.000496,-0.001544,0.021038,11.467672,-0.761742,-3.597829,-9.780272,-11.925923,-1.800759
15.000000,1403637145.588319,0.000000,0.476656,0.644220,-0.000066,-0.001604,0.019768,11.467672,-0.761742,-3.597829,-9.780272,-11.925923,-1.800759
16.000000,1403637146.588319,0.000000,0.476656,0.644220,0.000065,-0.001990,0.020901,11.467672,-0.761742,-3.597829,-9.780272,-11.925923,-1.800759
17.000000,1403637147.588319,1.000000,0.747886,0.644220,-0.001323,-0.000532,0.020662,-11.481031,-0.145025,1.815147,-9.846406,11.095210,3.340167
18.000000,1403637148.588319,0.000000,0.747886,0.644220,-0.017983,0.027670,0.019171,-11.481031,-0.145025,1.815147,-9.846406,11.095210,3.340167
19.000000,1403637149.588319,1.000000,0.062932,0.644220,0.037293,0.040483,-0.001347,-0.343626,-0.304999,-3.640164,-10.076361,-0.014230,-2.905325
20.000000,1403637150.588319,1.000000,0.423165,0.644220,-0.007868,-0.009170,0.024357,-11.679676,-0.296571,-6.536051,-10.212925,11.443865,-6.348184
