# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637130.588319,0.000000,0.000000,0.644220,-0.000070,-0.002248,0.019661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403637131.588319,0.000000,0.000000,0.644220,0.000775,-0.002343,0.023674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1403637132.588319,0.000000,0.000000,0.644220,0.029427,0.005741,-0.018444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,1403637133.588319,0.000000,0.000000,0.644220,0.124599,-0.186337,0.090293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,1403637134.588319,0.000000,0.000000,0.644220,0.006347,0.111127,-0.080415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,1403637135.588319,0.000000,0.000000,0.644220,-0.007638,0.126602,-0.142652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,1403637136.588319,0.000000,0.000000,0.644220,0.029258,-0.196813,0.207210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,1403637138.588319,0.000000,0.000000,0.644220,-0.110106,0.209844,-0.121749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,1403637138.588319,0.000000,0.000000,0.644220,-0.110106,0.209844,-0.121749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.000000,1403637139.588319,1.000000,0.061840,0.644220,0.022595,-0.119184,0.085391,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
10.000000,1403637140.588319,0.000000,0.061840,0.644220,-0.000281,-0.001780,0.019772,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
11.000000,1403637141.588319,0.000000,0.061840,0.644220,0.000081,-0.002348,0.020306,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
12.000000,1403637142.588319,0.000000,0.061840,0.644220,0.000020,-0.002085,0.020640,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
13.000000,1403637143.588319,0.000000,0.061840,0.644220,0.000446,-0.002541,0.019833,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
14.000000,1403637144.588319,0.000000,0.061840,0.644220,-0.000496,-0.001544,0.021038,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
15.000000,1403637145.588319,0.000000,0.061840,0.644220,-0.000066,-0.001604,0.019768,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
16.000000,1403637146.588319,0.000000,0.061840,0.644220,0.000065,-0.001990,0.020901,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
17.000000,1403637147.588319,0.000000,0.061840,0.644220,-0.001323,-0.000532,0.020662,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
18.000000,1403637148.588319,0.000000,0.061840,0.644220,-0.017983,0.027670,0.019171,7.707973,3.301166,-2.088776,-5.869792,-7.834056,-0.640615
19.000000,1403637149.588319,1.000000,0.043827,0.644220,0.037293,0.040483,-0.001347,-0.215426,0.370704,-3.504672,-9.398173,-0.116502,-2.810135
20.000000,1403637150.588319,1.000000,0.267843,0.644220,-0.007868,-0.009170,0.024357,-7.808700,4.862372,-3.654225,-4.768438,7.702168,-3.764933
21.000000,1403637151.588319,0.000000,0.267843,0.644220,-0.004721,0.016165,0.016324,-7.808700,4.862372,-3.654225,-4.768438,7.702168,-3.764933
22.000000,1403637152.588319,1.000000,0.039152,0.644220,0.005037,-0.010040,0.038079,8.935550,9.092920,4.229054,0.125620,-8.463778,4.958218
23.000000,1403637153.588319,0.000000,0.039152,0.644220,-0.001701,0.000391,-0.006014,8.935550,9.092920,4.229054,0.125620,-8.463778,4.958218
24.000000,1403637154.588319,0.000000,0.039152,0.644220,0.204407,-0.235365,-0.019255,8.935550,9.092920,4.229054,0.125620,-8.463778,4.958218
25.000000,1403637155.588319,1.000000,0.100001,0.644220,0.424204,-0.448846,-0.166315,9.245855,9.907976,-3.941205,0.733214,-9.255891,-3.166539
26.000000,1403637156.588319,1.000000,0.027776,0.644220,0.141291,-0.113988,-0.063559,5.265408,8.248572,7.891177,6.861119,-3.916503,5.815681
27.000000,1403637157.588319,0.000000,0.027776,0.644220,0.086425,-0.141365,0.074928,5.265408,8.248572,7.891177,6.861119,-3.916503,5.815681
28.000000,1403637158.588319,0.000000,0.027776,0.644220,0.148236,-0.124611,-0.046849,5.265408,8.248572,7.891177,6.861119,-3.916503,5.815681
29.000000,1403637159.588319,0.000000,0.027776,0.644220,0.368563,-0.392219,-0.041557,5.265408,8.248572,7.891177,6.861119,-3.916503,5.815681
30.000000,1403637161.588319,1.000000,0.042360,0.644220,0.083090,-0.139493,0.044329,-4.195589,17.429808,-0.763486,-3.377510,6.664257,-6.357373
31.000000,1403637161.588319,1.000000,0.042360,0.644220,0.083090,-0.139493,0.044329,-4.195589,17.429808,-0.763486,-3.377510,6.664257,-6.357373
32.000000,1403637162.588319,1.000000,0.285043,0.644220,0.483623,-0.548072,-0.023963,-8.961891,10.201170,1.998451,-0.325009,9.600675,1.989349
33.000000,1403637163.588319,1.000000,0.054081,0.644220,0.026406,0.031455,-0.074677,-1.397756,13.612028,-9.134523,-9.203926,-1.235406,3.161900
34.000000,1403637164.588319,1.000000,0.034496,0.644220,0.273370,-0.261952,0.026285,-5.271358,12.446332,6.979069,2.031362,8.818005,-3.788462
35.000000,1403637165.588319,1.000000,0.228612,0.644220,-0.042222,-0.076192,0.268276,-5.475440,13.765988,-6.810448,-7.834840,2.253407,5.456513
36.000000,1403637166.588319,0.000000,0.228612,0.644220,-0.037337,0.117348,-0.035418,-5.475440,13.765988,-6.810448,-7.834840,2.253407,5.456513
