# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637130.588319,1.000000,0.078138,1.224097,0.000025,-0.002156,0.019665,13.048370,-0.272195,2.960440,-9.589498,-13.099642,3.415211
1.000000,1403637131.588319,1.000000,0.148342,1.224097,0.000642,-0.002454,0.023585,-7.675236,-0.376180,-1.779972,-9.929393,7.594075,-1.442009
2.000000,1403637132.588319,0.000000,0.148342,1.224097,0.029412,0.005802,-0.018398,-7.675236,-0.376180,-1.779972,-9.929393,7.594075,-1.442009
3.000000,1403637133.588319,0.000000,0.148342,1.224097,0.124326,-0.186066,0.089533,-7.675236,-0.376180,-1.779972,-9.929393,7.594075,-1.442009
4.000000,1403637134.588319,0.000000,0.148342,1.224097,0.006319,0.110961,-0.080020,-7.675236,-0.376180,-1.779972,-9.929393,7.594075,-1.442009
5.000000,1403637135.588319,0.000000,0.148342,1.224097,-0.007522,0.125332,-0.142218,-7.675236,-0.376180,-1.779972,-9.929393,7.594075,-1.442009
6.000000,1403637136.588319,0.000000,0.148342,1.224097,0.028998,-0.196078,0.206676,-7.675236,-0.376180,-1.779972,-9.929393,7.594075,-1.442009
7.000000,1403637138.588319,0.000000,0.148342,1.224097,-0.109972,0.208925,-0.121669,-7.675236,-0.376180,-1.779972,-9.929393,7.594075,-1.442009
8.000000,1403637138.588319,0.000000,0.148342,1.224097,-0.109972,0.208925,-0.121669,-7.675236,-0.376180,-1.779972,-9.929393,7.594075,-1.442009
9.000000,1403637139.588319,1.000000,0.223398,1.224097,0.022654,-0.119249,0.085440,9.282157,-0.768804,-2.492391,-9.885260,-9.597419,-0.638147
10.000000,1403637140.588319,1.000000,0.469062,1.224097,-0.000279,-0.001779,0.019776,-2.236556,-0.347155,0.070493,-9.747934,1.828007,1.691168
11.000000,1403637141.588319,0.000000,0.469062,1.224097,0.000075,-0.002350,0.020296,-2.236556,-0.347155,0.070493,-9.747934,1.828007,1.691168
12.000000,1403637142.588319,1.000000,0.291002,1.224097,0.000014,-0.002077,0.020643,-0.001217,-0.368475,0.026443,-9.658691,-0.408007,1.667129
13.000000,1403637143.588319,1.000000,2.429724,1.224097,0.000449,-0.002546,0.019834,-4.957304,0.110312,6.105710,-8.828946,4.638092,7.647967
14.000000,1403637144.588319,1.000000,0.906396,1.224097,-0.000497,-0.001540,0.021041,11.304982,-0.763344,-3.643453,-9.796069,-11.761455,-1.859423
15.000000,1403637145.588319,0.000000,0.906396,1.224097,-0.000069,-0.001607,0.019768,11.304982,-0.763344,-3.643453,-9.796069,-11.761455,-1.859423
16.000000,1403637146.588319,0.000000,0.906396,1.224097,0.000069,-0.001995,0.020902,11.304982,-0.763344,-3.643453,-9.796069,-11.761455,-1.859423
17.000000,1403637147.588319,1.000000,1.714129,1.224097,-0.001324,-0.000516,0.020644,-12.060602,-0.107041,2.258907,-9.794758,11.678895,3.784192
18.000000,1403637148.588319,0.000000,1.714129,1.224097,-0.017973,0.027680,0.019183,-12.060602,-0.107041,2.258907,-9.794758,11.678895,3.784192
19.000000,1403637149.588319,1.000000,0.123436,1.224097,0.037065,0.040750,-0.001401,-0.335823,-0.305225,-3.621804,-10.074374,-0.017888,-2.887223
20.000000,1403637150.588319,1.000000,0.784810,1.224097,-0.007598,-0.008886,0.024235,-11.607485,-0.295484,-6.301568,-10.184504,11.397851,-6.103516
21.000000,1403637151.588319,1.000000,0.000827,1.224097,-0.004756,0.016295,0.015939,-19.320205,-0.803509,29.700953,-6.349522,22.225416,28.559732
22.000000,1403637152.588319,1.000000,0.335120,1.224097,0.004659,-0.009869,0.038236,11.849994,-0.636953,25.594291,-7.498423,-9.417670,27.335612
23.000000,1403637153.588319,1.000000,0.145695,1.224097,-0.001746,0.000560,-0.005989,15.404412,-1.339807,23.282636,-7.898343,-12.789389,25.498807
24.000000,1403637154.588319,1.000000,0.283812,1.224097,0.204181,-0.235343,-0.019466,-3.697513,-0.329505,-3.616471,-10.345113,3.364381,-2.133564
25.000000,1403637155.588319,1.000000,1.231960,1.224097,0.424077,-0.448955,-0.166122,-51.330858,2.101943,32.823231,0.000726,54.062418,29.646680
26.000000,1403637156.588319,0.000000,1.231960,1.224097,0.140261,-0.114144,-0.063651,-51.330858,2.101943,32.823231,0.000726,54.062418,29.646680
27.000000,1403637157.588319,0.000000,1.231960,1.224097,0.085050,-0.140923,0.074911,-51.330858,2.101943,32.823231,0.000726,54.062418,29.646680
28.000000,1403637158.588319,0.000000,1.231960,1.224097,0.147048,-0.124221,-0.046764,-51.330858,2.101943,32.823231,0.000726,54.062418,29.646680
29.000000,1403637159.588319,1.000000,0.184807,1.224097,0.367767,-0.391765,-0.041198,-29.382391,0.322202,8.592579,-3.822827,27.631559,15.922153
