# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637130.588319,1.000000,12.405819,1.224097,0.000025,-0.002156,0.019665,-0.000002,-0.000183,0.000013,-9.800573,-0.069645,0.424278
1.000000,1403637131.588319,0.000000,12.405819,1.224097,0.000642,-0.002454,0.023585,-0.000002,-0.000183,0.000013,-9.800573,-0.069645,0.424278
2.000000,1403637132.588319,0.000000,12.405819,1.224097,0.029412,0.005802,-0.018398,-0.000002,-0.000183,0.000013,-9.800573,-0.069645,0.424278
3.000000,1403637133.588319,0.000000,12.405819,1.224097,0.124326,-0.186066,0.089533,-0.000002,-0.000183,0.000013,-9.800573,-0.069645,0.424278
4.000000,1403637134.588319,0.000000,12.405819,1.224097,0.006319,0.110961,-0.080020,-0.000002,-0.000183,0.000013,-9.800573,-0.069645,0.424278
5.000000,1403637135.588319,1.000000,0.102586,1.224097,-0.007522,0.125332,-0.142218,-0.000066,-0.001545,0.000032,-9.676685,0.365315,1.569844
6.000000,1403637136.588319,1.000000,0.008665,1.224097,0.028998,-0.196078,0.206676,-0.000059,-0.001545,0.000036,-9.645398,-0.101394,1.786651
7.000000,1403637138.588319,0.000000,0.008665,1.224097,-0.109972,0.208925,-0.121669,-0.000059,-0.001545,0.000036,-9.645398,-0.101394,1.786651
8.000000,1403637138.588319,0.000000,0.008665,1.224097,-0.109972,0.208925,-0.121669,-0.000059,-0.001545,0.000036,-9.645398,-0.101394,1.786651
9.000000,1403637139.588319,0.000000,0.008665,1.224097,0.022654,-0.119249,0.085440,-0.000059,-0.001545,0.000036,-9.645398,-0.101394,1.786651
10.000000,1403637140.588319,0.000000,0.008665,1.224097,-0.000279,-0.001779,0.019776,-0.000059,-0.001545,0.000036,-9.645398,-0.101394,1.786651
11.000000,1403637141.588319,1.000000,231.979345,1.224097,0.000075,-0.002350,0.020296,-0.000001,-0.000193,0.000014,-9.658971,-0.431309,1.659626
12.000000,1403637142.588319,0.000000,231.979345,1.224097,0.000014,-0.002077,0.020643,-0.000001,-0.000193,0.000014,-9.658971,-0.431309,1.659626
13.000000,1403637143.588319,0.000000,231.979345,1.224097,0.000449,-0.002546,0.019834,-0.000001,-0.000193,0.000014,-9.658971,-0.431309,1.659626
14.000000,1403637144.588319,0.000000,231.979345,1.224097,-0.000497,-0.001540,0.021041,-0.000001,-0.000193,0.000014,-9.658971,-0.431309,1.659626
15.000000,1403637145.588319,0.000000,231.979345,1.224097,-0.000069,-0.001607,0.019768,-0.000001,-0.000193,0.000014,-9.658971,-0.431309,1.659626
16.000000,1403637146.588319,1.000000,67.205919,1.224097,0.000069,-0.001995,0.020902,-0.000002,-0.000215,0.000016,-9.656941,-0.402835,1.678488
17.000000,1403637147.588319,1.000000,28.568176,1.224097,-0.001324,-0.000516,0.020644,-0.000002,-0.000219,0.000015,-9.661943,-0.395856,1.651139
18.000000,1403637148.588319,0.000000,28.568176,1.224097,-0.017973,0.027680,0.019183,-0.000002,-0.000219,0.000015,-9.661943,-0.395856,1.651139
19.000000,1403637149.588319,1.000000,0.125006,1.224097,0.037065,0.040750,-0.001401,-0.000000,-0.000145,-0.000008,-9.782654,0.035782,0.731090
20.000000,1403637150.588319,1.000000,0.488634,1.224097,-0.007598,-0.008886,0.024235,-0.000006,-0.000285,-0.000003,-9.745411,0.317672,1.078033
21.000000,1403637151.588319,1.000000,0.004758,1.224097,-0.004756,0.016295,0.015939,-0.000007,-0.000556,-0.000003,-9.760904,0.319725,0.926628
22.000000,1403637152.588319,0.000000,0.004758,1.224097,0.004659,-0.009869,0.038236,-0.000007,-0.000556,-0.000003,-9.760904,0.319725,0.926628
23.000000,1403637153.588319,0.000000,0.004758,1.224097,-0.001746,0.000560,-0.005989,-0.000007,-0.000556,-0.000003,-9.760904,0.319725,0.926628
