# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638127.295097,1.000000,6.346299,0.438504,0.000047,-0.000204,0.017696,-0.000016,-0.001480,0.000018,-9.809008,-0.051513,-0.129619
1.000000,1403638128.295097,1.000000,0.103828,0.438504,-0.008684,-0.029558,0.016912,-0.000016,-0.001442,0.000010,-9.808397,-0.062153,-0.166105
2.000000,1403638129.295097,1.000000,0.272934,0.438504,-0.047813,0.044587,0.030002,0.000021,-0.000725,0.000037,-9.774782,-0.825446,0.091478
3.000000,1403638130.295097,1.000000,0.083159,0.438504,-0.023530,-0.042259,0.070267,-0.000088,-0.002327,0.000275,-9.784552,-0.702237,0.074219
4.000000,1403638131.295097,1.000000,0.058805,0.438504,0.012325,0.016738,0.085297,-0.000068,0.000299,0.000010,-9.791968,-0.208793,-0.556659
5.000000,1403638132.295097,1.000000,0.000020,0.438504,-0.016001,-0.074835,0.011215,-0.000071,-0.002190,0.000093,-9.759060,-0.510995,-0.857745
6.000000,1403638133.295097,1.000000,0.000018,0.438504,0.242711,-0.209657,-0.050763,-0.000020,-0.000022,0.000051,-9.527664,-1.004055,2.109880
7.000000,1403638134.295097,1.000000,0.000018,0.438504,-0.047386,0.116117,-0.046379,0.000021,-0.001550,0.000075,-9.596679,-1.509415,1.364378
8.000000,1403638135.295097,1.000000,0.000552,0.438504,0.145619,-0.180328,0.052457,-0.000019,-0.001045,-0.000016,-9.675349,-0.949967,1.311977
9.000000,1403638136.295097,1.000000,0.033933,0.438504,-0.121214,0.143509,-0.051846,-0.000144,-0.001315,0.000245,-9.091710,-1.536185,3.349185
10.000000,1403638137.295097,1.000000,0.000025,0.438504,0.057861,0.024880,0.037239,0.000012,-0.000930,-0.000042,-9.702027,-0.866279,1.164616
11.000000,1403638138.295097,1.000000,0.250186,0.438504,-0.001107,-0.021511,0.037954,-0.000013,-0.001324,-0.000012,-9.683251,-0.675044,1.419527
12.000000,1403638139.295097,1.000000,0.047176,0.438504,0.001557,-0.006199,0.018216,-0.000024,-0.001527,-0.000011,-9.684137,-0.605788,1.444510
13.000000,1403638140.295097,1.000000,0.696226,0.438504,0.000025,-0.002415,0.020588,-0.000017,-0.001542,-0.000013,-9.679894,-0.667153,1.445908
14.000000,1403638141.295097,1.000000,0.001820,0.438504,0.001176,-0.003534,0.019968,-0.000017,-0.001553,-0.000013,-9.680246,-0.667224,1.443523
15.000000,1403638142.295097,1.000000,0.001867,0.438504,-0.001477,-0.000387,0.020770,-0.000018,-0.001602,-0.000016,-9.682170,-0.666101,1.431081
16.000000,1403638143.295097,1.000000,20.047884,0.438504,0.000214,-0.002392,0.020112,-0.000014,-0.001480,-0.000007,-9.674447,-0.675587,1.478094
17.000000,1403638144.295097,1.000000,0.967342,0.438504,0.000032,-0.002115,0.020373,-0.000017,-0.001555,-0.000014,-9.681127,-0.668043,1.437219
18.000000,1403638145.295097,1.000000,0.000013,0.438504,-0.002363,0.002200,0.021883,-0.000017,-0.001586,-0.000016,-9.682292,-0.667904,1.429411
19.000000,1403638146.295097,1.000000,0.000059,0.438504,0.001866,-0.005437,0.018687,-0.000017,-0.001583,-0.000014,-9.682712,-0.664381,1.428212
20.000000,1403638147.295097,1.000000,0.000141,0.438504,-0.000755,-0.089917,0.109804,0.000000,-0.000557,-0.000002,-9.669719,-0.698003,1.498476
21.000000,1403638148.295097,1.000000,0.049586,0.438504,-0.033601,0.049687,0.020522,-0.000024,-0.001499,-0.000022,-9.706437,-0.480919,1.337873
22.000000,1403638149.295097,1.000000,1.190390,0.438504,-0.029899,0.029080,0.088883,-0.000219,-0.001045,0.000035,-9.578977,1.439926,1.551102
23.000000,1403638150.295097,1.000000,0.128971,0.438504,-0.211439,0.221516,0.068704,-0.000003,-0.000697,0.000035,-9.807762,0.009131,0.209322
24.000000,1403638151.295097,1.000000,0.130757,0.438504,-0.196542,0.205574,0.101326,0.000024,-0.000631,0.000008,-9.325823,1.223347,-2.787212
25.000000,1403638152.295097,1.000000,0.124658,0.438504,-0.128842,0.139550,0.032268,-0.000011,-0.000809,-0.000016,-9.068799,1.600260,-3.381145
26.000000,1403638153.295097,1.000000,0.227890,0.438504,-0.204780,0.149954,0.190778,-0.000010,-0.001276,0.000023,-7.917588,2.553725,-5.198690
27.000000,1403638154.295097,1.000000,0.207040,0.438504,-0.114947,0.096428,0.088876,0.000004,-0.000293,-0.000009,-6.938683,2.845078,-6.324264
28.000000,1403638155.295097,1.000000,0.227751,0.438504,-0.397594,0.433971,0.034080,-0.000043,-0.000816,-0.000152,-4.789180,3.568347,-7.782465
29.000000,1403638156.295097,1.000000,0.000021,0.438504,-0.053066,0.094288,-0.011626,-0.000011,-0.001173,-0.000048,-2.257201,3.589173,-8.846411
30.000000,1403638157.295097,1.000000,0.000079,0.438504,-0.243567,0.175353,0.163266,-0.000057,-0.001249,-0.000011,-1.420811,3.861811,-8.905269
31.000000,1403638158.295097,1.000000,0.000050,0.438504,0.007505,0.065407,-0.066225,-0.000009,-0.001007,-0.000005,0.079494,3.919249,-8.992734
32.000000,1403638160.295097,1.000000,0.000049,0.438504,0.160279,-0.206027,-0.023341,-0.000028,-0.001716,-0.000001,-0.223230,3.793438,-9.044119
33.000000,1403638160.295097,1.000000,0.000049,0.438504,0.160279,-0.206027,-0.023341,-0.000028,-0.001716,-0.000001,-0.223230,3.793438,-9.044119
34.000000,1403638161.295097,1.000000,0.000035,0.438504,0.203448,-0.166011,-0.111228,0.000011,-0.001297,0.000068,-3.278711,3.517553,-8.550613
35.000000,1403638162.295097,1.000000,0.000019,0.438504,0.083517,-0.128816,0.044919,-0.000042,-0.001433,-0.000006,-4.049409,3.144358,-8.363696
36.000000,1403638163.295097,1.000000,0.000071,0.438504,0.108557,-0.114106,-0.024165,0.000000,-0.000191,0.000005,-5.657115,3.035911,-7.417304
37.000000,1403638164.295097,1.000000,0.000020,0.438504,0.086874,-0.086815,0.011629,-0.000025,-0.001892,0.000042,-5.951259,2.746698,-7.298922
38.000000,1403638165.295097,1.000000,0.000118,0.438504,0.037489,-0.018078,0.051595,-0.000042,-0.000519,0.000032,-6.706507,2.630650,-6.658720
39.000000,1403638166.295097,1.000000,0.020493,0.438504,-0.022622,0.101268,-0.080691,0.000023,-0.001360,0.000018,-6.518088,2.896757,-6.734941
40.000000,1403638167.295097,1.000000,0.000022,0.438504,0.156451,-0.241671,-0.012952,0.000011,-0.001312,0.000055,-6.859410,2.497472,-6.553414
41.000000,1403638168.295097,1.000000,0.670738,0.438504,0.109302,-0.122254,0.039501,-0.000107,-0.001046,0.000169,-8.552459,2.916787,-3.818887
42.000000,1403638169.295097,1.000000,0.140247,0.438504,0.403877,-0.506907,-0.008460,-0.000009,-0.000602,-0.000037,-8.980745,1.244505,-3.746134
43.000000,1403638170.295097,1.000000,0.000035,0.438504,0.380545,-0.421638,-0.124590,-0.000030,-0.000797,-0.000024,-9.752153,-0.845054,0.646137
44.000000,1403638171.295097,1.000000,0.000009,0.438504,0.129463,-0.184417,0.025591,0.000003,-0.000905,0.000032,-9.082128,-2.414375,2.814576
45.000000,1403638172.295097,1.000000,0.000006,0.438504,-0.040931,0.082791,-0.026938,-0.000012,-0.001942,0.000067,-8.845404,-2.698242,3.273288
46.000000,1403638173.295097,1.000000,0.178402,0.438504,0.045583,0.017906,0.052795,-0.000026,-0.000806,0.000048,-8.927153,-2.050102,3.512708
47.000000,1403638175.295097,1.000000,0.151930,0.438504,0.021994,-0.047127,0.100646,0.000003,-0.000161,-0.000005,-8.683716,-1.448523,4.327927
48.000000,1403638175.295097,1.000000,0.151930,0.438504,0.021994,-0.047127,0.100646,0.000003,-0.000161,-0.000005,-8.683716,-1.448523,4.327927
49.000000,1403638176.295097,1.000000,0.137896,0.438504,0.009879,-0.014012,0.031972,-0.000007,-0.000488,0.000008,-8.942773,-1.065376,3.889458
50.000000,1403638177.295097,1.000000,0.001966,0.438504,0.048747,-0.133173,-0.023111,0.000027,-0.000825,-0.000014,-8.983765,-1.494433,3.646195
51.000000,1403638178.295097,1.000000,0.000000,0.438504,0.374211,-0.282393,-0.178998,-0.000069,-0.001777,0.000103,-7.339063,-2.883334,5.836149
52.000000,1403638179.295097,1.000000,0.225052,0.438504,0.336085,-0.357837,-0.077130,0.000030,-0.000718,0.000034,-4.482615,-3.661592,7.920543
53.000000,1403638180.295097,1.000000,0.000148,0.438504,-0.028069,0.015371,0.029620,-0.000017,-0.001269,0.000010,-3.185060,-3.814700,8.458106
54.000000,1403638181.295097,1.000000,0.000042,0.438504,0.325233,-0.322740,-0.072295,0.000019,-0.000511,0.000037,-1.555737,-4.254245,8.701562
55.000000,1403638182.295097,1.000000,0.006783,0.438504,-0.004123,-0.019071,0.104641,-0.000004,-0.001253,0.000012,-0.023130,-4.108652,8.908117
56.000000,1403638183.295097,1.000000,0.186024,0.438504,0.005121,0.015179,0.007329,0.000010,-0.000674,0.000007,-0.275221,-3.785681,9.045937
57.000000,1403638184.295097,1.000000,0.800615,0.438504,0.010921,-0.044578,0.068214,-0.000002,-0.000151,-0.000005,-0.528353,-3.828549,9.016604
58.000000,1403638185.295097,1.000000,0.217420,0.438504,-0.137376,0.123552,0.026782,-0.000026,-0.001179,0.000002,-1.262536,-3.647601,9.018709
59.000000,1403638186.295097,1.000000,0.186689,0.438504,-0.198631,0.141446,0.158670,-0.000044,-0.000754,-0.000035,-1.904304,-3.678180,8.892734
60.000000,1403638187.295097,1.000000,0.170759,0.438504,-0.097138,0.051089,0.161181,-0.000035,-0.001381,-0.000055,-4.926600,-3.028141,7.924334
61.000000,1403638188.295097,1.000000,0.086319,0.438504,-0.146042,0.148658,-0.015563,-0.000005,-0.000295,-0.000011,-5.256995,-3.216490,7.632450
62.000000,1403638189.295097,1.000000,0.000053,0.438504,-0.097342,0.160561,0.019503,0.000010,-0.001192,-0.000021,-6.734447,-2.952435,6.493570
63.000000,1403638190.295097,1.000000,0.175241,0.438504,-0.080768,0.084599,0.021992,-0.000009,-0.000365,-0.000029,-7.311815,-2.388383,6.088439
64.000000,1403638191.295097,1.000000,0.128288,0.438504,0.014914,-0.013550,0.033406,-0.000019,-0.000963,-0.000005,-7.270301,-2.407010,6.130671
65.000000,1403638192.295097,1.000000,0.000063,0.438504,-0.061133,-0.039033,0.076784,-0.000023,-0.000808,-0.000053,-7.380347,-2.628932,5.903838
66.000000,1403638193.295097,1.000000,0.000000,0.438504,-0.018391,0.063914,0.006743,0.000001,-0.001846,-0.000050,-7.785340,-2.456010,5.439908
67.000000,1403638194.295097,1.000000,0.000038,0.438504,0.008624,0.132546,-0.130148,-0.000000,-0.001267,-0.000029,-7.739879,-2.471207,5.497592
68.000000,1403638195.295097,1.000000,0.000052,0.438504,-0.004946,-0.063905,0.088292,-0.000011,-0.000291,-0.000008,-7.710111,-2.489370,5.531124
69.000000,1403638196.295097,1.000000,0.000026,0.438504,0.009671,-0.030598,0.051726,-0.000002,-0.001225,-0.000020,-7.708522,-2.531937,5.513990
70.000000,1403638197.295097,1.000000,0.153625,0.438504,-0.008166,-0.051016,0.067935,-0.000105,-0.001953,-0.000035,-7.798350,-1.928050,5.630672
71.000000,1403638198.295097,1.000000,0.057241,0.438504,0.031036,-0.050414,0.134405,-0.000045,0.000108,0.000023,-7.761406,-1.711676,5.750378
72.000000,1403638199.295097,1.000000,0.116319,0.438504,-0.159142,0.155921,0.028987,-0.000003,-0.000530,-0.000009,-8.123929,-1.497073,5.291186
73.000000,1403638200.295097,1.000000,0.205997,0.438504,-0.185498,0.172047,0.062012,0.000028,-0.000600,-0.000007,-9.290033,-0.365936,3.130094
74.000000,1403638201.295097,1.000000,0.000043,0.438504,-0.053773,0.064438,-0.031430,-0.000020,-0.001446,-0.000109,-9.442612,-0.733445,2.556411
75.000000,1403638202.295097,1.000000,0.000006,0.438504,-0.020038,-0.007146,0.036562,-0.000005,-0.001038,-0.000076,-9.583373,-1.025446,1.828531
76.000000,1403638203.295097,1.000000,0.000011,0.438504,-0.026574,0.055039,-0.053864,-0.000002,-0.000379,-0.000024,-9.570015,-1.069434,1.872757
77.000000,1403638204.295097,1.000000,0.000018,0.438504,-0.359578,0.326224,0.215262,-0.000059,-0.001538,-0.000075,-9.641793,-1.282854,1.275235
78.000000,1403638205.295097,1.000000,0.000082,0.438504,-0.514032,0.411548,0.336470,0.000012,-0.000087,0.000047,-8.695534,2.257079,-3.940734
79.000000,1403638206.295097,1.000000,0.000104,0.438504,-0.187593,0.122471,0.052542,-0.000033,-0.002167,-0.000149,-6.466772,3.080863,-6.702630
80.000000,1403638207.295097,1.000000,0.097595,0.438504,-0.189779,0.230284,-0.005499,0.000018,-0.000600,-0.000020,-4.710105,3.239581,-7.972209
81.000000,1403638208.295097,1.000000,0.000051,0.438504,-0.110494,0.126469,0.033304,-0.000001,-0.001144,-0.000017,-4.021653,3.313885,-8.311473
82.000000,1403638209.295097,1.000000,0.000019,0.438504,0.008581,-0.067378,0.086264,-0.000041,-0.002197,-0.000053,-3.548291,3.419857,-8.482353
83.000000,1403638210.295097,1.000000,0.000011,0.438504,-0.002494,0.045560,-0.044593,-0.000001,-0.000420,-0.000008,-3.688470,3.425956,-8.419864
84.000000,1403638211.295097,1.000000,0.000061,0.438504,0.414490,-0.441551,-0.142438,0.000032,-0.000448,0.000131,-5.367623,2.899533,-7.682280
85.000000,1403638212.295097,1.000000,0.000255,0.438504,0.545986,-0.522694,-0.209697,-0.000042,-0.000052,-0.000073,-8.929001,1.324409,-3.841222
86.000000,1403638213.295097,1.000000,0.068899,0.438504,0.250689,-0.258280,0.001515,0.000053,-0.000595,0.000092,-9.701523,-1.061628,0.994738
87.000000,1403638214.295097,1.000000,0.707457,0.438504,-0.038047,-0.026178,0.130037,-0.000136,-0.001107,0.000090,-9.683378,0.177816,1.560984
88.000000,1403638215.295097,1.000000,0.100415,0.438504,0.044530,-0.056569,0.026386,-0.000005,-0.000554,0.000016,-9.745124,-0.295398,1.086921
89.000000,1403638216.295097,1.000000,0.692619,0.438504,0.122643,-0.110560,-0.027655,-0.000041,-0.000432,0.000006,-9.683727,0.352799,1.528743
90.000000,1403638217.295097,1.000000,0.153394,0.438504,0.042295,-0.063945,0.087108,0.000015,-0.000322,-0.000006,-9.377442,-0.741304,2.783910
91.000000,1403638218.295097,1.000000,0.094874,0.438504,0.028465,-0.025231,-0.076371,-0.000023,-0.001008,0.000001,-9.430820,-0.767028,2.589864
