# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638127.295097,1.000000,0.336233,0.438504,0.000033,-0.000204,0.017715,5.079598,0.616238,1.326915,-8.282044,-5.111406,1.231817
1.000000,1403638128.295097,1.000000,0.115593,0.438504,-0.008698,-0.029511,0.016915,-3.301320,4.880334,8.174205,-4.363226,3.382689,8.108994
2.000000,1403638129.295097,1.000000,0.000045,0.438504,-0.048894,0.043490,0.029912,0.071849,19.073780,0.521863,9.667482,0.496810,1.590304
3.000000,1403638130.295097,1.000000,0.000089,0.438504,-0.022640,-0.042043,0.069893,-0.796980,14.659947,6.601408,5.281397,0.816150,8.226594
4.000000,1403638131.295097,1.000000,0.000222,0.438504,0.012747,0.017748,0.084780,-9.274004,9.679878,2.743905,-0.729472,9.071853,3.661346
5.000000,1403638132.295097,1.000000,0.116017,0.438504,-0.016297,-0.073580,0.011188,-2.836958,15.058147,5.910152,5.499612,2.757607,7.641071
6.000000,1403638133.295097,1.000000,0.000052,0.438504,0.241016,-0.202254,-0.061205,6.339281,17.060366,-1.391855,8.063109,-5.578649,-0.317897
7.000000,1403638134.295097,1.000000,0.000135,0.438504,-0.046731,0.113275,-0.047902,8.188701,13.439777,2.601107,5.946775,-7.582435,1.838108
8.000000,1403638135.295097,1.000000,0.065491,0.438504,0.145862,-0.179641,0.053181,8.754213,10.675020,-4.434266,1.854504,-8.354069,-4.796503
9.000000,1403638136.295097,1.000000,0.000098,0.438504,-0.124413,0.137615,-0.048472,-8.458197,12.903002,1.139474,3.119509,8.985979,2.399363
10.000000,1403638137.295097,1.000000,0.000007,0.438504,0.057108,0.025134,0.036916,8.460762,14.278661,0.139239,5.728159,-7.948600,-0.494010
11.000000,1403638138.295097,1.000000,0.003555,0.438504,-0.001031,-0.021189,0.038211,-0.633511,-0.824026,0.707674,-9.578464,-0.017876,2.118681
12.000000,1403638139.295097,0.000000,0.003557,0.438504,-0.001031,-0.021189,0.038211,-0.633603,-0.823994,0.708025,-9.578389,-0.017774,2.119022
13.000000,1403638140.295097,0.000000,0.003557,0.438504,-0.001031,-0.021189,0.038211,-0.633603,-0.823994,0.708025,-9.578389,-0.017774,2.119022
14.000000,1403638141.295097,0.000000,0.003557,0.438504,-0.001031,-0.021189,0.038211,-0.633603,-0.823994,0.708025,-9.578389,-0.017774,2.119022
15.000000,1403638142.295097,0.000000,0.003557,0.438504,-0.001031,-0.021189,0.038211,-0.633603,-0.823994,0.708025,-9.578389,-0.017774,2.119022
16.000000,1403638143.295097,0.000000,0.003557,0.438504,-0.001031,-0.021189,0.038211,-0.633603,-0.823994,0.708025,-9.578389,-0.017774,2.119022
17.000000,1403638144.295097,1.000000,0.189292,0.438504,0.000032,-0.002118,0.020372,9.213754,8.675101,3.692259,1.039250,-9.057412,3.622064
18.000000,1403638145.295097,0.000000,0.189292,0.438504,0.000032,-0.002118,0.020372,9.213754,8.675101,3.692259,1.039250,-9.057412,3.622064
19.000000,1403638146.295097,1.000000,0.001761,0.438504,0.001866,-0.005438,0.018688,2.560783,-0.504942,1.291107,-8.892013,-3.175012,2.662238
20.000000,1403638147.295097,1.000000,0.000027,0.438504,-0.000565,-0.088920,0.110295,8.533429,4.563649,1.523060,-3.878964,-8.768331,2.075117
21.000000,1403638148.295097,1.000000,0.000152,0.438504,-0.033529,0.049376,0.020214,-4.007298,8.803790,-8.850164,-1.635460,4.529898,-8.546426
22.000000,1403638149.295097,1.000000,0.051911,0.438504,-0.032081,0.027092,0.089073,6.015078,8.372135,-7.798284,-0.909171,-5.317563,-8.193475
23.000000,1403638150.295097,1.000000,0.000092,0.438504,-0.211121,0.217855,0.068815,0.677968,8.521260,9.917328,-0.473924,-1.120656,9.734250
24.000000,1403638151.295097,1.000000,0.000810,0.438504,-0.199701,0.204892,0.094472,8.738867,5.006566,1.909010,-5.487844,-8.123963,-0.347702
25.000000,1403638152.295097,1.000000,0.000209,0.438504,-0.129945,0.138193,0.036142,6.830215,16.285779,1.546144,5.158083,-7.809685,2.939235
26.000000,1403638153.295097,1.000000,0.000047,0.438504,-0.209111,0.148106,0.185085,9.714462,10.022458,2.086458,-2.021100,-9.560273,0.867431
27.000000,1403638154.295097,1.000000,0.000018,0.438504,-0.114344,0.096603,0.090015,-5.598790,12.365427,7.667514,-1.353838,4.548357,8.585783
28.000000,1403638155.295097,1.000000,0.000013,0.438504,-0.402580,0.442638,0.052408,6.355274,11.577943,-6.613837,5.576039,-6.866145,-4.242634
29.000000,1403638156.295097,1.000000,0.000045,0.438504,-0.054654,0.093052,-0.012122,-6.709756,7.642569,-6.659325,8.221073,4.949084,-2.038783
30.000000,1403638157.295097,1.000000,0.000030,0.438504,-0.238772,0.185571,0.170161,7.386994,14.946971,-2.718982,1.496440,-9.447502,2.177490
31.000000,1403638158.295097,1.000000,0.000088,0.438504,0.007365,0.064521,-0.066662,-8.320090,8.122454,5.075990,-1.756472,9.238841,2.791903
32.000000,1403638160.295097,1.000000,0.000571,0.438504,0.166241,-0.203054,-0.021181,4.781184,6.726367,-8.415763,6.210364,-5.890399,-4.792774
33.000000,1403638160.295097,1.000000,0.000571,0.438504,0.166241,-0.203054,-0.021181,4.781184,6.726367,-8.415763,6.210364,-5.890399,-4.792774
34.000000,1403638161.295097,1.000000,0.000018,0.438504,0.202480,-0.164780,-0.113463,9.528260,6.456371,-0.125629,-4.060054,-7.700463,-4.522713
35.000000,1403638162.295097,1.000000,0.000118,0.438504,0.084671,-0.128330,0.045208,-8.408957,9.182660,-4.872516,6.701497,7.149094,-0.465299
36.000000,1403638163.295097,1.000000,0.000132,0.438504,0.107772,-0.114978,-0.026741,6.489644,2.366112,-1.617064,-4.610730,-4.015231,-7.671714
37.000000,1403638164.295097,1.000000,0.150850,0.438504,0.087222,-0.089091,0.011814,9.067746,9.546494,4.328121,-4.677902,-8.395418,1.967304
38.000000,1403638165.295097,1.000000,0.000219,0.438504,0.042131,-0.017347,0.051455,-9.145738,8.573882,3.063662,-1.245119,9.160009,3.283293
39.000000,1403638166.295097,1.000000,0.000207,0.438504,-0.022080,0.101541,-0.080876,9.468366,6.613337,-0.992360,-3.375121,-8.368742,-3.848223
40.000000,1403638167.295097,1.000000,0.000037,0.438504,0.159859,-0.239436,-0.009586,5.711502,12.934597,6.866538,-3.541010,-5.560198,7.265091
41.000000,1403638168.295097,1.000000,0.171650,0.438504,0.109515,-0.121355,0.032965,8.510317,7.171848,4.522108,-5.566390,-7.535136,2.910865
42.000000,1403638169.295097,1.000000,0.000040,0.438504,0.405561,-0.503543,0.000370,8.952291,10.592957,-4.725121,2.074244,-8.653457,-4.129321
43.000000,1403638170.295097,1.000000,0.000025,0.438504,0.380276,-0.416294,-0.126167,6.946486,8.302136,-7.502528,-0.490435,-6.072989,-7.688587
44.000000,1403638171.295097,1.000000,0.000213,0.438504,0.129421,-0.182996,0.025186,8.762710,7.443584,-4.683910,-1.199036,-8.065727,-5.453665
45.000000,1403638172.295097,1.000000,0.000069,0.438504,-0.040980,0.083800,-0.026075,8.193787,11.476118,-5.048890,2.470180,-6.063458,-7.305394
46.000000,1403638173.295097,1.000000,0.036414,0.438504,0.045805,0.017255,0.052396,-8.454234,8.609650,4.288978,-0.301744,7.600349,6.195139
47.000000,1403638175.295097,1.000000,0.197035,0.438504,0.019303,-0.045795,0.101358,-0.750209,4.559747,-9.159592,-7.870003,-0.958078,-5.777650
48.000000,1403638175.295097,1.000000,0.197035,0.438504,0.019303,-0.045795,0.101358,-0.750209,4.559747,-9.159592,-7.870003,-0.958078,-5.777650
49.000000,1403638176.295097,1.000000,0.000119,0.438504,0.010004,-0.013888,0.032015,-9.501240,9.357027,-2.253208,-1.673229,9.575639,-1.320433
50.000000,1403638177.295097,1.000000,0.000021,0.438504,0.054108,-0.130203,-0.022014,9.344221,10.518797,3.344107,3.702986,-8.911678,1.762383
51.000000,1403638178.295097,1.000000,0.187874,0.438504,0.373830,-0.282347,-0.181931,9.000722,11.425307,-3.680495,2.608000,-7.669887,-5.532384
52.000000,1403638179.295097,1.000000,0.062605,0.438504,0.331764,-0.366214,-0.088072,9.468661,8.482702,-3.205521,0.711959,-9.328700,-2.950351
53.000000,1403638180.295097,1.000000,0.000052,0.438504,-0.027542,0.015357,0.029354,-4.610702,10.852897,8.389473,6.162893,6.811753,3.443091
54.000000,1403638181.295097,1.000000,0.000220,0.438504,0.324583,-0.333816,-0.084440,9.900375,10.043923,-0.409389,3.742642,-8.104422,-4.067810
55.000000,1403638182.295097,1.000000,0.044228,0.438504,-0.004191,-0.018738,0.104711,8.297006,14.224779,1.411758,4.635015,-4.130445,-7.595536
56.000000,1403638183.295097,1.000000,0.000063,0.438504,0.007493,0.012391,0.005321,7.808359,3.229010,-0.784739,1.946137,-9.217634,2.735667
57.000000,1403638184.295097,1.000000,0.000068,0.438504,0.010800,-0.044620,0.068295,-4.673626,0.575335,0.676030,-1.285327,1.033003,9.670416
58.000000,1403638185.295097,1.000000,0.157743,0.438504,-0.133766,0.129020,0.026126,6.678513,9.206508,7.617916,9.000257,-3.812726,-0.833417
59.000000,1403638186.295097,1.000000,0.129225,0.438504,-0.197557,0.140938,0.166587,-7.075313,12.031324,-5.950040,-7.619828,5.857365,-1.966111
60.000000,1403638187.295097,1.000000,0.000014,0.438504,-0.100388,0.048220,0.157574,6.555025,1.589632,-1.210642,-2.945056,-8.607996,3.669489
61.000000,1403638188.295097,1.000000,0.007708,0.438504,-0.144344,0.151181,-0.011391,-9.045552,11.135019,3.534411,1.982553,9.094169,3.098655
62.000000,1403638189.295097,1.000000,0.000027,0.438504,-0.092121,0.160851,0.016436,2.124246,0.188234,3.815147,-2.910666,-4.462629,8.237054
63.000000,1403638190.295097,1.000000,0.029143,0.438504,-0.080275,0.089802,0.023082,-4.870486,10.616191,-8.030539,-5.746695,5.131696,-6.072668
64.000000,1403638191.295097,1.000000,0.000145,0.438504,0.015098,-0.013361,0.033597,-7.836554,9.708970,5.968158,2.252046,8.115100,5.030859
65.000000,1403638192.295097,1.000000,0.152154,0.438504,-0.062510,-0.039049,0.077880,-1.917188,18.796894,0.810646,6.686627,4.856123,-5.286131
