# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638127.295097,1.000000,0.313645,0.438504,0.000034,-0.000203,0.017715,4.900831,-0.897942,1.750623,-9.808744,-4.955596,1.615289
1.000000,1403638128.295097,1.000000,0.162797,0.438504,-0.008722,-0.029598,0.016823,-0.474386,-0.522307,44.700716,-10.577146,0.708016,44.513179
2.000000,1403638129.295097,0.000000,0.162797,0.438504,-0.048701,0.041167,0.030628,-0.474386,-0.522307,44.700716,-10.577146,0.708016,44.513179
3.000000,1403638130.295097,0.000000,0.162797,0.438504,-0.021900,-0.040803,0.071161,-0.474386,-0.522307,44.700716,-10.577146,0.708016,44.513179
4.000000,1403638131.295097,1.000000,0.111205,0.438504,0.013402,0.016747,0.086772,-21.439985,0.423060,15.140434,-11.204382,19.950758,15.977226
5.000000,1403638132.295097,1.000000,0.084041,0.438504,-0.015886,-0.073978,0.011623,-15.716596,-1.858205,-18.367306,-9.188747,17.733508,-16.772338
6.000000,1403638133.295097,0.000000,0.084041,0.438504,0.241935,-0.201621,-0.057938,-15.716596,-1.858205,-18.367306,-9.188747,17.733508,-16.772338
7.000000,1403638134.295097,0.000000,0.084041,0.438504,-0.047080,0.110962,-0.049135,-15.716596,-1.858205,-18.367306,-9.188747,17.733508,-16.772338
8.000000,1403638135.295097,1.000000,0.191888,0.438504,0.144792,-0.181716,0.051938,-50.853567,-0.179288,0.865647,-14.759871,49.510314,3.158652
9.000000,1403638136.295097,1.000000,0.045027,0.438504,-0.123901,0.137709,-0.046465,-41.123008,-3.965738,-26.044153,-24.014647,39.954400,-17.603784
10.000000,1403638137.295097,0.000000,0.045027,0.438504,0.056632,0.024640,0.037172,-41.123008,-3.965738,-26.044153,-24.014647,39.954400,-17.603784
11.000000,1403638138.295097,1.000000,0.003613,0.438504,-0.001032,-0.021182,0.038211,-1.033081,-0.911793,5.884823,-8.904838,0.483497,7.243950
12.000000,1403638139.295097,0.000000,0.003613,0.438504,0.001536,-0.006200,0.018224,-1.033081,-0.911793,5.884823,-8.904838,0.483497,7.243950
13.000000,1403638140.295097,0.000000,0.003613,0.438504,0.000025,-0.002416,0.020588,-1.033081,-0.911793,5.884823,-8.904838,0.483497,7.243950
14.000000,1403638141.295097,0.000000,0.003613,0.438504,0.001177,-0.003531,0.019967,-1.033081,-0.911793,5.884823,-8.904838,0.483497,7.243950
15.000000,1403638142.295097,0.000000,0.003613,0.438504,-0.001477,-0.000374,0.020772,-1.033081,-0.911793,5.884823,-8.904838,0.483497,7.243950
16.000000,1403638143.295097,1.000000,0.352646,0.438504,0.000214,-0.002397,0.020113,21.332780,-0.904735,-24.647851,-11.816234,-22.294519,-22.852110
17.000000,1403638144.295097,1.000000,0.106735,0.438504,0.000032,-0.002117,0.020372,-0.009452,-0.882314,-0.008378,-9.681258,-0.668595,1.436082
18.000000,1403638145.295097,0.000000,0.106735,0.438504,-0.002363,0.002201,0.021882,-0.009452,-0.882314,-0.008378,-9.681258,-0.668595,1.436082
19.000000,1403638146.295097,1.000000,0.001427,0.438504,0.001867,-0.005437,0.018691,3.768571,-0.947888,1.100869,-9.259885,-4.416039,2.548281
20.000000,1403638147.295097,0.000000,0.001427,0.438504,-0.000744,-0.089691,0.109997,3.768571,-0.947888,1.100869,-9.259885,-4.416039,2.548281
21.000000,1403638148.295097,0.000000,0.001427,0.438504,-0.033510,0.049110,0.020055,3.768571,-0.947888,1.100869,-9.259885,-4.416039,2.548281
22.000000,1403638149.295097,0.000000,0.001427,0.438504,-0.031972,0.027211,0.089380,3.768571,-0.947888,1.100869,-9.259885,-4.416039,2.548281
23.000000,1403638150.295097,1.000000,0.122049,0.438504,-0.212007,0.216765,0.068516,-2.269797,-0.614976,14.130658,-9.537353,1.571654,14.407869
24.000000,1403638151.295097,0.000000,0.122049,0.438504,-0.201599,0.203156,0.095332,-2.269797,-0.614976,14.130658,-9.537353,1.571654,14.407869
