# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638127.395097,1.000000,0.000000,1.461275,0.000464,-0.001390,0.019972,-0.000018,-0.001730,0.000018,-9.808582,-0.065060,-0.153593
1.000000,1403638128.395097,1.000000,0.448945,1.461275,-0.020747,-0.058170,-0.012650,-0.000020,-0.001368,0.000006,-9.807981,-0.045171,-0.193818
2.000000,1403638129.395097,1.000000,0.549159,1.461275,-0.043542,0.056667,0.055519,0.000011,-0.000749,0.000027,-9.784196,-0.704986,-0.092729
3.000000,1403638130.395097,1.000000,0.000458,1.461275,-0.009679,-0.023992,0.070572,-0.000048,-0.002300,0.000234,-9.768804,-0.894119,-0.084358
4.000000,1403638131.395097,1.000000,0.159052,1.461275,-0.005917,0.007732,0.083301,-0.000064,0.000684,0.000006,-9.785961,-0.093905,-0.679896
5.000000,1403638132.395097,1.000000,0.000000,1.461275,0.037283,-0.089414,0.007367,-0.000071,-0.002302,0.000101,-9.755692,-0.546799,-0.873835
6.000000,1403638133.395097,1.000000,0.000049,1.461275,0.195601,-0.172769,-0.067279,-0.000006,-0.000131,0.000053,-9.450019,-1.062321,2.409299
7.000000,1403638134.395097,1.000000,0.000023,1.461275,-0.030061,0.084850,-0.013176,0.000023,-0.001572,0.000033,-9.633273,-1.516034,1.066670
8.000000,1403638135.395097,1.000000,0.000046,1.461275,0.151605,-0.178663,0.041200,-0.000034,-0.001394,-0.000004,-9.623466,-1.035376,1.597813
9.000000,1403638136.395097,1.000000,0.039132,1.461275,-0.139946,0.175013,-0.056869,-0.000123,-0.001550,0.000235,-9.181428,-1.666484,3.026602
10.000000,1403638137.395097,1.000000,0.000082,1.461275,0.062602,-0.019681,0.051215,-0.000006,-0.001069,-0.000028,-9.705859,-0.742476,1.217019
11.000000,1403638138.395097,1.000000,10.743922,1.461275,-0.000734,-0.002414,0.022382,-0.000011,-0.001496,-0.000010,-9.675344,-0.702635,1.459494
12.000000,1403638139.395097,1.000000,0.028350,1.461275,-0.000121,-0.002255,0.019602,-0.000016,-0.001544,-0.000012,-9.679913,-0.674868,1.442200
13.000000,1403638140.395097,1.000000,0.000000,1.461275,0.000041,-0.002362,0.020696,-0.000019,-0.001744,-0.000014,-9.679991,-0.674570,1.441812
14.000000,1403638141.395097,1.000000,0.000000,1.461275,0.000892,-0.004285,0.019825,-0.000019,-0.001762,-0.000012,-9.678092,-0.674664,1.454466
15.000000,1403638142.395097,1.000000,0.004332,1.461275,-0.001194,0.000267,0.020876,-0.000017,-0.001604,-0.000016,-9.683043,-0.673800,1.421537
16.000000,1403638143.395097,1.000000,139.827224,1.461275,0.000207,-0.002180,0.020295,-0.000014,-0.001392,-0.000016,-9.684294,-0.684640,1.407770
