# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638127.395097,1.000000,0.000107,1.461275,0.000465,-0.001385,0.019974,3.414607,0.910425,4.460455,-8.088965,-3.435742,4.358947
1.000000,1403638128.395097,1.000000,0.621305,1.461275,-0.020944,-0.058044,-0.012551,-0.863253,3.689377,8.147734,-5.550135,0.903061,8.038444
2.000000,1403638129.395097,1.000000,0.000061,1.461275,-0.044621,0.056619,0.054423,-1.061476,18.589369,2.614993,8.985526,1.605310,3.594356
3.000000,1403638130.395097,1.000000,0.000049,1.461275,-0.008027,-0.023281,0.070146,-3.819174,15.483392,4.693499,5.953627,4.016106,6.682912
4.000000,1403638131.395097,1.000000,0.000304,1.461275,-0.005184,0.008781,0.082645,-9.336238,10.710219,2.407486,0.200361,9.262785,3.224403
5.000000,1403638132.395097,1.000000,0.246377,1.461275,0.037037,-0.091494,0.009812,-7.478505,12.493225,-4.810108,3.879618,8.649528,-2.523951
6.000000,1403638133.395097,1.000000,0.000000,1.461275,0.191765,-0.167010,-0.085492,8.397110,14.183835,-3.742248,5.370532,-7.654022,-2.968070
7.000000,1403638134.395097,1.000000,0.000000,1.461275,-0.028722,0.081712,-0.015592,7.337133,15.332894,1.267239,7.493425,-6.323687,0.309290
8.000000,1403638135.395097,1.000000,0.000073,1.461275,0.152891,-0.176719,0.043510,-5.577876,12.038669,-7.534680,1.207712,6.059316,-7.619857
9.000000,1403638136.395097,1.000000,0.000274,1.461275,-0.142223,0.169535,-0.053181,-8.357335,13.569971,0.291844,3.539944,9.048502,1.352594
10.000000,1403638137.395097,1.000000,0.225552,1.461275,0.062591,-0.018831,0.051421,0.331493,4.729567,-8.615095,-5.505325,-1.020273,-8.055218
11.000000,1403638138.395097,1.000000,0.760387,1.461275,-0.000731,-0.002396,0.022386,-4.774265,2.007002,5.021726,-6.449134,4.380229,5.954693
12.000000,1403638139.395097,0.000000,0.760481,1.461275,-0.000731,-0.002396,0.022386,-4.768450,2.009531,5.030992,-6.444743,4.374759,5.963462
13.000000,1403638140.395097,1.000000,0.002614,1.461275,0.000042,-0.002362,0.020696,8.842918,4.493680,0.035985,-3.674437,-9.071596,0.663892
14.000000,1403638141.395097,1.000000,0.000000,1.461275,0.000893,-0.004285,0.019828,2.625624,3.130489,-7.437468,-6.661938,-3.084916,-6.506764
15.000000,1403638142.395097,0.000000,0.000000,1.461275,0.000893,-0.004285,0.019828,2.625624,3.130489,-7.437468,-6.661938,-3.084916,-6.506764
16.000000,1403638143.395097,0.000000,0.000000,1.461275,0.000893,-0.004285,0.019828,2.625624,3.130489,-7.437468,-6.661938,-3.084916,-6.506764
17.000000,1403638144.395097,1.000000,0.000000,1.461275,0.000172,-0.002406,0.020277,4.978786,0.612735,-1.728197,-8.072655,-5.551811,-0.495714
