# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638127.395097,0.000000,0.000000,1.461275,0.000464,-0.001384,0.019972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403638128.395097,1.000000,0.064261,1.461275,-0.020988,-0.058131,-0.012884,-0.750766,-0.658370,69.291591,-11.347473,1.120455,69.084917
2.000000,1403638129.395097,0.000000,0.064261,1.461275,-0.045754,0.057020,0.054473,-0.750766,-0.658370,69.291591,-11.347473,1.120455,69.084917
3.000000,1403638130.395097,1.000000,0.007547,1.461275,-0.009268,-0.022536,0.071086,-5.413864,-2.221255,-9.200540,-10.224337,5.295064,-8.932399
4.000000,1403638131.395097,0.000000,0.007547,1.461275,-0.004437,0.008913,0.084956,-5.413864,-2.221255,-9.200540,-10.224337,5.295064,-8.932399
5.000000,1403638132.395097,1.000000,0.325286,1.461275,0.037735,-0.091327,0.008836,-30.352449,-3.648916,-45.822505,-8.696754,36.255044,-41.772520
6.000000,1403638133.395097,0.000000,0.325286,1.461275,0.195202,-0.166881,-0.073471,-30.352449,-3.648916,-45.822505,-8.696754,36.255044,-41.772520
7.000000,1403638134.395097,0.000000,0.325286,1.461275,-0.030053,0.079499,-0.015271,-30.352449,-3.648916,-45.822505,-8.696754,36.255044,-41.772520
8.000000,1403638135.395097,0.000000,0.325286,1.461275,0.152386,-0.178115,0.045590,-30.352449,-3.648916,-45.822505,-8.696754,36.255044,-41.772520
9.000000,1403638136.395097,1.000000,0.259088,1.461275,-0.141668,0.169676,-0.051429,-44.341839,-2.579485,-17.596403,-21.559247,42.835880,-9.341713
10.000000,1403638137.395097,1.000000,0.446244,1.461275,0.062036,-0.018557,0.052280,-6.163046,-0.447451,-15.009837,-12.006900,4.694288,-13.895365
11.000000,1403638138.395097,1.000000,0.652261,1.461275,-0.000732,-0.002394,0.022384,-3.865757,-0.894212,7.556456,-8.840571,3.282070,8.910274
12.000000,1403638139.395097,1.000000,1.740441,1.461275,-0.000121,-0.002255,0.019602,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
13.000000,1403638140.395097,0.000000,1.740441,1.461275,0.000042,-0.002362,0.020696,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
14.000000,1403638141.395097,0.000000,1.740441,1.461275,0.000892,-0.004263,0.019846,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
15.000000,1403638142.395097,0.000000,1.740441,1.461275,-0.001193,0.000283,0.020872,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
16.000000,1403638143.395097,0.000000,1.740441,1.461275,0.000208,-0.002171,0.020290,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
17.000000,1403638144.395097,0.000000,1.740441,1.461275,0.000172,-0.002423,0.020276,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
18.000000,1403638145.395097,0.000000,1.740441,1.461275,-0.000146,-0.001975,0.020621,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
19.000000,1403638146.395097,0.000000,1.740441,1.461275,-0.000430,-0.001219,0.020443,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
20.000000,1403638147.395097,0.000000,1.740441,1.461275,-0.006980,-0.084793,0.114460,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
21.000000,1403638148.395097,0.000000,1.740441,1.461275,-0.028792,0.040889,0.018312,10.190292,-0.952356,-3.830101,-9.525276,-10.900946,-2.308206
22.000000,1403638149.395097,1.000000,0.383252,1.461275,-0.035811,0.050567,0.067011,-2.844531,-1.002555,-3.603987,-10.181269,2.901742,-2.355298
