# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638127.395097,0.000000,0.000000,1.461275,0.000464,-0.001384,0.019972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403638128.395097,0.000000,0.000000,1.461275,-0.020988,-0.058131,-0.012884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1403638129.395097,0.000000,0.000000,1.461275,-0.045754,0.057020,0.054473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,1403638130.395097,0.000000,0.000000,1.461275,-0.009268,-0.022536,0.071086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,1403638131.395097,0.000000,0.000000,1.461275,-0.004437,0.008913,0.084956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,1403638132.395097,1.000000,0.165277,1.461275,0.037735,-0.091327,0.008836,-5.863911,14.158380,-5.569877,5.798144,7.224588,-3.228461
6.000000,1403638133.395097,0.000000,0.165277,1.461275,0.195202,-0.166881,-0.073471,-5.863911,14.158380,-5.569877,5.798144,7.224588,-3.228461
7.000000,1403638134.395097,0.000000,0.165277,1.461275,-0.030053,0.079499,-0.015271,-5.863911,14.158380,-5.569877,5.798144,7.224588,-3.228461
8.000000,1403638135.395097,0.000000,0.165277,1.461275,0.152386,-0.178115,0.045590,-5.863911,14.158380,-5.569877,5.798144,7.224588,-3.228461
9.000000,1403638136.395097,0.000000,0.165277,1.461275,-0.141668,0.169676,-0.051429,-5.863911,14.158380,-5.569877,5.798144,7.224588,-3.228461
10.000000,1403638137.395097,1.000000,0.254635,1.461275,0.062036,-0.018557,0.052280,0.239273,5.161154,-8.812458,-5.116212,-0.912650,-8.320309
11.000000,1403638138.395097,0.000000,0.254635,1.461275,-0.000732,-0.002394,0.022384,0.239273,5.161154,-8.812458,-5.116212,-0.912650,-8.320309
