# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.536104,0.549512,-0.003679,0.022133,0.074905,-0.514801,-1.877219,-2.280027,-1.838164,9.549714,1.289584
1.000000,1.000000,0.536104,0.549512,-0.003679,0.022133,0.074905,-0.514801,-1.877219,-2.280027,-1.838164,9.549714,1.289584
2.000000,1.000000,0.257537,0.549512,0.000039,0.019510,0.080047,1.693171,0.651365,-10.063578,1.549875,7.307564,-6.358733
3.000000,1.000000,0.456185,0.549512,-0.003853,0.021540,0.074195,0.373634,2.627158,-0.215905,2.301618,8.711964,3.878187
4.000000,1.000000,0.562553,0.549512,-0.002254,0.020886,0.078176,0.139885,0.862779,0.244767,0.635433,8.912000,4.050750
5.000000,1.000000,0.540352,0.549512,-0.001439,0.019631,0.076293,9.007821,5.016469,-11.603081,4.758247,1.027450,-8.520012
6.000000,1.000000,0.540352,0.549512,-0.001439,0.019631,0.076293,9.007821,5.016469,-11.603081,4.758247,1.027450,-8.520012
7.000000,1.000000,0.549310,0.549512,-0.002372,0.021602,0.075994,-0.162923,-3.145779,-2.105102,-3.545316,8.925376,2.011417
8.000000,1.000000,0.588609,0.549512,-0.002821,0.019379,0.078265,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
9.000000,0.000000,0.588609,0.549512,-0.002045,0.020391,0.077917,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
10.000000,0.000000,0.588609,0.549512,-0.002266,0.021150,0.076858,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
11.000000,0.000000,0.588609,0.549512,-0.002266,0.021150,0.076858,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
12.000000,0.000000,0.588609,0.549512,-0.002266,0.021150,0.076858,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
13.000000,0.000000,0.588609,0.549512,-0.002266,0.021150,0.076858,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
14.000000,0.000000,0.588609,0.549512,-0.002266,0.021150,0.076858,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
15.000000,0.000000,0.588609,0.549512,-0.002266,0.021150,0.076858,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
16.000000,0.000000,0.588609,0.549512,-0.002266,0.021150,0.076858,0.070198,0.256004,0.238274,0.081003,8.975915,3.958865
17.000000,1.000000,0.061179,0.549512,-0.003085,0.023802,0.076784,17.111274,0.904366,-8.914726,0.867504,-7.883280,-5.773925
18.000000,1.000000,0.061179,0.549512,-0.003085,0.023802,0.076784,17.111274,0.904366,-8.914726,0.867504,-7.883280,-5.773925
19.000000,1.000000,0.520544,0.549512,-0.002655,0.022719,0.077236,0.277745,-0.397131,0.630488,-0.713565,8.827240,4.219800
20.000000,1.000000,0.513304,0.549512,-0.003299,0.020542,0.074258,17.103240,0.375817,-9.170151,1.765789,-8.021702,-5.363764
21.000000,1.000000,0.513304,0.549512,-0.003299,0.020542,0.074258,17.103240,0.375817,-9.170151,1.765789,-8.021702,-5.363764
22.000000,1.000000,0.425188,0.549512,-0.001436,0.020964,0.077023,0.498380,0.357462,1.248329,-1.012738,8.599542,4.615378
23.000000,1.000000,0.542975,0.549512,-0.003222,0.021798,0.075583,-0.243959,-0.075243,-0.669519,0.424257,9.240173,3.267150
24.000000,1.000000,0.565017,0.549512,-0.001888,0.021841,0.075552,16.946445,-1.283574,-9.301717,2.237571,-7.783936,-5.535325
25.000000,1.000000,0.487743,0.549512,-0.002791,0.020395,0.076202,-0.646491,1.571912,-3.330738,3.566075,8.192459,4.049782
26.000000,1.000000,0.363679,0.549512,-0.001612,0.020981,0.075275,-0.141001,-0.294837,-0.566148,0.435222,9.219938,3.324943
27.000000,1.000000,0.511928,0.549512,-0.000862,0.020059,0.076400,8.044014,-6.355193,3.960845,-6.887219,5.582482,-4.200333
28.000000,1.000000,0.267332,0.549512,-0.001359,0.017196,0.078059,6.490906,8.288037,1.051944,-2.868378,0.623081,9.360560
29.000000,1.000000,0.117331,0.549512,-0.001374,0.020300,0.076980,7.943626,7.224968,-9.455193,8.602986,-2.016804,4.259299
30.000000,1.000000,0.117331,0.549512,-0.001374,0.020300,0.076980,7.943626,7.224968,-9.455193,8.602986,-2.016804,4.259299
31.000000,1.000000,0.417274,0.549512,0.000853,0.022201,0.077642,6.638618,-2.512616,6.332610,-8.580841,4.242255,2.145474
