# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.975938,0.850247,-0.003621,0.022058,0.075089,-0.432134,-2.389092,-2.331003,-2.339714,9.454953,1.168628
1.000000,1.000000,0.975938,0.850247,-0.003621,0.022058,0.075089,-0.432134,-2.389092,-2.331003,-2.339714,9.454953,1.168628
2.000000,1.000000,0.963700,0.850247,-0.000177,0.020853,0.079031,0.731332,3.225221,0.378459,2.869071,8.255943,4.454654
3.000000,1.000000,0.778614,0.850247,-0.003641,0.020020,0.075098,-0.176013,1.949714,-1.308788,1.725401,9.269312,2.709051
4.000000,1.000000,0.729864,0.850247,-0.003005,0.021103,0.077925,10.558123,-8.975469,-7.505050,-8.772677,-1.757583,-4.023326
5.000000,1.000000,0.898132,0.850247,-0.001216,0.019752,0.076153,4.584069,7.892325,-6.379383,7.514266,5.449589,-3.173939
6.000000,1.000000,0.898132,0.850247,-0.001216,0.019752,0.076153,4.584069,7.892325,-6.379383,7.514266,5.449589,-3.173939
7.000000,1.000000,0.950766,0.850247,-0.002036,0.021077,0.076216,-0.463776,-1.993573,-2.002842,-2.412669,9.305846,1.953551
8.000000,1.000000,1.034743,0.850247,-0.002767,0.019231,0.078476,0.080468,0.283824,0.254463,0.116259,8.972293,3.964915
9.000000,1.000000,1.215100,0.850247,-0.002033,0.020383,0.077902,2.271798,0.672644,3.243591,1.103103,6.874222,6.911175
10.000000,1.000000,1.065061,0.850247,-0.002258,0.021160,0.076737,11.724597,5.501996,3.731230,6.701170,-2.163755,6.829977
11.000000,1.000000,1.065061,0.850247,-0.002258,0.021160,0.076737,11.724597,5.501996,3.731230,6.701170,-2.163755,6.829977
12.000000,1.000000,1.065061,0.850247,-0.002258,0.021160,0.076737,11.724597,5.501996,3.731230,6.701170,-2.163755,6.829977
13.000000,1.000000,1.065061,0.850247,-0.002258,0.021160,0.076737,11.724597,5.501996,3.731230,6.701170,-2.163755,6.829977
14.000000,1.000000,1.065061,0.850247,-0.002258,0.021160,0.076737,11.724597,5.501996,3.731230,6.701170,-2.163755,6.829977
15.000000,1.000000,1.065061,0.850247,-0.002258,0.021160,0.076737,11.724597,5.501996,3.731230,6.701170,-2.163755,6.829977
16.000000,1.000000,1.065061,0.850247,-0.002258,0.021160,0.076737,11.724597,5.501996,3.731230,6.701170,-2.163755,6.829977
17.000000,1.000000,0.212167,0.850247,-0.003434,0.023586,0.077317,0.494614,-0.903612,1.265894,-0.822621,8.487689,4.849590
18.000000,1.000000,0.212167,0.850247,-0.003434,0.023586,0.077317,0.494614,-0.903612,1.265894,-0.822621,8.487689,4.849590
19.000000,1.000000,0.901821,0.850247,-0.002105,0.022410,0.076794,0.035721,-2.509160,-1.420169,-2.307832,9.358439,1.824728
20.000000,1.000000,0.823488,0.850247,-0.003252,0.019769,0.074789,0.715800,1.559374,1.350848,0.146774,8.068184,5.578438
21.000000,1.000000,0.823488,0.850247,-0.003252,0.019769,0.074789,0.715800,1.559374,1.350848,0.146774,8.068184,5.578438
22.000000,1.000000,0.983608,0.850247,-0.001559,0.021279,0.077133,9.616723,-8.105627,2.160149,-9.120407,2.504838,-2.603854
23.000000,1.000000,0.998424,0.850247,-0.003242,0.021830,0.075658,-0.250741,-0.118601,-0.739594,0.448103,9.267831,3.184748
24.000000,1.000000,1.059704,0.850247,-0.001769,0.022021,0.075496,0.084493,-0.459547,0.123676,-0.319203,9.252642,3.243890
25.000000,1.000000,0.734461,0.850247,-0.002695,0.020385,0.076211,1.598683,1.185383,-9.713425,8.531503,4.761343,0.882708
26.000000,1.000000,0.791606,0.850247,-0.002118,0.021102,0.075265,0.098615,0.566799,0.104696,-0.235621,8.880886,4.160582
27.000000,1.000000,0.804650,0.850247,-0.001598,0.021119,0.076576,18.777455,-1.470486,-1.666489,-5.088637,-7.352953,-4.034347
