# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,0.000000,0.000000,2.833639,-0.002632,0.020187,0.077927,72793094759658936007000247569523215041722145218109662300268825785035657107932298965405919834082391530425042639084285805928400003232308782360626341829579104703034413935953737245570120759628491479056384.000000,204747570848082921604711928379832315583809869022461415805478305400216124917220963623137431064819764486295304856485883428096188345114886178721881033657036860030976.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,2.833639,-0.002632,0.020187,0.077927,72793094759658936007000247569523215041722145218109662300268825785035657107932298965405919834082391530425042639084285805928400003232308782360626341829579104703034413935953737245570120759628491479056384.000000,204747570848082921604711928379832315583809869022461415805478305400216124917220963623137431064819764486295304856485883428096188345114886178721881033657036860030976.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1.000000,3.143809,2.833639,-0.002658,0.021324,0.077033,0.000002,-0.000000,-0.000001,-0.356061,9.102015,3.641792
3.000000,1.000000,3.386237,2.833639,-0.002733,0.021230,0.077292,-0.000020,0.000000,0.000007,-0.345246,9.106095,3.632622
4.000000,1.000000,3.211835,2.833639,0.000088,0.020520,0.077556,-0.000037,-0.000001,0.000015,-0.377023,9.087557,3.675631
5.000000,1.000000,3.099730,2.833639,0.003161,0.020257,0.079233,-0.000013,-0.000000,0.000006,-0.334395,9.087159,3.680736
6.000000,1.000000,2.101209,2.833639,-0.000809,0.018575,0.079385,-0.000041,0.000002,0.000017,-0.314751,9.092742,3.668662
7.000000,1.000000,2.753416,2.833639,-0.001658,0.019303,0.077432,0.000007,-0.000000,-0.000003,-0.186825,9.040806,3.803290
8.000000,1.000000,2.753416,2.833639,-0.001658,0.019303,0.077432,0.000007,-0.000000,-0.000003,-0.186825,9.040806,3.803290
9.000000,1.000000,2.753416,2.833639,-0.001658,0.019303,0.077432,0.000007,-0.000000,-0.000003,-0.186825,9.040806,3.803290
10.000000,1.000000,3.558352,2.833639,-0.001990,0.022037,0.077400,-0.000006,0.000000,0.000003,-0.139920,9.034209,3.820942
11.000000,1.000000,3.538995,2.833639,-0.002875,0.020109,0.079094,-0.000070,0.000002,0.000024,-0.168408,9.032928,3.822821
12.000000,1.000000,3.538995,2.833639,-0.002875,0.020109,0.079094,-0.000070,0.000002,0.000024,-0.168408,9.032928,3.822821
13.000000,1.000000,3.411105,2.833639,-0.001638,0.021077,0.077166,-0.000020,0.000000,0.000008,-0.045150,9.053706,3.776834
14.000000,1.000000,2.935913,2.833639,-0.001889,0.020522,0.076755,-0.000025,0.000000,0.000010,-0.098441,9.033236,3.824533
15.000000,1.000000,3.540511,2.833639,-0.002044,0.020508,0.077408,-0.000025,0.000002,0.000008,-0.090222,9.080288,3.711647
16.000000,1.000000,2.434794,2.833639,-0.005507,0.022061,0.076577,-0.000020,0.000001,0.000009,-0.128248,9.075950,3.721128
17.000000,1.000000,2.655120,2.833639,-0.001707,0.025083,0.073933,-0.000001,0.000003,0.000002,-0.105852,9.049684,3.785250
18.000000,1.000000,3.263324,2.833639,-0.002835,0.021702,0.073977,-0.000009,0.000001,0.000004,-0.220457,9.030218,3.826574
19.000000,1.000000,3.009460,2.833639,0.000322,0.021127,0.075575,-0.000023,0.000001,0.000006,-0.302343,9.056554,3.758126
20.000000,1.000000,3.009460,2.833639,0.000322,0.021127,0.075575,-0.000023,0.000001,0.000006,-0.302343,9.056554,3.758126
21.000000,1.000000,3.673271,2.833639,-0.003615,0.021375,0.073242,0.000006,-0.000001,-0.000003,-0.252906,9.046911,3.784910
22.000000,1.000000,3.191489,2.833639,-0.001464,0.024255,0.075780,-0.000026,0.000003,0.000008,-0.345684,9.106474,3.631629
23.000000,1.000000,3.199695,2.833639,-0.004191,0.019142,0.075511,-0.000027,-0.000000,0.000012,-0.318157,9.110418,3.624247
24.000000,1.000000,2.967288,2.833639,-0.002637,0.021240,0.075218,-0.000040,0.000001,0.000013,-0.311161,9.136894,3.557590
25.000000,1.000000,3.202841,2.833639,-0.001750,0.020950,0.077598,-0.000030,-0.000001,0.000009,-0.292022,9.139435,3.552681
26.000000,1.000000,3.445269,2.833639,-0.002118,0.021076,0.075716,-0.000019,0.000000,0.000006,-0.198471,9.159778,3.506448
27.000000,1.000000,3.445269,2.833639,-0.002118,0.021076,0.075716,-0.000019,0.000000,0.000006,-0.198471,9.159778,3.506448
28.000000,1.000000,3.445269,2.833639,-0.002118,0.021076,0.075716,-0.000019,0.000000,0.000006,-0.198471,9.159778,3.506448
29.000000,1.000000,2.698713,2.833639,-0.002022,0.019952,0.077373,-0.000008,-0.000000,0.000003,-0.237666,9.158895,3.506317
30.000000,1.000000,3.279777,2.833639,0.000833,0.019638,0.079973,-0.000034,0.000002,0.000012,-0.198489,9.150356,3.530962
31.000000,1.000000,3.243545,2.833639,0.001000,0.021609,0.076627,-0.000020,-0.000000,0.000006,-0.301973,9.151848,3.519744
32.000000,1.000000,2.594649,2.833639,-0.001001,0.019180,0.077731,-0.000013,0.000002,0.000005,-0.242033,9.136679,3.563511
33.000000,1.000000,3.361579,2.833639,-0.002664,0.019732,0.076951,-0.000022,0.000001,0.000007,-0.291934,9.104446,3.641420
34.000000,1.000000,3.274151,2.833639,-0.001139,0.020202,0.078664,-0.000037,0.000002,0.000012,-0.292948,9.124313,3.591266
35.000000,1.000000,3.593500,2.833639,-0.001746,0.019755,0.078641,-0.000021,-0.000000,0.000008,-0.312193,9.090457,3.674538
36.000000,1.000000,3.593500,2.833639,-0.001746,0.019755,0.078641,-0.000021,-0.000000,0.000008,-0.312193,9.090457,3.674538
37.000000,1.000000,2.895140,2.833639,0.000524,0.022957,0.077151,-0.000006,-0.000000,0.000002,-0.301248,9.079893,3.701472
38.000000,1.000000,2.321992,2.833639,0.003490,0.021417,0.078592,-0.000024,-0.000002,0.000003,-0.211676,9.110608,3.631545
39.000000,1.000000,3.173031,2.833639,-0.002935,0.018705,0.080216,-0.000035,0.000003,0.000012,-0.299932,9.047340,3.780446
40.000000,1.000000,3.173031,2.833639,-0.002935,0.018705,0.080216,-0.000035,0.000003,0.000012,-0.299932,9.047340,3.780446
41.000000,1.000000,3.050584,2.833639,-0.003818,0.018482,0.080268,-0.000024,0.000002,0.000006,-0.002826,9.046829,3.793544
42.000000,1.000000,3.050584,2.833639,-0.003818,0.018482,0.080268,-0.000024,0.000002,0.000006,-0.002826,9.046829,3.793544
43.000000,1.000000,3.050584,2.833639,-0.003818,0.018482,0.080268,-0.000024,0.000002,0.000006,-0.002826,9.046829,3.793544
44.000000,1.000000,3.183977,2.833639,-0.003732,0.015341,0.077857,-0.000015,0.000003,0.000004,-0.002697,9.055336,3.773193
45.000000,1.000000,3.631128,2.833639,-0.001871,0.020001,0.077966,-0.000031,0.000004,0.000011,-0.020788,9.081120,3.710650
46.000000,1.000000,3.355007,2.833639,0.000832,0.022297,0.079715,-0.000004,0.000002,0.000001,0.098012,9.083260,3.704171
47.000000,1.000000,3.032202,2.833639,-0.003116,0.020521,0.078754,0.000002,0.000000,-0.000000,0.100945,9.081187,3.709171
48.000000,1.000000,3.301860,2.833639,-0.001308,0.021174,0.077022,-0.000056,0.000002,0.000015,0.066344,9.056586,3.769609
49.000000,1.000000,3.296340,2.833639,-0.003048,0.020918,0.075199,0.000001,0.000000,-0.000000,0.079924,9.087319,3.694638
50.000000,1.000000,3.187562,2.833639,-0.003448,0.021932,0.077381,-0.000016,0.000001,0.000007,0.075690,9.096845,3.671210
51.000000,1.000000,3.045090,2.833639,-0.002101,0.021193,0.075322,-0.000059,-0.000001,0.000023,0.067285,9.078269,3.717070
52.000000,1.000000,3.045090,2.833639,-0.002101,0.021193,0.075322,-0.000059,-0.000001,0.000023,0.067285,9.078269,3.717070
53.000000,1.000000,3.045090,2.833639,-0.002101,0.021193,0.075322,-0.000059,-0.000001,0.000023,0.067285,9.078269,3.717070
54.000000,1.000000,2.620968,2.833639,-0.003600,0.021639,0.076640,-0.000028,0.000000,0.000010,-0.000706,9.061323,3.758793
55.000000,1.000000,3.004139,2.833639,-0.004058,0.021035,0.075296,-0.000026,0.000002,0.000008,-0.001262,9.036698,3.817617
56.000000,1.000000,3.417337,2.833639,-0.002528,0.020250,0.076750,-0.000027,0.000001,0.000011,0.037631,9.054111,3.775944
57.000000,1.000000,3.271149,2.833639,-0.000556,0.021735,0.076763,-0.000029,0.000001,0.000008,-0.031559,9.054080,3.776074
58.000000,1.000000,2.845618,2.833639,-0.001939,0.021569,0.075921,-0.000014,-0.000000,0.000006,-0.056610,9.039017,3.811700
59.000000,1.000000,1.257383,2.833639,-0.003058,0.020823,0.076440,-0.000041,0.000001,0.000015,-0.181768,9.090037,3.684329
60.000000,1.000000,3.041139,2.833639,-0.001079,0.022040,0.076583,-0.000015,0.000000,0.000005,-0.112170,9.053620,3.775643
61.000000,1.000000,3.041139,2.833639,-0.001079,0.022040,0.076583,-0.000015,0.000000,0.000005,-0.112170,9.053620,3.775643
62.000000,1.000000,3.041139,2.833639,-0.001079,0.022040,0.076583,-0.000015,0.000000,0.000005,-0.112170,9.053620,3.775643
63.000000,1.000000,3.041139,2.833639,-0.001079,0.022040,0.076583,-0.000015,0.000000,0.000005,-0.112170,9.053620,3.775643
64.000000,1.000000,2.957277,2.833639,-0.003492,0.020810,0.075111,-0.000013,-0.000001,0.000001,-0.136384,9.069537,3.736442
65.000000,1.000000,2.866700,2.833639,-0.003040,0.021846,0.078729,-0.000032,0.000000,0.000011,-0.179171,9.056521,3.766088
