# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.964078,1.007187,-0.002693,0.022831,0.074879,-0.005087,-0.161447,0.074030,-0.709396,9.247754,3.195839
1.000000,1.000000,1.006813,1.007187,-0.002105,0.018460,0.075655,-0.159908,0.150962,-0.267855,-0.357725,9.387674,2.824841
2.000000,1.000000,0.982543,1.007187,-0.001399,0.020096,0.074558,-0.187822,0.238080,-0.421202,-0.177367,9.415119,2.749579
3.000000,1.000000,0.987634,1.007187,-0.004871,0.021982,0.077217,1.373657,-2.537102,2.323756,-3.854561,8.008364,4.150546
4.000000,1.000000,0.916161,1.007187,0.003621,0.019929,0.077081,0.377836,-0.970405,1.355552,-2.060069,8.760197,3.905275
5.000000,1.000000,0.892280,1.007187,-0.002858,0.022029,0.076071,2.854488,0.078716,4.288955,-0.961010,6.404329,7.368597
6.000000,1.000000,0.878375,1.007187,-0.003136,0.019766,0.078263,0.191769,0.945294,0.339770,0.495956,9.239027,3.260447
7.000000,1.000000,0.878375,1.007187,-0.003136,0.019766,0.078263,0.191769,0.945294,0.339770,0.495956,9.239027,3.260447
8.000000,1.000000,0.892416,1.007187,-0.003915,0.024653,0.076317,0.957295,-2.286299,0.847920,-2.678493,8.482919,4.135438
9.000000,1.000000,0.807191,1.007187,0.003198,0.016113,0.076058,-0.185521,0.690498,-0.455713,0.067047,9.419047,2.741019
10.000000,1.000000,0.806974,1.007187,0.001477,0.020870,0.076418,-0.097638,-0.021878,0.068542,-0.508547,9.215543,3.324342
11.000000,1.000000,0.694670,1.007187,-0.001613,0.020134,0.077103,3.485897,7.252064,-1.941502,3.248740,8.393517,-3.902649
12.000000,1.000000,0.890582,1.007187,-0.001975,0.020391,0.077507,0.881656,3.548732,0.023372,1.794474,9.634738,0.436675
13.000000,1.000000,1.037957,1.007187,-0.005818,0.020345,0.075727,0.151139,-1.212946,-0.123284,-1.176062,8.810219,4.151266
14.000000,1.000000,0.803952,1.007187,0.000548,0.020046,0.076615,-0.203342,2.112887,-1.797107,0.275905,9.780538,0.707835
15.000000,1.000000,0.895738,1.007187,0.002428,0.023314,0.076049,-0.301836,0.104629,-1.133354,-1.087225,9.455079,2.378134
16.000000,1.000000,0.992089,1.007187,-0.002917,0.018036,0.076881,0.038164,1.049490,0.168600,0.013614,9.536421,2.300562
17.000000,1.000000,0.476704,1.007187,-0.006166,0.020547,0.075365,16.474362,-0.970279,-9.878485,-3.606218,-8.401575,-3.555949
18.000000,1.000000,1.017962,1.007187,-0.002431,0.023140,0.069278,-0.016210,0.237121,0.064384,-0.238923,9.270969,3.198147
19.000000,1.000000,0.905006,1.007187,-0.002604,0.019267,0.073702,-0.145569,-0.577675,-0.169630,-0.939823,9.393284,2.668155
20.000000,1.000000,0.360233,1.007187,-0.004788,0.016607,0.075374,2.713021,-7.198305,-3.444250,-6.266919,7.131795,-2.478990
21.000000,1.000000,1.048933,1.007187,0.000472,0.015360,0.078060,0.172388,1.022819,0.137168,0.518418,9.108743,3.605294
22.000000,1.000000,0.958746,1.007187,-0.000877,0.017921,0.080111,-0.087189,0.099897,-0.088229,-0.544779,9.275646,3.146698
23.000000,1.000000,0.255811,1.007187,-0.000133,0.018874,0.085435,0.023336,-0.333960,0.550873,1.748624,9.032286,3.405326
24.000000,1.000000,0.255811,1.007187,-0.000133,0.018874,0.085435,0.023336,-0.333960,0.550873,1.748624,9.032286,3.405326
25.000000,1.000000,1.016723,1.007187,-0.002857,0.017427,0.072090,0.546157,-0.258459,1.210285,0.316229,9.568765,2.138886
26.000000,1.000000,1.016723,1.007187,-0.002857,0.017427,0.072090,0.546157,-0.258459,1.210285,0.316229,9.568765,2.138886
27.000000,1.000000,0.993122,1.007187,-0.003329,0.019661,0.076257,-0.421793,0.872896,-2.038182,-1.754069,8.420531,4.717414
28.000000,1.000000,1.080564,1.007187,-0.002088,0.022227,0.073297,-0.172686,-1.211883,-0.603893,0.607296,8.855591,4.176838
29.000000,1.000000,0.945453,1.007187,-0.002464,0.018538,0.080070,-0.615900,0.292483,-2.289326,-1.365999,8.236203,5.151229
30.000000,1.000000,1.346300,1.007187,-0.003853,0.023769,0.076750,-0.257445,0.449907,-1.502995,-1.251924,8.513201,4.711075
31.000000,1.000000,0.916206,1.007187,-0.004646,0.021573,0.070547,0.119968,0.420631,0.411802,-0.357653,9.424467,2.699557
32.000000,1.000000,0.665072,1.007187,-0.002223,0.022950,0.072434,0.050905,-0.155968,0.259981,-0.244351,9.210667,3.367494
33.000000,1.000000,1.065188,1.007187,-0.005377,0.022435,0.075602,-0.008124,-0.731239,-0.055753,-0.774322,8.940715,3.962336
34.000000,1.000000,1.010188,1.007187,-0.001033,0.021501,0.068213,0.090035,0.417245,0.156774,-0.255678,9.223195,3.332176
35.000000,1.000000,1.010188,1.007187,-0.001033,0.021501,0.068213,0.090035,0.417245,0.156774,-0.255678,9.223195,3.332176
36.000000,1.000000,0.980722,1.007187,-0.000775,0.019751,0.071453,-0.140379,0.539846,-0.080715,-0.102129,9.203592,3.394049
37.000000,1.000000,0.595803,1.007187,-0.002741,0.025832,0.069569,-0.102993,0.401393,-0.406392,-0.432757,9.161869,3.479715
38.000000,1.000000,0.679409,1.007187,0.001142,0.026301,0.067039,-0.327712,0.427743,-0.654652,-0.586472,9.026885,3.795715
39.000000,1.000000,0.941871,1.007187,-0.000075,0.019261,0.066042,-0.141207,0.121662,0.015506,-0.426559,9.236682,3.276887
40.000000,1.000000,0.190910,1.007187,-0.002794,0.018747,0.069881,-0.112020,0.774023,-0.880494,-0.199722,9.532051,2.310021
41.000000,1.000000,0.852891,1.007187,-0.002332,0.022264,0.072320,-0.153107,0.426730,-0.299426,-0.001640,9.215662,3.362686
42.000000,1.000000,0.852891,1.007187,-0.002332,0.022264,0.072320,-0.153107,0.426730,-0.299426,-0.001640,9.215662,3.362686
43.000000,1.000000,1.131066,1.007187,-0.005165,0.023896,0.070885,-0.005637,0.408442,0.457996,-0.709506,9.165914,3.423263
44.000000,1.000000,1.131066,1.007187,-0.005165,0.023896,0.070885,-0.005637,0.408442,0.457996,-0.709506,9.165914,3.423263
45.000000,1.000000,1.120153,1.007187,-0.004180,0.018227,0.075241,0.047656,0.238031,0.441884,-0.522913,9.342154,2.947300
46.000000,1.000000,1.120153,1.007187,-0.004180,0.018227,0.075241,0.047656,0.238031,0.441884,-0.522913,9.342154,2.947300
47.000000,1.000000,1.120153,1.007187,-0.004180,0.018227,0.075241,0.047656,0.238031,0.441884,-0.522913,9.342154,2.947300
48.000000,1.000000,1.043207,1.007187,-0.003700,0.021032,0.075999,0.025084,2.715362,-2.009173,-1.582762,7.676783,5.898980
49.000000,1.000000,1.021646,1.007187,0.004260,0.020693,0.075180,-0.047667,0.474688,-0.154316,-0.545949,9.126313,3.556467
50.000000,1.000000,1.035066,1.007187,-0.003165,0.023537,0.079274,0.037652,-0.551287,0.079467,-0.179562,9.465300,2.571373
51.000000,1.000000,1.054371,1.007187,-0.005324,0.020854,0.076676,0.214393,0.271182,0.524696,-0.954598,9.134584,3.447351
52.000000,1.000000,1.054371,1.007187,-0.005324,0.020854,0.076676,0.214393,0.271182,0.524696,-0.954598,9.134584,3.447351
