# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,1.841023,3.714294,0.004039,0.024002,0.078149,-0.619969,-0.400411,-2.647091,-1.195236,9.675232,1.094257
1.000000,1.000000,1.841023,3.714294,0.004039,0.024002,0.078149,-0.619969,-0.400411,-2.647091,-1.195236,9.675232,1.094257
2.000000,1.000000,1.841023,3.714294,0.004039,0.024002,0.078149,-0.619969,-0.400411,-2.647091,-1.195236,9.675232,1.094257
3.000000,1.000000,1.841023,3.714294,0.004039,0.024002,0.078149,-0.619969,-0.400411,-2.647091,-1.195236,9.675232,1.094257
4.000000,1.000000,1.841023,3.714294,0.004039,0.024002,0.078149,-0.619969,-0.400411,-2.647091,-1.195236,9.675232,1.094257
5.000000,1.000000,2.897174,3.714294,0.000941,0.023346,0.075871,-0.383594,-0.406032,-0.849724,-1.288382,9.253029,2.992929
6.000000,1.000000,0.884686,3.714294,-0.002766,0.017677,0.077861,7.123725,-3.863589,5.097209,-1.440769,2.330012,9.419731
7.000000,1.000000,0.722655,3.714294,-0.003729,0.020021,0.080510,8.261366,-9.353678,-0.653062,-8.381222,-0.714391,5.047857
8.000000,1.000000,0.489952,3.714294,-0.000830,0.022358,0.072702,5.907233,-5.033713,-10.832368,-7.464126,2.949119,-5.641420
9.000000,1.000000,2.580589,3.714294,-0.005622,0.021696,0.074058,0.112550,-0.540451,0.295171,-1.120031,8.945850,3.866962
10.000000,1.000000,2.885740,3.714294,-0.004274,0.023295,0.075893,-0.199462,0.611266,-0.313129,0.020433,9.203346,3.396189
11.000000,1.000000,1.927957,3.714294,-0.006861,0.018645,0.069402,-0.153991,-0.514861,0.288301,-1.117474,9.149994,3.356333
12.000000,1.000000,2.630890,3.714294,-0.007056,0.023886,0.070663,0.091847,0.201585,0.335013,-0.810813,9.118497,3.525860
13.000000,1.000000,2.821722,3.714294,-0.007589,0.021805,0.073442,0.001369,0.377849,0.113293,-0.764988,9.114359,3.546740
14.000000,1.000000,0.674395,3.714294,-0.006193,0.019148,0.072006,-0.482141,-0.372717,-1.082962,-0.771038,8.780360,4.306609
15.000000,1.000000,1.306390,3.714294,-0.003276,0.021947,0.068033,-0.138628,0.778040,0.288042,0.125202,9.325618,3.041919
16.000000,1.000000,0.930131,3.714294,-0.002798,0.014733,0.070374,-0.244812,-0.129649,-0.956991,-0.611240,9.202456,3.343245
17.000000,1.000000,0.930131,3.714294,-0.002798,0.014733,0.070374,-0.244812,-0.129649,-0.956991,-0.611240,9.202456,3.343245
18.000000,1.000000,2.818426,3.714294,-0.007728,0.017614,0.072250,0.249499,0.448324,0.604940,-1.091085,8.818482,4.156924
19.000000,1.000000,3.740685,3.714294,-0.006524,0.023333,0.073336,-0.059385,0.059794,0.025727,-0.582357,9.108058,3.597255
20.000000,1.000000,1.798561,3.714294,-0.000563,0.020724,0.071629,2.702645,-2.658417,3.318384,-2.660824,9.402831,-0.861906
21.000000,1.000000,3.435999,3.714294,-0.003267,0.017307,0.078737,0.225613,-0.829702,0.608026,-0.970005,9.417391,2.570591
