# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.589003,0.890209,0.003908,0.021119,0.078103,-0.640441,-0.095497,-2.757676,-0.888715,9.724137,0.942039
1.000000,1.000000,0.589003,0.890209,0.003908,0.021119,0.078103,-0.640441,-0.095497,-2.757676,-0.888715,9.724137,0.942039
2.000000,1.000000,0.589003,0.890209,0.003908,0.021119,0.078103,-0.640441,-0.095497,-2.757676,-0.888715,9.724137,0.942039
3.000000,1.000000,0.589003,0.890209,0.003908,0.021119,0.078103,-0.640441,-0.095497,-2.757676,-0.888715,9.724137,0.942039
4.000000,1.000000,0.589003,0.890209,0.003908,0.021119,0.078103,-0.640441,-0.095497,-2.757676,-0.888715,9.724137,0.942039
5.000000,1.000000,0.960533,0.890209,0.000493,0.023110,0.075893,-0.355924,-0.466897,-0.760300,-1.310196,9.226265,3.065212
6.000000,1.000000,0.285673,0.890209,-0.003075,0.017519,0.077950,7.232527,-3.846297,5.138758,-1.387401,2.262956,9.444059
7.000000,1.000000,0.558994,0.890209,-0.006144,0.019436,0.080137,4.859670,-8.262467,-0.439321,-7.834429,2.917715,5.132715
8.000000,1.000000,0.520633,0.890209,0.001970,0.023156,0.072832,2.359842,-5.389457,-7.257081,-7.337096,6.230302,-1.893793
9.000000,1.000000,0.849251,0.890209,-0.005160,0.021388,0.074374,0.146021,-0.054513,0.404852,-0.618241,8.994074,3.867882
10.000000,1.000000,0.915320,0.890209,-0.003386,0.024364,0.076293,-0.191377,0.614686,-0.189086,-0.024043,9.170585,3.483661
11.000000,1.000000,0.708671,0.890209,-0.005919,0.018600,0.069056,-0.171218,-0.396821,0.095222,-0.823046,9.186776,3.340933
12.000000,1.000000,0.891719,0.890209,-0.006559,0.023497,0.069711,0.066933,0.219631,0.280204,-0.747041,9.125301,3.522344
13.000000,1.000000,0.928928,0.890209,-0.005424,0.022777,0.072448,-0.000325,0.353639,0.112214,-0.720688,9.135648,3.500949
14.000000,1.000000,0.265123,0.890209,-0.002051,0.022539,0.071465,-0.457211,-0.312254,-1.019446,-0.752653,8.820386,4.227340
15.000000,1.000000,0.436865,0.890209,0.001770,0.024622,0.067433,-0.146256,0.868550,0.236415,0.057218,9.356666,2.947140
16.000000,1.000000,0.224140,0.890209,-0.002652,0.016401,0.070332,-0.284649,-0.085841,-1.139479,-0.488790,9.257706,3.208124
17.000000,1.000000,0.224140,0.890209,-0.002652,0.016401,0.070332,-0.284649,-0.085841,-1.139479,-0.488790,9.257706,3.208124
18.000000,1.000000,0.813026,0.890209,-0.006881,0.018700,0.071586,0.201712,0.466646,0.482107,-0.924864,8.877000,4.071806
19.000000,1.000000,1.107470,0.890209,-0.006734,0.022709,0.073199,-0.050258,0.113132,0.035375,-0.562268,9.110797,3.593514
20.000000,1.000000,0.524976,0.890209,-0.001036,0.021272,0.071388,2.810566,-2.695543,3.417405,-2.810539,9.345134,-1.002714
21.000000,1.000000,0.972608,0.890209,-0.002567,0.018072,0.078615,-0.047806,-1.104405,0.153715,-0.348727,9.513558,2.367848
22.000000,1.000000,0.000022,0.890209,-0.004236,0.020266,0.079458,17.007250,-6.307399,-3.367678,-3.226091,-5.521024,-7.439538
23.000000,1.000000,0.000022,0.890209,-0.004236,0.020266,0.079458,17.007250,-6.307399,-3.367678,-3.226091,-5.521024,-7.439538
24.000000,1.000000,0.984302,0.890209,-0.001768,0.017802,0.076806,-0.227519,-0.682090,-1.394018,0.440555,9.506442,2.381086
25.000000,1.000000,0.844900,0.890209,-0.001313,0.024504,0.076631,0.172037,-3.768083,-4.390537,0.736498,9.538665,-2.169688
26.000000,1.000000,1.105644,0.890209,-0.003301,0.019380,0.078282,1.142654,-0.415113,2.323810,-3.064854,8.293706,4.249379
27.000000,1.000000,1.272864,0.890209,-0.001647,0.022410,0.077503,8.370271,-8.951183,-7.539918,0.727627,2.568408,-9.439806
28.000000,1.000000,0.847677,0.890209,0.001923,0.018665,0.075909,1.728989,3.125078,-8.456024,7.805015,5.459036,2.348779
29.000000,1.000000,0.847677,0.890209,0.001923,0.018665,0.075909,1.728989,3.125078,-8.456024,7.805015,5.459036,2.348779
30.000000,1.000000,0.558930,0.890209,-0.006500,0.022881,0.075354,5.745051,8.000190,0.941059,-0.034653,1.430378,9.705097
31.000000,1.000000,0.751883,0.890209,-0.003041,0.021948,0.084262,18.190746,-3.230013,-6.317612,-0.281952,-8.243094,-5.311121
32.000000,1.000000,0.985968,0.890209,-0.003215,0.015019,0.087475,17.831750,-5.107557,-4.713536,-3.205499,-8.475419,-3.758742
33.000000,1.000000,0.314295,0.890209,-0.002202,0.020763,0.081597,18.693877,-3.157175,-1.101425,-0.819529,-9.517634,2.231391
34.000000,1.000000,0.867274,0.890209,0.004433,0.019169,0.080868,-0.245885,0.198219,-0.266364,-0.556167,9.122630,3.564324
35.000000,1.000000,0.977770,0.890209,-0.003454,0.025303,0.078496,-0.217306,0.855067,-0.305845,-0.802470,9.319880,2.954993
36.000000,1.000000,0.860152,0.890209,-0.001523,0.015819,0.073461,3.210930,1.541424,4.583230,5.148446,7.937690,2.592812
37.000000,1.000000,0.864204,0.890209,-0.002970,0.020744,0.079301,0.459181,-4.926866,-5.966309,-6.104072,4.248188,6.397602
38.000000,1.000000,0.515128,0.890209,-0.002905,0.013972,0.081631,4.216905,-7.860900,-0.477758,-0.320461,2.421439,9.501055
39.000000,1.000000,0.223199,0.890209,-0.002139,0.031369,0.069879,7.610591,-9.589085,-2.156797,-0.956944,-1.735030,9.607811
40.000000,1.000000,0.751472,0.890209,0.000703,0.010576,0.087530,2.606469,-7.189763,-1.932745,-1.741316,3.337023,9.059150
41.000000,1.000000,0.689490,0.890209,-0.001761,0.014226,0.081795,3.357162,-7.768609,-2.571644,-2.082112,2.400628,9.281050
42.000000,1.000000,0.689490,0.890209,-0.001761,0.014226,0.081795,3.357162,-7.768609,-2.571644,-2.082112,2.400628,9.281050
43.000000,1.000000,1.016094,0.890209,-0.004553,0.025200,0.070503,0.167246,0.053960,0.812372,0.311613,9.035225,3.808373
44.000000,1.000000,1.022281,0.890209,-0.001624,0.021994,0.074524,0.059825,-0.309060,0.125092,-0.606225,8.897508,4.086924
45.000000,1.000000,0.948931,0.890209,-0.000147,0.017161,0.080283,1.007955,4.919445,-0.793916,2.933908,9.360352,0.109967
46.000000,1.000000,0.677790,0.890209,-0.005542,0.028977,0.068957,3.556472,-7.264065,-0.199408,-5.101546,3.646238,7.544221
47.000000,1.000000,0.168174,0.890209,0.000491,0.009332,0.086680,7.265705,-9.080810,-6.422450,-9.164529,-1.324793,3.239201
48.000000,1.000000,0.703042,0.890209,-0.005078,0.032435,0.065294,2.861426,-7.542525,-1.059599,-6.024026,3.525360,6.893406
49.000000,1.000000,1.047580,0.890209,-0.000611,0.018251,0.083672,-0.139119,-0.858462,-0.174072,-1.453496,8.787378,4.111623
50.000000,1.000000,1.031645,0.890209,-0.005012,0.028735,0.068968,-0.044202,0.206780,0.208851,-0.346603,9.030071,3.817562
