# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.584215,0.890209,0.003852,0.021059,0.078363,-0.609090,0.319664,-2.564886,-0.472563,9.730607,1.152429
1.000000,1.000000,0.584215,0.890209,0.003852,0.021059,0.078363,-0.609090,0.319664,-2.564886,-0.472563,9.730607,1.152429
2.000000,1.000000,0.584215,0.890209,0.003852,0.021059,0.078363,-0.609090,0.319664,-2.564886,-0.472563,9.730607,1.152429
3.000000,1.000000,0.584215,0.890209,0.003852,0.021059,0.078363,-0.609090,0.319664,-2.564886,-0.472563,9.730607,1.152429
4.000000,1.000000,0.584215,0.890209,0.003852,0.021059,0.078363,-0.609090,0.319664,-2.564886,-0.472563,9.730607,1.152429
5.000000,1.000000,0.952852,0.890209,0.000456,0.023139,0.075915,-0.368360,0.064600,-0.731975,-0.791916,9.322541,2.949440
6.000000,1.000000,0.322555,0.890209,-0.002945,0.017495,0.077916,6.612305,-3.487319,5.103246,-1.143124,2.873536,9.309977
7.000000,1.000000,0.231491,0.890209,-0.005880,0.019413,0.080031,6.450177,9.224591,-1.402086,8.917896,4.080619,-0.236516
8.000000,1.000000,0.442519,0.890209,0.002093,0.023147,0.072788,3.815903,-5.720191,-8.736410,-7.867574,4.815135,-3.339116
9.000000,1.000000,0.864085,0.890209,-0.005582,0.021495,0.074323,0.218208,-0.043960,0.552891,-0.588591,8.918769,4.042922
10.000000,1.000000,0.925673,0.890209,-0.003381,0.024251,0.076188,-0.185821,0.697479,-0.245940,0.079139,9.169790,3.484938
11.000000,1.000000,0.767835,0.890209,-0.006383,0.018713,0.069222,-0.173433,-0.527205,0.013051,-0.769739,9.260379,3.144676
12.000000,1.000000,0.818424,0.890209,-0.006158,0.023408,0.069699,0.130124,0.229487,0.384812,-0.843546,9.122497,3.507789
13.000000,1.000000,0.909230,0.890209,-0.005264,0.022746,0.072457,0.029295,0.366283,0.163842,-0.743270,9.153598,3.448955
14.000000,0.000000,0.909230,0.890209,-0.001954,0.022538,0.071489,0.029295,0.366283,0.163842,-0.743270,9.153598,3.448955
15.000000,1.000000,0.368931,0.890209,0.001689,0.024610,0.067438,-0.143096,0.981344,0.258013,0.130075,9.394147,2.822402
16.000000,1.000000,0.254095,0.890209,-0.002624,0.016405,0.070302,-0.274194,-0.144037,-1.118461,-0.538859,9.265698,3.176820
17.000000,1.000000,0.254095,0.890209,-0.002624,0.016405,0.070302,-0.274194,-0.144037,-1.118461,-0.538859,9.265698,3.176820
18.000000,1.000000,0.816860,0.890209,-0.006837,0.018614,0.071599,0.112146,0.480212,0.267429,-0.710537,8.926732,4.005612
19.000000,1.000000,1.085726,0.890209,-0.006725,0.022800,0.073337,-0.069347,0.179739,0.034620,-0.573413,9.087792,3.649566
20.000000,0.000000,1.085726,0.890209,-0.001110,0.021239,0.071348,-0.069347,0.179739,0.034620,-0.573413,9.087792,3.649566
21.000000,1.000000,0.992721,0.890209,-0.003044,0.018101,0.078503,-0.049184,-0.992044,0.129745,-0.380798,9.479170,2.497286
22.000000,0.000000,0.992721,0.890209,-0.003860,0.020187,0.079302,-0.049184,-0.992044,0.129745,-0.380798,9.479170,2.497286
23.000000,0.000000,0.992721,0.890209,-0.003860,0.020187,0.079302,-0.049184,-0.992044,0.129745,-0.380798,9.479170,2.497286
24.000000,1.000000,0.984190,0.890209,-0.001639,0.017768,0.076887,-0.238578,-0.503077,-1.498241,0.598117,9.470315,2.488270
