# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,0.000000,0.000000,-1.000000,-0.003273,0.024396,0.083082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,-1.000000,-0.003273,0.024396,0.083082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1.000000,2.449378,-1.000000,-0.003666,0.026904,0.081801,-0.138754,0.995705,-5.537050,0.808262,9.335110,-2.905760
3.000000,1.000000,2.229677,-1.000000,-0.003171,0.024337,0.082599,5.495814,8.871486,-2.563449,8.885022,4.120500,0.448114
4.000000,1.000000,3.148904,-1.000000,-0.002598,0.024736,0.082636,2.828522,-5.563256,1.817460,-5.676064,6.586364,4.545999
5.000000,1.000000,3.017283,-1.000000,-0.002815,0.024693,0.083242,4.811798,6.257828,2.786100,6.287266,4.967922,5.660446
6.000000,0.000000,3.017283,-1.000000,-0.001897,0.027037,0.081468,4.811798,6.257828,2.786100,6.287266,4.967922,5.660446
7.000000,1.000000,2.538388,-1.000000,-0.002671,0.026350,0.083057,0.893606,4.633336,-6.251087,4.652570,7.928415,-3.424842
8.000000,1.000000,2.608508,-1.000000,0.000396,0.023335,0.082133,0.277622,1.610855,0.664587,1.485313,9.121513,3.290576
9.000000,1.000000,3.390699,-1.000000,-0.000124,0.024145,0.083344,0.081456,1.786881,-0.098593,1.713795,9.424990,2.113899
10.000000,1.000000,2.376014,-1.000000,-0.001724,0.023124,0.083433,-0.056927,-0.563264,0.208017,-0.436166,9.269672,3.181044
11.000000,1.000000,1.001455,-1.000000,-0.000368,0.024488,0.079847,8.353567,5.767667,4.636867,9.055956,3.131089,2.133444
12.000000,1.000000,2.653658,-1.000000,-0.001196,0.023874,0.081362,0.141556,-0.781838,0.424375,0.154057,9.106694,3.644288
13.000000,1.000000,2.653658,-1.000000,-0.001196,0.023874,0.081362,0.141556,-0.781838,0.424375,0.154057,9.106694,3.644288
14.000000,1.000000,1.036751,-1.000000,-0.000516,0.022554,0.080546,8.992861,-9.454727,-0.601289,-1.115810,-1.634047,9.608337
15.000000,1.000000,3.237117,-1.000000,-0.000950,0.019757,0.084385,-0.383802,0.002883,-1.838255,-1.799152,9.321754,2.470639
16.000000,1.000000,3.140850,-1.000000,-0.002770,0.022696,0.082485,0.141266,0.858003,0.140362,0.181542,9.631391,1.854570
17.000000,1.000000,1.011444,-1.000000,-0.004013,0.014375,0.085661,0.285415,2.814776,-2.691187,-3.027170,9.298976,0.775485
18.000000,1.000000,3.307443,-1.000000,-0.001845,0.022282,0.090684,-0.241532,-1.207969,-1.590523,-0.493408,8.699643,4.506536
19.000000,1.000000,2.741298,-1.000000,-0.003396,0.023634,0.082292,-0.212072,-0.548094,-0.539069,0.534299,9.199908,3.363379
