# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,3.024241,3.607802,-0.001730,0.023550,0.081848,-0.000008,0.000000,0.000002,-0.107726,9.449621,2.632328
1.000000,1.000000,3.024241,3.607802,-0.001730,0.023550,0.081848,-0.000008,0.000000,0.000002,-0.107726,9.449621,2.632328
2.000000,1.000000,3.024241,3.607802,-0.001730,0.023550,0.081848,-0.000008,0.000000,0.000002,-0.107726,9.449621,2.632328
3.000000,1.000000,3.024241,3.607802,-0.001730,0.023550,0.081848,-0.000008,0.000000,0.000002,-0.107726,9.449621,2.632328
4.000000,1.000000,3.678672,3.607802,-0.002350,0.024256,0.080805,0.000001,-0.000000,-0.000000,-0.118683,9.446231,2.643999
5.000000,1.000000,3.325363,3.607802,-0.002093,0.026052,0.084881,-0.000024,0.000001,0.000009,-0.132107,9.447489,2.638864
6.000000,1.000000,3.144593,3.607802,-0.001997,0.017978,0.080832,0.000055,-0.000005,-0.000019,-0.105892,9.513084,2.392933
7.000000,1.000000,3.525895,3.607802,-0.001431,0.030872,0.076440,-0.000018,0.000001,0.000000,-0.063593,9.440070,2.667796
8.000000,1.000000,2.855570,3.607802,-0.005730,0.024467,0.074644,0.000002,0.000008,-0.000004,-0.029981,9.476734,2.535096
9.000000,1.000000,2.855570,3.607802,-0.005730,0.024467,0.074644,0.000002,0.000008,-0.000004,-0.029981,9.476734,2.535096
10.000000,1.000000,3.756031,3.607802,-0.009784,0.024229,0.075872,-0.000015,-0.000006,-0.000002,-0.044263,9.493069,2.473011
11.000000,1.000000,3.160362,3.607802,-0.005653,0.024078,0.077810,-0.000001,-0.000001,-0.000001,-0.093231,9.512054,2.397547
12.000000,1.000000,3.632236,3.607802,-0.004011,0.021220,0.078426,-0.000057,0.000001,0.000020,-0.084056,9.493786,2.469224
13.000000,1.000000,3.577888,3.607802,-0.000074,0.025980,0.082975,-0.000052,0.000016,0.000018,-0.079231,9.518641,2.371771
14.000000,1.000000,3.432966,3.607802,-0.001285,0.025731,0.082359,-0.000020,-0.000003,0.000006,-0.057978,9.481837,2.515453
15.000000,1.000000,3.294138,3.607802,-0.000899,0.021677,0.076558,0.000002,-0.000001,0.000001,0.062994,9.460853,2.593143
16.000000,1.000000,3.484287,3.607802,-0.007286,0.025120,0.079471,-0.000024,-0.000000,0.000007,0.074324,9.494893,2.465275
17.000000,1.000000,3.696158,3.607802,-0.005428,0.025552,0.076956,-0.000066,-0.000010,0.000011,0.252684,9.474585,2.530709
18.000000,1.000000,2.259095,3.607802,-0.007126,0.023321,0.073958,0.000024,0.000001,-0.000012,0.015577,9.557780,2.210136
19.000000,1.000000,3.547068,3.607802,0.000056,0.022330,0.084397,-0.000048,0.000007,0.000012,0.148429,9.455023,2.610865
20.000000,1.000000,3.672704,3.607802,-0.002243,0.024217,0.082607,-0.000030,-0.000004,0.000006,0.179062,9.477145,2.527402
21.000000,1.000000,3.169926,3.607802,-0.000524,0.027503,0.084129,0.000007,0.000007,0.000010,0.048618,9.510647,2.404439
22.000000,1.000000,3.121847,3.607802,-0.001675,0.024763,0.081457,0.000006,-0.000003,0.000011,-0.013608,9.550378,2.241916
23.000000,1.000000,3.243782,3.607802,0.002701,0.026724,0.078039,-0.000035,0.000008,0.000014,-0.107606,9.520168,2.364513
24.000000,1.000000,3.819395,3.607802,-0.004785,0.021727,0.084408,-0.000075,-0.000004,0.000021,-0.095974,9.504519,2.427140
25.000000,1.000000,3.435620,3.607802,0.002343,0.020069,0.082545,0.000042,-0.000001,-0.000007,-0.080580,9.505398,2.424256
