# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.885143,-1.000000,-0.001944,0.024516,0.081305,-0.000002,0.000000,0.000000,-0.112164,9.447296,2.640476
1.000000,1.000000,0.885143,-1.000000,-0.001944,0.024516,0.081305,-0.000002,0.000000,0.000000,-0.112164,9.447296,2.640476
2.000000,1.000000,0.885143,-1.000000,-0.001944,0.024516,0.081305,-0.000002,0.000000,0.000000,-0.112164,9.447296,2.640476
3.000000,1.000000,0.885143,-1.000000,-0.001944,0.024516,0.081305,-0.000002,0.000000,0.000000,-0.112164,9.447296,2.640476
4.000000,1.000000,0.885143,-1.000000,-0.001944,0.024516,0.081305,-0.000002,0.000000,0.000000,-0.112164,9.447296,2.640476
5.000000,1.000000,0.885143,-1.000000,-0.001944,0.024516,0.081305,-0.000002,0.000000,0.000000,-0.112164,9.447296,2.640476
6.000000,1.000000,1.086437,-1.000000,-0.002650,0.023938,0.080863,0.000002,0.000000,-0.000000,-0.106429,9.444262,2.651543
7.000000,1.000000,1.052751,-1.000000,-0.001137,0.027586,0.083275,-0.000254,0.000003,0.000031,-0.089464,9.456121,2.609573
8.000000,1.000000,0.976440,-1.000000,-0.001634,0.014589,0.082915,0.000224,-0.000020,-0.000077,-0.142998,9.488188,2.487959
9.000000,1.000000,0.909761,-1.000000,-0.000471,0.031242,0.076121,0.000224,0.000000,-0.000055,-0.115904,9.477015,2.531572
10.000000,1.000000,0.846407,-1.000000,-0.007594,0.022018,0.075286,-0.000032,0.000008,0.000024,-0.059059,9.471561,2.553850
11.000000,1.000000,0.846407,-1.000000,-0.007594,0.022018,0.075286,-0.000032,0.000008,0.000024,-0.059059,9.471561,2.553850
12.000000,1.000000,0.929351,-1.000000,-0.008628,0.021372,0.075096,0.000034,-0.000000,-0.000016,-0.108854,9.470036,2.557864
13.000000,1.000000,0.903165,-1.000000,-0.005565,0.024341,0.076976,0.000022,0.000000,-0.000009,-0.114439,9.480196,2.519698
14.000000,1.000000,1.042856,-1.000000,-0.003659,0.022935,0.078682,-0.000145,0.000016,0.000052,-0.095554,9.472029,2.551006
15.000000,1.000000,0.962610,-1.000000,0.001887,0.024207,0.083486,-0.000160,0.000044,0.000054,-0.112692,9.498741,2.448943
16.000000,1.000000,0.955397,-1.000000,-0.002946,0.026037,0.080611,-0.000018,0.000004,0.000006,-0.047457,9.474869,2.541794
17.000000,1.000000,0.903503,-1.000000,-0.000216,0.020373,0.078259,0.000047,0.000003,-0.000021,0.018572,9.457101,2.607489
18.000000,1.000000,0.886955,-1.000000,-0.008012,0.026614,0.077979,-0.000050,0.000005,0.000014,0.046578,9.485330,2.502487
19.000000,1.000000,0.716624,-1.000000,-0.007008,0.024467,0.073985,0.000066,-0.000016,-0.000026,0.040816,9.520556,2.365048
20.000000,1.000000,0.716624,-1.000000,-0.007008,0.024467,0.073985,0.000066,-0.000016,-0.000026,0.040816,9.520556,2.365048
21.000000,1.000000,0.919628,-1.000000,-0.002579,0.022191,0.084350,-0.000270,0.000044,0.000080,0.194148,9.459213,2.592624
22.000000,1.000000,0.951639,-1.000000,0.001953,0.022554,0.084121,-0.000108,-0.000011,0.000013,0.118607,9.468167,2.564341
23.000000,1.000000,1.030784,-1.000000,-0.003521,0.022221,0.083841,-0.000016,0.000015,-0.000001,0.032824,9.474910,2.541868
24.000000,1.000000,0.862605,-1.000000,-0.000161,0.025195,0.083282,0.000088,-0.000024,-0.000012,-0.048976,9.528978,2.330724
25.000000,1.000000,0.967601,-1.000000,-0.005519,0.025640,0.082314,-0.000240,-0.000001,0.000084,-0.142623,9.495300,2.460700
26.000000,1.000000,0.967601,-1.000000,-0.005519,0.025640,0.082314,-0.000240,-0.000001,0.000084,-0.142623,9.495300,2.460700
27.000000,1.000000,0.935619,-1.000000,0.001212,0.022446,0.083392,0.000174,-0.000006,-0.000015,-0.026744,9.487350,2.495112
28.000000,1.000000,0.960648,-1.000000,0.001963,0.024497,0.079824,0.000023,-0.000008,-0.000012,-0.053177,9.511864,2.399526
29.000000,1.000000,1.021803,-1.000000,-0.001541,0.025792,0.079883,-0.000112,0.000012,-0.000032,-0.086564,9.490771,2.480701
30.000000,1.000000,1.008385,-1.000000,0.000843,0.026798,0.081711,-0.000155,-0.000000,0.000044,-0.199180,9.490286,2.476066
31.000000,1.000000,0.877444,-1.000000,-0.004901,0.025614,0.080911,-0.000000,-0.000009,-0.000009,-0.211452,9.477873,2.522165
32.000000,1.000000,0.962402,-1.000000,-0.007342,0.021771,0.074093,0.000009,0.000016,-0.000002,0.018460,9.492611,2.475097
33.000000,1.000000,0.989600,-1.000000,-0.009299,0.025122,0.076229,-0.000104,0.000021,0.000043,0.031031,9.484515,2.505815
34.000000,1.000000,1.013599,-1.000000,-0.005469,0.019162,0.076924,0.000026,0.000019,0.000001,0.169161,9.444907,2.645980
35.000000,1.000000,0.990150,-1.000000,-0.005617,0.022967,0.078828,-0.000203,0.000066,0.000052,0.039055,9.428825,2.707735
36.000000,1.000000,0.962456,-1.000000,-0.001873,0.018495,0.075325,-0.000093,-0.000019,0.000002,0.035002,9.413729,2.759816
37.000000,1.000000,0.938364,-1.000000,-0.001698,0.023029,0.080929,-0.000062,0.000001,0.000026,-0.025216,9.428430,2.709277
38.000000,1.000000,0.938364,-1.000000,-0.001698,0.023029,0.080929,-0.000062,0.000001,0.000026,-0.025216,9.428430,2.709277
