# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.544351,0.561411,-0.003246,0.021345,0.079758,-0.003246,0.021345,0.079758,0.323382,7.542330,6.264566
1.000000,1.000000,0.543094,0.561411,-0.003857,0.021768,0.080244,-0.003857,0.021768,0.080244,0.217200,7.526004,6.288736
2.000000,1.000000,0.575758,0.561411,-0.003038,0.020740,0.080315,-0.003038,0.020740,0.080315,0.411883,7.143567,6.710879
3.000000,1.000000,0.575758,0.561411,-0.003038,0.020740,0.080315,-0.003038,0.020740,0.080315,0.411883,7.143567,6.710879
4.000000,1.000000,0.559693,0.561411,-0.002858,0.019997,0.079112,-0.002858,0.019997,0.079112,0.536368,7.534447,6.259434
5.000000,1.000000,0.553547,0.561411,-0.003082,0.020852,0.078873,-0.003082,0.020852,0.078873,0.430026,7.594359,6.194908
6.000000,1.000000,0.561159,0.561411,-0.002681,0.020452,0.078665,-0.002681,0.020452,0.078665,0.305264,7.434699,6.392822
7.000000,1.000000,0.553772,0.561411,-0.003189,0.021146,0.078818,-0.003189,0.021146,0.078818,0.253310,7.415645,6.417176
8.000000,1.000000,0.576350,0.561411,-0.003658,0.021274,0.078575,-0.003658,0.021274,0.078575,0.301120,7.362880,6.475602
9.000000,1.000000,0.563908,0.561411,-0.002659,0.022046,0.079044,-0.002659,0.022046,0.079044,0.125860,7.472456,6.354735
10.000000,1.000000,0.563908,0.561411,-0.002659,0.022046,0.079044,-0.002659,0.022046,0.079044,0.125860,7.472456,6.354735
11.000000,1.000000,0.563908,0.561411,-0.002659,0.022046,0.079044,-0.002659,0.022046,0.079044,0.125860,7.472456,6.354735
12.000000,1.000000,0.563908,0.561411,-0.002659,0.022046,0.079044,-0.002659,0.022046,0.079044,0.125860,7.472456,6.354735
13.000000,1.000000,0.563908,0.561411,-0.002659,0.022046,0.079044,-0.002659,0.022046,0.079044,0.125860,7.472456,6.354735
14.000000,1.000000,0.563908,0.561411,-0.002659,0.022046,0.079044,-0.002659,0.022046,0.079044,0.125860,7.472456,6.354735
15.000000,1.000000,0.563908,0.561411,-0.002659,0.022046,0.079044,-0.002659,0.022046,0.079044,0.125860,7.472456,6.354735
16.000000,1.000000,0.564479,0.561411,-0.002768,0.021705,0.077940,-0.002768,0.021705,0.077940,0.220703,7.448920,6.379732
17.000000,1.000000,0.564479,0.561411,-0.002768,0.021705,0.077940,-0.002768,0.021705,0.077940,0.220703,7.448920,6.379732
18.000000,1.000000,0.564441,0.561411,-0.003851,0.021276,0.078816,-0.003851,0.021276,0.078816,0.197357,7.441560,6.389079
19.000000,1.000000,0.564033,0.561411,-0.001960,0.021083,0.079090,-0.001960,0.021083,0.079090,0.230918,7.452311,6.375409
20.000000,1.000000,0.566089,0.561411,-0.002350,0.021801,0.079401,-0.002350,0.021801,0.079401,0.219040,7.420024,6.413374
21.000000,1.000000,0.571941,0.561411,-0.001423,0.022606,0.080394,-0.001423,0.022606,0.080394,0.140802,7.439137,6.393396
22.000000,1.000000,0.574638,0.561411,-0.002392,0.021896,0.080829,-0.002392,0.021896,0.080829,0.503937,7.350969,6.476526
23.000000,1.000000,0.580279,0.561411,-0.002435,0.022319,0.080577,-0.002435,0.022319,0.080577,0.467577,7.311917,6.523292
24.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
25.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
26.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
27.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
28.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
29.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
30.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
31.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
32.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
33.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
34.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
35.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
36.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
37.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
38.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
39.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
40.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
41.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
42.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
43.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
44.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
45.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
46.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
47.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
48.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
49.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
50.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
51.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
52.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
53.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
54.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
55.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
56.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
57.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
58.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
59.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
60.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
61.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
62.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
63.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
64.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
65.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
66.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
67.000000,1.000000,0.746699,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,-4.903360,6.477675,5.498444
68.000000,1.000000,0.352338,0.561411,-0.003091,0.020300,0.080025,-0.003091,0.020300,0.080025,-1.838359,-2.282490,-9.361986
69.000000,1.000000,0.000079,0.561411,-0.003160,0.020752,0.079870,-0.003160,0.020752,0.079870,2.676931,8.654915,3.763321
70.000000,1.000000,0.604254,0.561411,-0.003461,0.020384,0.078314,-0.003461,0.020384,0.078314,-0.024290,7.573793,6.234835
71.000000,1.000000,0.604254,0.561411,-0.003461,0.020384,0.078314,-0.003461,0.020384,0.078314,-0.024290,7.573793,6.234835
72.000000,1.000000,0.564766,0.561411,-0.003244,0.020653,0.079029,-0.003244,0.020653,0.079029,0.246530,7.188462,6.670932
73.000000,1.000000,0.559571,0.561411,-0.003604,0.020442,0.077534,-0.003604,0.020442,0.077534,1.053632,6.244246,7.492353
74.000000,1.000000,0.565376,0.561411,-0.003511,0.019859,0.077658,-0.003511,0.019859,0.077658,-0.447599,7.253885,6.589150
75.000000,1.000000,0.565376,0.561411,-0.003511,0.019859,0.077658,-0.003511,0.019859,0.077658,-0.447599,7.253885,6.589150
76.000000,1.000000,0.568292,0.561411,-0.002549,0.021007,0.078639,-0.002549,0.021007,0.078639,-0.613160,7.546691,6.237595
77.000000,1.000000,0.571661,0.561411,-0.002290,0.020791,0.078559,-0.002290,0.020791,0.078559,0.020245,7.273512,6.582683
78.000000,1.000000,0.571661,0.561411,-0.002290,0.020791,0.078559,-0.002290,0.020791,0.078559,0.020245,7.273512,6.582683
79.000000,1.000000,0.553451,0.561411,-0.002227,0.020372,0.078732,-0.002227,0.020372,0.078732,0.825563,7.480764,6.292274
80.000000,1.000000,0.553451,0.561411,-0.002227,0.020372,0.078732,-0.002227,0.020372,0.078732,0.825563,7.480764,6.292274
81.000000,1.000000,0.504926,0.561411,-0.003196,0.019665,0.078154,-0.003196,0.019665,0.078154,0.841186,7.474103,6.298118
82.000000,1.000000,0.399032,0.561411,-0.003081,0.020999,0.078359,-0.003081,0.020999,0.078359,-0.114457,7.531732,6.284585
83.000000,1.000000,0.399032,0.561411,-0.003081,0.020999,0.078359,-0.003081,0.020999,0.078359,-0.114457,7.531732,6.284585
84.000000,1.000000,0.367466,0.561411,-0.002689,0.022471,0.078613,-0.002689,0.022471,0.078613,0.292230,7.427973,6.401243
85.000000,1.000000,0.336859,0.561411,-0.002359,0.022899,0.079641,-0.002359,0.022899,0.079641,-1.363545,5.618287,7.925383
86.000000,1.000000,0.336859,0.561411,-0.002359,0.022899,0.079641,-0.002359,0.022899,0.079641,-1.363545,5.618287,7.925383
87.000000,1.000000,0.332262,0.561411,-0.001327,0.022114,0.079474,-0.001327,0.022114,0.079474,-1.222023,8.793800,4.172751
88.000000,1.000000,0.336170,0.561411,-0.001706,0.022492,0.079676,-0.001706,0.022492,0.079676,0.577266,7.311377,6.515108
89.000000,1.000000,0.245300,0.561411,-0.003500,0.021104,0.077238,-0.003500,0.021104,0.077238,0.449261,7.872572,5.835827
90.000000,1.000000,0.245300,0.561411,-0.003500,0.021104,0.077238,-0.003500,0.021104,0.077238,0.449261,7.872572,5.835827
91.000000,1.000000,0.282821,0.561411,-0.003800,0.020255,0.077720,-0.003800,0.020255,0.077720,-1.290453,8.204955,5.220109
92.000000,1.000000,0.282821,0.561411,-0.003800,0.020255,0.077720,-0.003800,0.020255,0.077720,-1.290453,8.204955,5.220109
93.000000,1.000000,0.282821,0.561411,-0.003800,0.020255,0.077720,-0.003800,0.020255,0.077720,-1.290453,8.204955,5.220109
94.000000,1.000000,0.431137,0.561411,-0.003234,0.021178,0.078438,-0.003234,0.021178,0.078438,-5.142213,4.638419,6.948295
95.000000,1.000000,0.431137,0.561411,-0.003234,0.021178,0.078438,-0.003234,0.021178,0.078438,-5.142213,4.638419,6.948295
96.000000,1.000000,0.497151,0.561411,-0.002881,0.021376,0.078056,-0.002881,0.021376,0.078056,-4.375826,4.379145,7.609949
97.000000,1.000000,0.497151,0.561411,-0.002881,0.021376,0.078056,-0.002881,0.021376,0.078056,-4.375826,4.379145,7.609949
98.000000,1.000000,0.548724,0.561411,-0.002786,0.021954,0.078738,-0.002786,0.021954,0.078738,-5.753160,3.046309,7.338750
99.000000,1.000000,0.508423,0.561411,-0.002828,0.020440,0.077762,-0.002828,0.020440,0.077762,-0.637283,8.967310,3.926490
100.000000,1.000000,0.538590,0.561411,-0.002806,0.020665,0.078362,-0.002806,0.020665,0.078362,1.348328,8.490916,4.724665
101.000000,1.000000,0.515918,0.561411,-0.002612,0.020929,0.078535,-0.002612,0.020929,0.078535,2.652512,8.802961,3.421719
102.000000,1.000000,0.491807,0.561411,-0.002480,0.020671,0.078694,-0.002480,0.020671,0.078694,0.521698,7.027842,6.824468
103.000000,1.000000,0.491807,0.561411,-0.002480,0.020671,0.078694,-0.002480,0.020671,0.078694,0.521698,7.027842,6.824468
104.000000,1.000000,0.491807,0.561411,-0.002480,0.020671,0.078694,-0.002480,0.020671,0.078694,0.521698,7.027842,6.824468
105.000000,1.000000,0.510456,0.561411,-0.002561,0.020264,0.078597,-0.002561,0.020264,0.078597,-0.855130,7.395695,6.388157
106.000000,1.000000,0.522687,0.561411,-0.002877,0.021415,0.078351,-0.002877,0.021415,0.078351,-0.254008,7.842453,5.887913
107.000000,1.000000,0.484085,0.561411,-0.002329,0.021787,0.078712,-0.002329,0.021787,0.078712,-0.756959,7.312820,6.495058
108.000000,1.000000,0.484085,0.561411,-0.002329,0.021787,0.078712,-0.002329,0.021787,0.078712,-0.756959,7.312820,6.495058
109.000000,1.000000,0.484085,0.561411,-0.002329,0.021787,0.078712,-0.002329,0.021787,0.078712,-0.756959,7.312820,6.495058
110.000000,1.000000,0.484085,0.561411,-0.002329,0.021787,0.078712,-0.002329,0.021787,0.078712,-0.756959,7.312820,6.495058
111.000000,1.000000,0.374202,0.561411,-0.002588,0.021473,0.078453,-0.002588,0.021473,0.078453,6.538947,2.237329,6.962229
112.000000,1.000000,0.381543,0.561411,-0.002973,0.020922,0.078805,-0.002973,0.020922,0.078805,6.691900,2.661025,6.661346
113.000000,1.000000,0.294366,0.561411,-0.004983,0.021235,0.079122,-0.004983,0.021235,0.079122,-3.742829,-6.049441,-6.755116
114.000000,1.000000,0.294366,0.561411,-0.004983,0.021235,0.079122,-0.004983,0.021235,0.079122,-3.742829,-6.049441,-6.755116
115.000000,1.000000,0.294366,0.561411,-0.004983,0.021235,0.079122,-0.004983,0.021235,0.079122,-3.742829,-6.049441,-6.755116
116.000000,1.000000,0.319434,0.561411,-0.003776,0.019852,0.079593,-0.003776,0.019852,0.079593,-4.031674,-6.312816,-6.334829
117.000000,1.000000,0.345392,0.561411,-0.003043,0.021173,0.079149,-0.003043,0.021173,0.079149,-3.552571,-6.526265,-6.404936
118.000000,1.000000,0.331936,0.561411,-0.003891,0.021758,0.077864,-0.003891,0.021758,0.077864,-0.512948,7.684953,6.075729
119.000000,1.000000,0.278608,0.561411,-0.003091,0.021407,0.077806,-0.003091,0.021407,0.077806,-0.149646,7.756508,6.004190
