# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.554212,0.561411,-0.003259,0.021341,0.079774,-0.003259,0.021341,0.079774,0.107682,7.448089,6.383609
1.000000,1.000000,0.555034,0.561411,-0.003860,0.021774,0.080247,-0.003860,0.021774,0.080247,0.110632,7.448722,6.382821
2.000000,1.000000,0.557734,0.561411,-0.003053,0.020738,0.080325,-0.003053,0.020738,0.080325,0.109182,7.458615,6.371283
3.000000,1.000000,0.557734,0.561411,-0.003053,0.020738,0.080325,-0.003053,0.020738,0.080325,0.109182,7.458615,6.371283
4.000000,1.000000,0.569933,0.561411,-0.002867,0.019995,0.079114,-0.002867,0.019995,0.079114,0.121582,7.457467,6.372402
5.000000,1.000000,0.558961,0.561411,-0.003133,0.020836,0.078884,-0.003133,0.020836,0.078884,0.113593,7.458115,6.371791
6.000000,1.000000,0.555359,0.561411,-0.002674,0.020455,0.078663,-0.002674,0.020455,0.078663,0.107775,7.455305,6.375179
7.000000,1.000000,0.548117,0.561411,-0.003178,0.021120,0.078793,-0.003178,0.021120,0.078793,0.119451,7.455381,6.374883
8.000000,1.000000,0.554693,0.561411,-0.003617,0.021107,0.078609,-0.003617,0.021107,0.078609,0.117172,7.454490,6.375967
9.000000,1.000000,0.565159,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.117684,7.464761,6.363930
10.000000,1.000000,0.565159,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.117684,7.464761,6.363930
11.000000,1.000000,0.565159,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.117684,7.464761,6.363930
12.000000,1.000000,0.565159,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.117684,7.464761,6.363930
13.000000,1.000000,0.565159,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.117684,7.464761,6.363930
14.000000,1.000000,0.565159,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.117684,7.464761,6.363930
15.000000,1.000000,0.565159,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.117684,7.464761,6.363930
16.000000,1.000000,0.561046,0.561411,-0.002734,0.021683,0.077988,-0.002734,0.021683,0.077988,0.115730,7.471807,6.355691
17.000000,1.000000,0.561046,0.561411,-0.002734,0.021683,0.077988,-0.002734,0.021683,0.077988,0.115730,7.471807,6.355691
18.000000,1.000000,0.562343,0.561411,-0.003841,0.021291,0.078839,-0.003841,0.021291,0.078839,0.116973,7.473297,6.353916
19.000000,1.000000,0.563961,0.561411,-0.001947,0.021111,0.079088,-0.001947,0.021111,0.079088,0.126336,7.483509,6.341706
20.000000,1.000000,0.566321,0.561411,-0.002316,0.021819,0.079439,-0.002316,0.021819,0.079439,0.132860,7.489922,6.333996
21.000000,1.000000,0.569516,0.561411,-0.001420,0.022583,0.080467,-0.001420,0.022583,0.080467,0.144452,7.490522,6.333033
22.000000,1.000000,0.565736,0.561411,-0.002396,0.021887,0.080887,-0.002396,0.021887,0.080887,0.145692,7.495623,6.326967
23.000000,1.000000,0.540948,0.561411,-0.002487,0.022313,0.080649,-0.002487,0.022313,0.080649,0.147341,7.490814,6.332622
24.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
25.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
26.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
27.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
28.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
29.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
30.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
31.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
32.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
33.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
34.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
35.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
36.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
37.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
38.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
39.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
40.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
41.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
42.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
43.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
44.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
45.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
46.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
47.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
48.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
49.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
50.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
51.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
52.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
53.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
54.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
55.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
56.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
57.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
58.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
59.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
60.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
61.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
62.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
63.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
64.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
65.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
66.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
67.000000,1.000000,0.355511,0.561411,-0.003129,0.020184,0.079809,-0.003129,0.020184,0.079809,0.149921,7.495429,6.327097
68.000000,0.000000,0.355511,0.561411,-0.003091,0.020301,0.080023,-0.003091,0.020301,0.080023,0.149921,7.495429,6.327097
69.000000,0.000000,0.355511,0.561411,-0.003160,0.020753,0.079868,-0.003160,0.020753,0.079868,0.149921,7.495429,6.327097
