# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.546801,0.561411,-0.003259,0.021341,0.079774,-0.003259,0.021341,0.079774,0.345014,7.555665,6.247319
1.000000,1.000000,0.559907,0.561411,-0.003860,0.021774,0.080247,-0.003860,0.021774,0.080247,0.218782,7.324635,6.522113
2.000000,1.000000,0.594017,0.561411,-0.003053,0.020738,0.080325,-0.003053,0.020738,0.080325,0.354551,6.879709,6.984267
3.000000,1.000000,0.594017,0.561411,-0.003053,0.020738,0.080325,-0.003053,0.020738,0.080325,0.354551,6.879709,6.984267
4.000000,1.000000,0.561301,0.561411,-0.002867,0.019995,0.079114,-0.002867,0.019995,0.079114,0.417436,7.570995,6.224296
5.000000,1.000000,0.557115,0.561411,-0.003133,0.020836,0.078884,-0.003133,0.020836,0.078884,0.369124,7.548622,6.254450
6.000000,1.000000,0.559244,0.561411,-0.002674,0.020455,0.078663,-0.002674,0.020455,0.078663,0.288271,7.428136,6.401234
7.000000,1.000000,0.551687,0.561411,-0.003178,0.021120,0.078793,-0.003178,0.021120,0.078793,0.260537,7.402740,6.431769
8.000000,1.000000,0.568641,0.561411,-0.003617,0.021107,0.078609,-0.003617,0.021107,0.078609,0.262315,7.371588,6.467378
9.000000,1.000000,0.564444,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.180936,7.494731,6.327114
10.000000,1.000000,0.564444,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.180936,7.494731,6.327114
11.000000,1.000000,0.564444,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.180936,7.494731,6.327114
12.000000,1.000000,0.564444,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.180936,7.494731,6.327114
13.000000,1.000000,0.564444,0.561411,-0.002735,0.021806,0.078972,-0.002735,0.021806,0.078972,0.180936,7.494731,6.327114
